parameter,parameter_label,parameter_group,parameter_unit,metric,parameter_low,parameter_baseline,parameter_high,response_low,response_baseline,response_high,signed_response_span,slope_per_unit,signed_effect_pct_span,abs_effect_pct_span,low_delta_from_baseline_pct,high_delta_from_baseline_pct,direction,rank_within_metric
front_camber_deg,front static camber,alignment,deg,handwheel_torque_max,-2.5,0.0,0.5,-7.544249642432273,-1.915912670053007,-0.7617658185492189,6.782483823883054,2.2608279412943513,354.00798428330273,354.00798428330273,-293.76792900605165,60.24005527725106,increases_with_parameter,1
front_camber_deg,front static camber,alignment,deg,roadwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,-2.5,0.0,0.5,-0.40649380433576565,-0.4125041854252861,-0.41327767724179604,-0.006783872906030386,-0.0022612909686767955,-1.644558563457073,1.644558563457073,1.457047298398642,-0.18751126505843108,decreases_with_parameter,3
front_camber_deg,front static camber,alignment,deg,handwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,-2.5,0.0,0.5,-1.666576660956434,-1.6919195160863945,-1.6948889755961414,-0.028312314639707292,-0.009437438213235763,-1.6733842461488329,1.6733842461488329,1.4978759266623585,-0.1755083194864743,decreases_with_parameter,4
front_camber_deg,front static camber,alignment,deg,sideslip_gradient_velocity_slope_deg_per_g_per_mps,-2.5,0.0,0.5,-0.18814858475072785,-0.18903935708124467,-0.18878185076933743,-0.0006332660186095795,-0.00021108867286985986,-0.33499162734531346,0.33499162734531346,0.47120998731178887,0.13621835996647544,decreases_with_parameter,11
front_camber_deg,front static camber,alignment,deg,understeer_gradient_velocity_slope_deg_per_g_per_mps,-2.5,0.0,0.5,0.02815711822853945,0.021970533913641836,0.02209565601784832,-0.006061462210691131,-0.0020204874035637103,-27.58905284012,27.58905284012,28.158552446721696,0.5694996066016942,decreases_with_parameter,4
front_camber_deg,front static camber,alignment,deg,roll_gradient_velocity_slope_deg_per_g_per_mps,-2.5,0.0,0.5,0.0015584577596480442,0.001918762930248763,0.0018963754210357588,0.00033791766138771464,0.00011263922046257154,17.611225235829654,17.611225235829654,-18.77799309756345,-1.166767861733797,increases_with_parameter,11
front_camber_deg,front static camber,alignment,deg,handwheel_torque_peak_abs,-2.5,0.0,0.5,22.52487915167915,18.78883108901611,17.84730935314736,-4.677569798531792,-1.5591899328439307,-24.89548059893031,24.89548059893031,19.884409226751327,-5.011071372178981,decreases_with_parameter,2
rear_camber_deg,rear static camber,alignment,deg,metric_target_velocity_mps,-2.5,0.0,0.5,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,8
rear_camber_deg,rear static camber,alignment,deg,metric_source_velocity_mps,-2.5,0.0,0.5,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,8
rear_camber_deg,rear static camber,alignment,deg,ay_min,-2.5,0.0,0.5,1.026749134116808,1.074217469796285,1.032763979631588,0.006014845514779932,0.002004948504926644,0.5599281043083939,0.5599281043083939,-4.418875787644644,-3.8589476833362495,increases_with_parameter,8
rear_camber_deg,rear static camber,alignment,deg,ay_max,-2.5,0.0,0.5,18.3861683603313,18.57517363325678,18.63211299359699,0.24594463326569027,0.08198154442189676,1.3240502518122026,1.3240502518122026,-1.0175155110641243,0.30653474074807835,increases_with_parameter,15
rear_camber_deg,rear static camber,alignment,deg,roadwheel_angle_gradient_rad_per_mps2,-2.5,0.0,0.5,0.007442574447607722,0.007556410350109951,0.007543353410141265,0.0001007789625335426,3.3592987511180866e-05,1.3336883237432466,1.3336883237432466,-1.5064812156551615,-0.17279289191191474,increases_with_parameter,5
rear_camber_deg,rear static camber,alignment,deg,roadwheel_angle_gradient_deg_per_g,-2.5,0.0,0.5,4.183261201515729,4.24724515191211,4.239906214187532,0.056645012671802775,0.018881670890600926,1.333688323743243,1.333688323743243,-1.5064812156551648,-0.17279289191192182,increases_with_parameter,5
rear_camber_deg,rear static camber,alignment,deg,handwheel_angle_gradient_rad_per_mps2,-2.5,0.0,0.5,0.030560467739976033,0.0310275496973693,0.030974708128693306,0.0004142403887172734,0.00013808012957242446,1.3350728393238063,1.3350728393238063,-1.5053781621462312,-0.1703053228224249,increases_with_parameter,6
rear_camber_deg,rear static camber,alignment,deg,handwheel_angle_gradient_deg_per_g,-2.5,0.0,0.5,17.177177050329327,17.43971064593472,17.41000989041986,0.23283284009053418,0.07761094669684472,1.3350728393237914,1.3350728393237914,-1.5053781621462374,-0.1703053228224461,increases_with_parameter,6
rear_camber_deg,rear static camber,alignment,deg,sideslip_gradient_rad_per_mps2,-2.5,0.0,0.5,0.0007955994984495635,0.0008893884524499339,0.0008542075278101763,5.8608029360612715e-05,1.9536009786870906e-05,6.5896998324151195,6.5896998324151195,-10.545330754184715,-3.9556309217695955,increases_with_parameter,6
rear_camber_deg,rear static camber,alignment,deg,sideslip_gradient_deg_per_g,-2.5,0.0,0.5,0.44718404058144445,0.4999001665889719,0.4801259610214008,0.03294192043995636,0.01098064014665212,6.589699832415115,6.589699832415115,-10.545330754184711,-3.955630921769595,increases_with_parameter,6
rear_camber_deg,rear static camber,alignment,deg,understeer_gradient_rad_per_mps2,-2.5,0.0,0.5,0.000540916048115328,0.0007014129953022076,0.0006523208839613096,0.00011140483584598157,3.7134945281993855e-05,15.882915855869221,15.882915855869221,-22.881946622293277,-6.999030766424054,increases_with_parameter,4
rear_camber_deg,rear static camber,alignment,deg,understeer_gradient_deg_per_g,-2.5,0.0,0.5,0.304033655731237,0.3942444634100774,0.36665117212108267,0.0626175163898457,0.0208725054632819,15.882915855869216,15.882915855869216,-22.88194662229327,-6.9990307664240525,increases_with_parameter,4
rear_camber_deg,rear static camber,alignment,deg,roll_gradient_deg_per_g,-2.5,0.0,0.5,0.895181004412198,0.8936183079468291,0.8925803661444349,-0.0026006382677630224,-0.0008668794225876741,-0.2910233871257886,0.2910233871257886,0.174872924096567,-0.11615046302922165,decreases_with_parameter,13
rear_camber_deg,rear static camber,alignment,deg,handwheel_torque_min,-2.5,0.0,0.5,-18.84062224248072,-18.78883108901611,-18.75911068247134,0.08151156000937831,0.027170520003126104,0.4338298621303254,0.4338298621303254,-0.27564861922084416,0.15818124290948127,increases_with_parameter,12
