case_id,parameter,level,value,status,metric_target_velocity_mps,metric_source_velocity_mps,ay_min,ay_max,roadwheel_angle_gradient_rad_per_mps2,roadwheel_angle_gradient_deg_per_g,handwheel_angle_gradient_rad_per_mps2,handwheel_angle_gradient_deg_per_g,sideslip_gradient_rad_per_mps2,sideslip_gradient_deg_per_g,understeer_gradient_rad_per_mps2,understeer_gradient_deg_per_g,roll_gradient_deg_per_g,handwheel_torque_min,handwheel_torque_max,roadwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,handwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,sideslip_gradient_velocity_slope_deg_per_g_per_mps,understeer_gradient_velocity_slope_deg_per_g_per_mps,roll_gradient_velocity_slope_deg_per_g_per_mps,handwheel_torque_peak_abs
front_toe_deg_high,front_toe_deg,high,1.0,ok,15.0,15.0,2.26828784874237,18.85038259689291,0.00837546629322854,4.707613398523361,0.03439636671286728,19.333227682968662,0.0006430256580414543,0.3614265877754934,0.00207981485855989,1.1690052770578732,0.8405930087318029,-18.78938209210315,-2.952455932579023,-0.3424218968858654,-1.4046345335249943,-0.16658925427259774,0.059947777185711995,-0.006270567377223695,18.78938209210315
rear_toe_deg_low,rear_toe_deg,low,-1.0,ok,15.0,15.0,2.27413091019682,18.82862051074579,0.008371547859938277,4.70541095767856,0.03437929854501952,19.323634147177906,0.0006327643512083966,0.355658996594007,0.0020778922587542277,1.16792463792827,0.839969791526301,-18.40816364842672,-2.937170425385412,-0.34449544028963774,-1.4130564310233695,-0.16651462466777633,0.05891499772582339,-0.006028382603350271,18.40816364842672
rear_toe_deg_high,rear_toe_deg,high,1.0,ok,15.0,15.0,-2.348798230746229,18.05856378751083,0.008887496078682519,4.995410900663033,0.03648963705646209,20.50979590869308,0.0009374915721767498,0.5269375735832326,0.0020960037137286785,1.1781045759901556,0.8386413722552696,-19.16910899034214,2.083654928708342,0.8019549626859107,3.294516768591653,-0.1733979821549166,0.9373053755266455,-0.00010672790580590943,19.16910899034214
front_camber_deg_low,front_camber_deg,low,-2.5,ok,15.0,15.0,1.003831638464375,19.63936544392396,0.007594029588957335,4.26838986513045,0.03151321384820406,17.712688768418555,0.0008874421237443952,0.49880619011395066,0.0006778316327527948,0.380990044562639,0.895797511706871,-22.52487915167915,-7.544249642432273,-0.40649380433576565,-1.666576660956434,-0.18814858475072785,0.02815711822853945,0.0015584577596480442,22.52487915167915
front_camber_deg_high,front_camber_deg,high,0.5,ok,15.0,15.0,1.059526551985414,18.2850486920272,0.007606821622832556,4.275579906610773,0.031236389282946902,17.557093487293898,0.0008904250295481278,0.5004827973423193,0.0007456186865384916,0.41909123576508844,0.892659215568622,-17.84730935314736,-0.7617658185492189,-0.41327767724179604,-1.6948889755961414,-0.18878185076933743,0.02209565601784832,0.0018963754210357588,17.84730935314736
rear_camber_deg_low,rear_camber_deg,low,-2.5,ok,15.0,15.0,1.026749134116808,18.3861683603313,0.007442574447607722,4.183261201515729,0.030560467739976033,17.177177050329327,0.0007955994984495635,0.44718404058144445,0.000540916048115328,0.304033655731237,0.895181004412198,-18.84062224248072,-2.108363109122217,-0.4160424293009097,-1.7060916916269953,-0.18533585826252874,0.0185606734643994,0.0016564894810091886,18.84062224248072
rear_camber_deg_high,rear_camber_deg,high,0.5,ok,15.0,15.0,1.032763979631588,18.63211299359699,0.007543353410141265,4.239906214187532,0.030974708128693306,17.41000989041986,0.0008542075278101763,0.4801259610214008,0.0006523208839613096,0.36665117212108267,0.8925803661444349,-18.75911068247134,-1.815383222570518,-0.4098079317178426,-1.6808964135043754,-0.1871313775005448,0.024644944754213916,0.001863371828232981,18.75911068247134
sprung_mass_kg_low,sprung_mass_kg,low,144.576,ok,15.0,15.0,1.068797059579893,18.76603030244963,0.007592858572438858,4.267731669770422,0.0311650444697764,17.51699257987718,0.0010216351338152194,0.574232296563491,0.0007529163216695716,0.4231930306643624,0.834061136375532,-17.86424800531235,-1.781570912447376,-0.40987772175715687,-1.6800100496670467,-0.18704078658646486,0.024508246876850572,0.0012852360242181994,17.86424800531235
sprung_mass_kg_high,sprung_mass_kg,high,176.704,ok,15.0,15.0,1.07829654241345,18.36468473603447,0.007516077373541915,4.224575123253822,0.030879832557220235,17.356683007375715,0.0007587506408038894,0.42647233691029435,0.0006304215284199824,0.35434216197692764,0.9556939968923682,-19.68487157722946,-2.051743359624794,-0.41490520068485026,-1.7028193452840268,-0.18650645606116628,0.020220857898587786,0.002112119336655557,19.68487157722946
sprung_cg_x_m_low,sprung_cg_x_m,low,-1.0,ok,15.0,15.0,1.070910813108542,18.38715199984856,0.0074916532456264584,4.2108470097618,0.03076256445778769,17.290769915879622,0.0005581117265433837,0.31369886162312405,0.0005836058943168455,0.3280284143420673,0.8908764739311671,-17.41250904011692,-1.759586768530364,-0.41499630944929694,-1.7015513238387359,-0.17449731758635756,0.021188220254884555,0.0018180869130424732,17.41250904011692
sprung_cg_x_m_high,sprung_cg_x_m,high,-0.8400000000000001,ok,15.0,15.0,1.073866028629369,18.70861624094634,0.007635611745746163,4.291762022761465,0.03136171416042235,17.62753506651065,0.0012206518855708915,0.6860940000549213,0.0008001522211265569,0.4497429976022974,0.8964346880493116,-20.21341220683026,-2.071968316516724,-0.4100220088079419,-1.6825987729929652,-0.19906177921469093,0.023830626458724597,0.001964585356074733,20.21341220683026
sprung_cg_z_m_low,sprung_cg_z_m,low,0.21,ok,15.0,15.0,1.074511951228527,18.99642942511836,0.007556325020000461,4.247197190264045,0.031033724391961188,17.44318126762608,0.0009035908443948484,0.5078829305653507,0.0006888197101708848,0.3871661329935881,0.8160130188390803,-18.98843971350257,-1.937299879848232,-0.41256253465809506,-1.6923201557113896,-0.18801539298877545,0.022078650063237112,0.0012812766196227995,18.98843971350257
sprung_cg_z_m_high,sprung_cg_z_m,high,0.3,ok,15.0,15.0,1.073722817934301,18.04403724660919,0.007561007040642178,4.249828822024408,0.031046799442129888,17.450530384583345,0.0008692765695747808,0.4885958444201691,0.0007034495171575562,0.3953891349109795,0.9924045966857352,-18.59011333649609,-1.88892875098241,-0.4126257103623015,-1.69240551467269,-0.18941749286681397,0.022277296011408862,0.00198771274705566,18.59011333649609
torsional_stiffness_n_m_per_rad_low,torsional_stiffness_n_m_per_rad,low,100000.0,ok,15.0,15.0,1.073055313441123,18.37905744141072,0.007564924680952409,4.252030817157497,0.031061602251734138,17.458850626393055,0.0008937721200488229,0.5023641025181138,0.0007019670247577818,0.394555867742317,0.9204287877601325,-18.75370730085152,-1.895229966040552,-0.4129862838989512,-1.6938732486219197,-0.18818873425468774,0.021880752045153322,0.0012406223576390582,18.75370730085152
torsional_stiffness_n_m_per_rad_high,torsional_stiffness_n_m_per_rad,high,600000.0,ok,15.0,15.0,1.074523115869778,18.62803552140041,0.0075534831247864465,4.2455998411113764,0.03102096137615209,17.43600753638236,0.0008879170355977955,0.49907312467328296,0.0006884230162848382,0.3869431625478023,0.8866173343478511,-18.79899254510145,-1.92157940948523,-0.41260887879715197,-1.6924712046244457,-0.18868587006395068,0.02231069153466249,0.0020481415655651206,18.79899254510145
aero_downforce_scale_low,aero_downforce_scale,low,0.65,ok,15.0,15.0,1.084443139444951,18.81721257396939,0.007465395943319918,4.196088520643733,0.03064139043404195,17.22266141448196,0.0007954260449836186,0.44708654727997144,0.0005100596300108077,0.28669013332738946,0.8858224163323306,-18.78546031659788,-1.942524300233087,-0.4150692551357096,-1.7025233486145455,-0.1904635046311872,0.020962960306150382,0.0005733280949253514,18.78546031659788
aero_downforce_scale_high,aero_downforce_scale,high,1.35,ok,15.0,15.0,1.065509833912618,18.34376787015531,0.007633972103881167,4.29084042631033,0.031351092302496324,17.621564819728068,0.000963059760231118,0.5413087310145533,0.000777537180554133,0.43703172108591215,0.902252182402426,-18.77160499620045,-1.891050536783948,-0.41151077675247116,-1.6875309940400331,-0.18546599832064117,0.024110346670249992,0.003244562421202083,18.77160499620045
aero_drag_scale_low,aero_drag_scale,low,0.75,ok,15.0,15.0,1.084721208997428,18.55372931262096,0.0075369132796314145,4.236286398452506,0.030947663047708192,17.3948086131235,0.0008780934818518532,0.4935515821565515,0.0007051030922276231,0.39631856282373995,0.8937211749737646,-18.77746718088116,-1.890660945818146,-0.41231798850923784,-1.691155870374515,-0.18929936523099825,0.02225328661994488,0.0018392063435833457,18.77746718088116
aero_drag_scale_high,aero_drag_scale,high,1.25,ok,15.0,15.0,1.063792022487603,18.59545071642016,0.007581337491613288,4.26125599515589,0.031136813467823075,17.50112472984993,0.0009000887849541923,0.5059145217188382,0.0007020154177579018,0.39458306808290505,0.8936697885317593,-18.80031345352705,-1.940783672504881,-0.41357218663941286,-1.696458706906678,-0.18922948821806776,0.021516634320280864,0.0018103594525574738,18.80031345352705
lateral_tire_mu_scale_low,lateral_tire_mu_scale,low,0.9,ok,15.0,15.0,1.07411523440014,17.45516784589597,0.00756048057994024,4.249532913311094,0.031048663637446686,17.45157819619688,0.0008869298215908913,0.4985182395214115,0.0007030754604606945,0.3951788881908204,0.8935625522523937,-17.77008134261362,-1.91536045923887,-0.4131553501867989,-1.6946902697027568,-0.18822789605567125,0.021858796384033468,0.0019264817976324066,17.77008134261362
lateral_tire_mu_scale_high,lateral_tire_mu_scale,high,1.1,ok,15.0,15.0,1.074294560997122,19.4542144582406,0.0075544586995998685,4.24614818420084,0.031013141809310613,17.431612378388188,0.0008909421049378681,0.5007734308363323,0.0006670864366957329,0.37495047289498373,0.8936866153019644,-19.68203374353381,-1.916306137228708,-0.4121198707383676,-1.6901994976176045,-0.18858916230711045,0.02283786480118422,0.0019184875593387808,19.68203374353381
front_rack_travel_per_rev_m_low,front_rack_travel_per_rev_m,low,0.07556500000000001,ok,15.0,15.0,1.068456002249927,17.52138054501761,0.007536762445630883,4.236201618914627,0.03641472936260862,20.46769240652482,0.0008957364141123867,0.5034681768142217,0.0006446757722068729,0.3623540704113555,0.8915434572534886,-15.90064466192588,-1.6076326123099,-0.4142809264668807,-1.999157410097373,-0.1891542445670854,0.0239492329038175,0.001937143046615982,15.90064466192588
front_rack_travel_per_rev_m_high,front_rack_travel_per_rev_m,high,0.102235,ok,15.0,15.0,1.037853163602525,19.01272320121669,0.007574093067092484,4.257184108440007,0.027043551780038328,15.200417773312244,0.0008840846235356352,0.4969190339348276,0.0007344793091636705,0.41283010589542213,0.8957864520928638,-21.68413710243099,-2.169797504414758,-0.4105507756420939,-1.4643293906518735,-0.1865334640102266,0.02075508474430207,0.001641881491330201,21.68413710243099
