candidate_id,label,temperature_status,transient_run,transient_pressure_psi,transient_temperature_samples,transient_elapsed_time_min_s,transient_elapsed_time_max_s,transient_tread_mean_c,transient_tread_peak_c,transient_tread_start_c,transient_tread_end_c,transient_tread_rise_c,transient_tread_inner_mean_c,transient_tread_center_mean_c,transient_tread_outer_mean_c,transient_tread_inner_minus_outer_c,transient_surface_spread_mean_c,transient_rim_temp_mean_c,transient_ambient_temp_mean_c
Round_9_Hoosier_43070_16x6p0_10_r20_7in_12psi_MF52_UM14,Hoosier 43070 16x6.0-10 7in 12 psi,ok,13,12.0,20199,0.15,363.01,31.674261267059425,33.64666666666667,27.97351155115512,32.43446864686469,4.460957095709567,30.61782811030249,31.23746027031041,33.16749542056537,-2.5496673102628846,2.6222793207584534,33.15305015099757,26.804936382989254
Round_9_Hoosier_43070_16x6p0_10_r20_7in_14psi_MF52_UM14,Hoosier 43070 16x6.0-10 7in 14 psi,ok,13,14.0,19546,593.128,798.472,31.852529076707935,32.89666666666667,32.08129856850716,32.22502726653033,0.14372869802317467,31.651785019952932,31.27316791159317,32.63263429857771,-0.9808492786247826,1.3669144582011663,33.03352092499744,26.953035403663154
Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_10psi_MF52_UM14,Hoosier 43100 18.0x6.0-10 6in 10 psi,ok,27,10.0,18999,378.14,578.018,30.28490973209116,31.393333333333334,30.387385964912283,30.817101754385963,0.42971578947367917,30.249417337754615,29.31446181377967,31.290850044739194,-1.0414327069845783,1.9786888783620191,30.917965682404333,26.423188062529608
Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_12psi_MF52_UM14,Hoosier 43100 18.0x6.0-10 6in 12 psi,ok,27,12.0,20199,0.16,363.02,30.240605805567935,31.546666666666667,27.615557755775576,30.89919141914191,3.2836336633663343,30.09053368978662,29.372776870142086,31.258506856775092,-1.1679731669884648,1.9823783355611664,30.558578642507054,25.773688796475074
Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_14psi_MF52_UM14,Hoosier 43100 18.0x6.0-10 6in 14 psi,ok,27,14.0,19522,593.138,798.242,30.507185226923472,31.629999999999995,30.62179802115319,30.817311497782327,0.19551347662913798,30.49225642864461,29.631436328245066,31.397862923880748,-0.9056064952361438,1.769170679233685,30.89928132363487,26.641184817129393
Round_9_Hoosier_43100_18p0x6p0_10_r20_7in_10psi_MF52_UM14,Hoosier 43100 18.0x6.0-10 7in 10 psi,ok,30,10.0,18999,378.14,578.018,31.28309419794024,32.26666666666667,31.767312280701752,31.561887719298245,-0.2054245614035075,31.045401863255965,30.489807884625506,32.31407284593926,-1.2686709826832991,1.850271066898258,32.08011158482026,26.68372703826517
Round_9_Hoosier_43100_18p0x6p0_10_r20_7in_12psi_MF52_UM14,Hoosier 43100 18.0x6.0-10 7in 12 psi,ok,30,12.0,20199,0.16,363.02,31.39601234384541,32.68333333333333,28.72826402640264,31.92609570957096,3.1978316831683173,31.11806030001485,30.592021387197384,32.47795534432397,-1.359895044309124,1.9749972770929252,31.959519283132828,26.846785484429923
Round_9_Hoosier_43100_18p0x6p0_10_r20_7in_14psi_MF52_UM14,Hoosier 43100 18.0x6.0-10 7in 14 psi,ok,30,14.0,19585,593.138,798.872,31.373062037273424,32.10333333333333,31.33816666666667,31.610044217687076,0.2718775510204061,31.318469747255552,30.647684962981877,32.153031401582844,-0.8345616543272912,1.5106270104671942,31.902693387796784,26.929878989022207
Round_9_Goodyear_D0571_18p0x6p5_10_6in_10psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 6in 10 psi,ok,33,10.0,18999,378.13,578.008,31.799592434689544,33.06666666666667,32.45299649122807,32.15300701754386,-0.2999894736842137,31.414360229485766,31.814430233170167,32.1699868414127,-0.7556266119269434,0.9449534186009789,33.33041002158008,26.721465340281068
Round_9_Goodyear_D0571_18p0x6p5_10_6in_12psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 6in 12 psi,ok,33,12.0,20199,0.15,363.01,32.518967110583034,34.1,28.350765676567658,32.75922112211221,4.408455445544551,31.969108866775585,32.34237784048715,33.24541462448636,-1.2763057577107777,1.492505074508639,33.406266646863706,26.812162483291253
Round_9_Goodyear_D0571_18p0x6p5_10_6in_14psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 6in 14 psi,ok,33,14.0,19556,593.128,798.572,32.03839009340697,32.56666666666666,32.175207907293796,31.91767893660532,-0.257528970688476,31.943099815913275,31.691053896502353,32.48101656780528,-0.5379167518920023,0.8562461648598891,32.90635252607895,26.936206790754753
Round_9_Goodyear_D0571_18p0x6p5_10_7in_10psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 7in 10 psi,ok,36,10.0,18999,378.14,578.018,29.73790603014194,30.42,30.144242105263157,30.024719298245618,-0.11952280701753892,28.592808568872048,29.887076161903256,30.733833359650507,-2.141024790778462,2.1460103163324384,30.26235591346913,25.56188378335702
Round_9_Goodyear_D0571_18p0x6p5_10_7in_12psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 7in 12 psi,ok,36,12.0,20199,0.16,363.02,30.324367377923004,32.120000000000005,27.73920792079208,30.49589438943894,2.756686468646862,28.91325709193524,30.15474280904995,31.905102232783808,-2.991845140848557,2.993906133967028,29.621700579236595,25.502312985791377
Round_9_Goodyear_D0571_18p0x6p5_10_7in_14psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 7in 14 psi,ok,36,14.0,19556,593.138,798.582,29.59610622485852,30.58666666666667,29.858118609406954,29.778885480572598,-0.07923312883435685,28.498994681939045,30.071235937819598,30.21808805481694,-1.719093372877889,1.7739164450807932,30.554164962159952,25.57454796481898
