candidate_id,label,source,brand,model,family,tire_size,rim_width_in,pressure_psi,is_reference,path,use_mode,fnomin_n,fzmin_n,fzmax_n,unloaded_radius_m,width_m,rim_width_m,vertical_stiffness_n_per_m,vertical_damping_n_s_per_m,mu_y,mu_x,mu_x_to_y,ky_norm_per_rad,kx_norm,sigma_alpha_m,sigma_kappa_m,lateral_nrmse,longitudinal_nrmse,fx_combined_nrmse,fy_combined_nrmse,lateral_relaxation_sigma_rmse_m,longitudinal_combined_source,lateral_relaxation_source,notes
Round_9_Hoosier_43070_16x6p0_10_r20_6in_8psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 8 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,6.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_6in_8psi_MF52_UM14.tir,14.0,653.595,200.8304,1228.0632,0.2032,0.1524,0.1524,100000.0,100.0,2.56540235,2.52114508,0.9827484098157158,32.76421757934094,46.3370676,0.3939672262507147,0.2166381438224317,0.014634176186923252,0.024614356569811275,0.06712611850050197,0.0874824963826706,nan,scaled_18in_hoosier_long_combined,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Hoosier_43070_16x6p0_10_r20_7in_10psi_MF52_UM14,Hoosier 43070 16x6.0-10 7in 10 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,7.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_7in_10psi_MF52_UM14.tir,14.0,672.39,197.7866,1163.6907,0.2032,0.1524,0.1778,100000.0,100.0,2.42532313,2.06108015,0.8498167211228468,38.17964682798139,39.3285989,0.23243445157628095,0.19587700142183054,0.009854908669972039,0.01923412980298334,0.03724784575578408,0.054905512639615066,0.008066830256017715,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43070_16x6p0_10_r20_7in_12psi_MF52_UM14,Hoosier 43070 16x6.0-10 7in 12 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,7.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_7in_12psi_MF52_UM14.tir,14.0,669.905,188.1655,1153.53675,0.2032,0.1524,0.1778,100000.0,100.0,2.35383561,2.043872,0.8683155235296997,36.91615438967676,37.6023392,0.20866934518639943,0.19505758995205152,0.012395458024810471,0.03076707396434499,0.03922791540373015,0.05835332751872972,0.012643453356264907,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43070_16x6p0_10_r20_7in_14psi_MF52_UM14,Hoosier 43070 16x6.0-10 7in 14 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,7.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_7in_14psi_MF52_UM14.tir,14.0,678.615,192.13605,1151.7179,0.2032,0.1524,0.1778,100000.0,100.0,2.41627537,2.1474776,0.8887553242741535,35.017557031859745,32.0564634,0.18613036670039163,0.1999402949508583,0.009918743401914062,0.019773287231635624,0.03165798111653311,0.05264912672997758,0.0037999758530333017,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43070_16x6p0_10_r20_7in_8psi_MF52_UM14,Hoosier 43070 16x6.0-10 7in 8 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,7.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_7in_8psi_MF52_UM14.tir,14.0,666.5,200.5104,1178.3464,0.2032,0.1524,0.1778,100000.0,100.0,2.4158942,2.06610558,0.8552136016552381,38.77764088684404,44.9564144,0.2553821393635799,0.1961156545959512,0.010362718937866132,0.02318021397199719,0.04625253861541251,0.06153047346657869,nan,scaled_18in_hoosier_long_combined,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Hoosier_43075_16x7p5_10_r20_7in_10psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 10 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,7.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_7in_10psi_MF52_UM14.tir,14.0,662.225,198.401,1217.5422,0.2032,0.1905,0.1778,100000.0,100.0,2.53234325,2.15202763,0.8498167181719936,43.27266426479506,43.9010118,0.3612351615728682,0.20015199749996476,0.013707537472704022,0.01923412980298334,0.03724784575578408,0.054905512639615066,0.03023653539438438,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43075_16x7p5_10_r20_7in_12psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 12 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,7.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_7in_12psi_MF52_UM14.tir,14.0,674.04,196.5451,1190.2749,0.2032,0.1905,0.1778,100000.0,100.0,2.45317169,2.13012706,0.8683155234030929,40.86454785950375,41.8810497,0.30994569518844084,0.1991309482598682,0.012155350613966623,0.03076707396434499,0.03922791540373015,0.05835332751872972,0.03237174617408422,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43075_16x7p5_10_r20_7in_14psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 14 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,7.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_7in_14psi_MF52_UM14.tir,14.0,671.395,197.08475,1165.51,0.2032,0.1905,0.1778,100000.0,100.0,2.37268905,2.10874002,0.8887553217308437,41.85117839600674,37.9046161,0.26300899104266384,0.1981287627255928,0.010892285510284485,0.019773287231635624,0.03165798111653311,0.05264912672997758,0.02611711742871332,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
Round_9_Hoosier_43075_16x7p5_10_r20_7in_8psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 8 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,7.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_7in_8psi_MF52_UM14.tir,14.0,677.36,199.99,1242.1652,0.2032,0.1905,0.1778,100000.0,100.0,2.70072099,2.30969332,0.8552135998320951,40.6868167443227,47.9383836,0.4096227864648617,0.20735435732303395,0.01547116467680222,0.02318021397199719,0.04625253861541251,0.06153047346657869,nan,scaled_18in_hoosier_long_combined,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Hoosier_43075_16x7p5_10_r20_8in_10psi_MF52_UM14,Hoosier 43075 16x7.5-10 8in 10 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,8.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_8in_10psi_MF52_UM14.tir,14.0,673.84,206.2272,1176.1846,0.2032,0.1905,0.2032,100000.0,100.0,2.51404631,2.13647859,0.8498167203610502,44.57325901787114,46.0136304,0.2666452035556539,0.19942760752381725,0.009105537858104676,0.01923412980298334,0.03724784575578408,0.054905512639615066,0.020940653604096363,scaled_18in_hoosier_long_combined,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: scaled_18in_hoosier_long_combined. Lateral relaxation source: transient_step_steer_fit.
