candidate_id,label,source,brand,model,family,tire_size,rim_width_in,pressure_psi,is_reference,path,reference_unloaded_radius_m,architecture_unloaded_radius_m,architecture_radius_delta_m,architecture_radius_delta_mm,architecture_cg_height_m,architecture_cg_height_delta_pct,architecture_tire_width_m,architecture_rim_radius_m,architecture_rim_width_m,max_lateral_g__05mps,max_accel_g__05mps,max_brake_g__05mps,ggv_area_g2__05mps,max_lateral_g__10mps,max_accel_g__10mps,max_brake_g__10mps,ggv_area_g2__10mps,max_lateral_g__15mps,max_accel_g__15mps,max_brake_g__15mps,ggv_area_g2__15mps,max_lateral_g__20mps,max_accel_g__20mps,max_brake_g__20mps,ggv_area_g2__20mps,max_lateral_g__25mps,max_accel_g__25mps,max_brake_g__25mps,ggv_area_g2__25mps,mean_max_lateral_g,mean_max_accel_g,mean_max_brake_g,mean_ggv_area_g2,fz_min_seen_n,fz_max_seen_n,fz_range_exceeded,fz_max_excess_pct
Round_9_Hoosier_43070_16x6p0_10_r20_6in_8psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 8 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,6.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_6in_8psi_MF52_UM14.tir,0.2032,0.2032,0.0,0.0,0.27961567837774426,0.0,0.1524,0.127,0.1524,1.6149999999999998,1.4400000000000002,1.4580000000000002,6.34581,1.6624999999999999,1.425,1.5300000000000002,6.7905524999999995,1.8049999999999997,1.3950000000000002,1.6560000000000004,7.549222499999999,1.9474999999999998,1.3350000000000002,1.818,8.624670000000002,2.1374999999999997,1.065,2.052,9.581842499999999,1.8334999999999997,1.332,1.7028000000000003,7.7784195,185.8509041194717,1355.3747576789046,1,10.366857151887997
Round_9_Hoosier_43070_16x6p0_10_r20_7in_10psi_MF52_UM14,Hoosier 43070 16x6.0-10 7in 10 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,7.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_7in_10psi_MF52_UM14.tir,0.2032,0.2032,0.0,0.0,0.27961567837774426,0.0,0.1524,0.127,0.1778,1.5675,1.4400000000000002,1.3860000000000001,6.09843,1.6149999999999998,1.425,1.4580000000000002,6.5206575,1.7575,1.3950000000000002,1.5660000000000003,7.23957,1.9,1.3350000000000002,1.728,8.243625,2.09,1.065,1.944,9.057585,1.786,1.332,1.6164,7.431973500000001,189.31620768841412,1335.606289952789,1,14.773306167419646
Round_9_Hoosier_43070_16x6p0_10_r20_7in_12psi_MF52_UM14,Hoosier 43070 16x6.0-10 7in 12 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,7.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_7in_12psi_MF52_UM14.tir,0.2032,0.2032,0.0,0.0,0.27961567837774426,0.0,0.1524,0.127,0.1778,1.5199999999999998,1.4400000000000002,1.3860000000000001,5.972317500000001,1.6149999999999998,1.425,1.4400000000000002,6.43188,1.71,1.3950000000000002,1.5660000000000003,7.1348325,1.8524999999999998,1.3350000000000002,1.728,8.128770000000001,2.0425,1.065,1.926,8.9243475,1.748,1.332,1.6092000000000002,7.318429499999999,192.7815112573566,1332.5362288901727,1,15.51744917447777
Round_9_Hoosier_43070_16x6p0_10_r20_7in_14psi_MF52_UM14,Hoosier 43070 16x6.0-10 7in 14 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,7.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_7in_14psi_MF52_UM14.tir,0.2032,0.2032,0.0,0.0,0.27961567837774426,0.0,0.1524,0.127,0.1778,1.5675,1.4400000000000002,1.332,5.955217500000001,1.6149999999999998,1.425,1.4040000000000001,6.3743099999999995,1.7575,1.3950000000000002,1.5120000000000002,7.0869525,1.9,1.3350000000000002,1.6740000000000004,8.102835000000002,2.09,1.065,1.89,8.912092499999998,1.786,1.332,1.5624,7.286281499999999,189.31620768841412,1330.3664285684035,1,15.51148319987068
Round_9_Hoosier_43070_16x6p0_10_r20_7in_8psi_MF52_UM14,Hoosier 43070 16x6.0-10 7in 8 psi,round9_fitted_full_um14,Hoosier,43070,Hoosier 43070,16x6.0-10,7.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43070_16x6p0_10_r20_7in_8psi_MF52_UM14.tir,0.2032,0.2032,0.0,0.0,0.27961567837774426,0.0,0.1524,0.127,0.1778,1.5675,1.4400000000000002,1.4400000000000002,6.232807500000001,1.6624999999999999,1.425,1.5120000000000002,6.657884999999999,1.7575,1.3950000000000002,1.6200000000000003,7.432087500000001,1.9,1.3350000000000002,1.782,8.452387500000002,2.09,1.065,1.98,9.219465,1.7954999999999999,1.332,1.6668000000000003,7.5989265,199.34935065520307,1345.0113217383655,1,14.143966641589062
Round_9_Hoosier_43075_16x7p5_10_r20_7in_10psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 10 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,7.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_7in_10psi_MF52_UM14.tir,0.2032,0.2032,0.0,0.0,0.27961567837774426,0.0,0.1905,0.127,0.1778,1.6149999999999998,1.4400000000000002,1.4220000000000002,6.294510000000001,1.6624999999999999,1.425,1.4940000000000002,6.732982499999999,1.8049999999999997,1.3950000000000002,1.6020000000000003,7.4759775,1.9474999999999998,1.3350000000000002,1.764,8.510955000000001,2.1374999999999997,1.065,1.98,9.358830000000001,1.8334999999999997,1.332,1.6524,7.674651,185.8509041194717,1345.0113217383655,1,10.469380177407023
Round_9_Hoosier_43075_16x7p5_10_r20_7in_12psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 12 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,7.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_7in_12psi_MF52_UM14.tir,0.2032,0.2032,0.0,0.0,0.27961567837774426,0.0,0.1905,0.127,0.1778,1.5675,1.4400000000000002,1.4040000000000001,6.177232500000001,1.6624999999999999,1.425,1.4760000000000002,6.5920499999999995,1.7575,1.3950000000000002,1.6020000000000003,7.3743750000000015,1.9,1.3350000000000002,1.764,8.39781,2.09,1.065,1.962,9.222029999999997,1.7954999999999999,1.332,1.6416000000000004,7.5526995,185.8509041194717,1340.8529574556344,1,12.650695856531506
Round_9_Hoosier_43075_16x7p5_10_r20_7in_14psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 14 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,7.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_7in_14psi_MF52_UM14.tir,0.2032,0.2032,0.0,0.0,0.27961567837774426,0.0,0.1905,0.127,0.1778,1.5199999999999998,1.4400000000000002,1.314,5.898075,1.6149999999999998,1.425,1.3860000000000001,6.3089025,1.71,1.3950000000000002,1.4940000000000002,7.023825,1.8524999999999998,1.3350000000000002,1.6740000000000004,8.027595,2.0425,1.065,1.89,8.82474,1.748,1.332,1.5516,7.2166274999999995,189.31620768841412,1327.0993861244433,1,13.864264238354309
Round_9_Hoosier_43075_16x7p5_10_r20_7in_8psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 8 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,7.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_7in_8psi_MF52_UM14.tir,0.2032,0.2032,0.0,0.0,0.27961567837774426,0.0,0.1905,0.127,0.1778,1.71,1.4400000000000002,1.5120000000000002,6.803805000000001,1.7575,1.425,1.5840000000000003,7.303410000000001,1.8524999999999998,1.3950000000000002,1.71,8.093572499999999,2.0425,1.3350000000000002,1.8719999999999999,9.1965225,2.2325,1.065,2.088,10.090139999999998,1.919,1.332,1.7532000000000003,8.29749,178.5575292415486,1368.873204214636,1,10.200575914913417
Round_9_Hoosier_43075_16x7p5_10_r20_8in_10psi_MF52_UM14,Hoosier 43075 16x7.5-10 8in 10 psi,round9_fitted_full_um14,Hoosier,43075,Hoosier 43075,16x7.5-10,8.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Hoosier_43075_16x7p5_10_r20_8in_10psi_MF52_UM14.tir,0.2032,0.2032,0.0,0.0,0.27961567837774426,0.0,0.1905,0.127,0.2032,1.6149999999999998,1.4400000000000002,1.4040000000000001,6.28254,1.6624999999999999,1.425,1.4760000000000002,6.7118925,1.7575,1.3950000000000002,1.6020000000000003,7.452750000000001,1.9474999999999998,1.3350000000000002,1.764,8.4914325,2.1374999999999997,1.065,1.962,9.3261975,1.8239999999999998,1.332,1.6416000000000004,7.652962499999999,185.8509041194717,1342.899664830712,1,14.174226123238817
