candidate_id,cell_id,manufacturer,cell_model,form_factor,series_cells,parallel_cells,total_cells,maximum_pack_voltage_v,nominal_pack_voltage_v,nominal_pack_energy_kwh,model_usable_energy_kwh,cell_envelope_l,cell_envelope_vs_baseline_pct,cell_mass_kg,cell_capacity_ah,cell_dcir_mohm,cell_continuous_current_a,pack_current_limit_a,pack_mass_kg,source_url,dcir_basis
ampace_jp50_125s3p,ampace_jp50,Ampace,JP50P1 (JP50),21700,125,3,375,525.0,447.5,6.7125,6.615937499999999,9.457969414843948,82.13366132529109,0.072,5.0,8.188,40.0,120.0,33.74999999999999,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
ampace_jp50_130s2p,ampace_jp50,Ampace,JP50P1 (JP50),21700,130,2,260,546.0,465.40000000000003,4.654,4.58705,6.55752546095847,56.94600518553516,0.072,5.0,8.188,40.0,80.0,23.4,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
ampace_jp50_130s3p,ampace_jp50,Ampace,JP50P1 (JP50),21700,130,3,390,546.0,465.40000000000003,6.981,6.8805749999999986,9.836288191437704,85.41900777830273,0.072,5.0,8.188,40.0,120.0,35.099999999999994,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
ampace_jp50_135s2p,ampace_jp50,Ampace,JP50P1 (JP50),21700,135,2,270,567.0,483.3,4.833,4.763475,6.809737978687642,59.13623615420958,0.072,5.0,8.188,40.0,80.0,24.299999999999997,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),21700,135,3,405,567.0,483.3,7.2495,7.1452124999999995,10.214606968031463,88.70435423131437,0.072,5.0,8.188,40.0,120.0,36.449999999999996,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
ampace_jp50_140s2p,ampace_jp50,Ampace,JP50P1 (JP50),21700,140,2,280,588.0,501.2,5.012,4.9399,7.061950496416814,61.32646712288401,0.072,5.0,8.188,40.0,80.0,25.2,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),21700,140,3,420,588.0,501.2,7.518,7.40985,10.592925744625221,91.98970068432601,0.072,5.0,8.188,40.0,120.0,37.8,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
tenpower_50xg_110s2p,tenpower_50xg,Tenpower,INR21700-50XG,21700,110,2,220,462.0,396.0,3.96,3.8813499999999994,5.630910168982596,48.89921382559102,0.075,5.0,8.188,40.0,80.0,20.625,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/95856/INR21700-50XG%20specification.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
tenpower_50xg_110s3p,tenpower_50xg,Tenpower,INR21700-50XG,21700,110,3,330,462.0,396.0,5.94,5.822025,8.446365253473894,73.34882073838652,0.075,5.0,8.188,40.0,120.0,30.9375,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/95856/INR21700-50XG%20specification.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,21700,110,4,440,462.0,396.0,7.92,7.762699999999999,11.261820337965192,97.79842765118204,0.075,5.0,8.188,40.0,160.0,41.25,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/95856/INR21700-50XG%20specification.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
tenpower_50xg_115s2p,tenpower_50xg,Tenpower,INR21700-50XG,21700,115,2,230,483.0,414.0,4.14,4.0577749999999995,5.886860631209078,51.12190536311788,0.075,5.0,8.188,40.0,80.0,21.5625,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/95856/INR21700-50XG%20specification.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
tenpower_50xg_115s3p,tenpower_50xg,Tenpower,INR21700-50XG,21700,115,3,345,483.0,414.0,6.21,6.086662499999999,8.830290946813616,76.68285804467682,0.075,5.0,8.188,40.0,120.0,32.34375,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/95856/INR21700-50XG%20specification.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
tenpower_50xg_120s2p,tenpower_50xg,Tenpower,INR21700-50XG,21700,120,2,240,504.0,432.0,4.32,4.2341999999999995,6.14281109343556,53.344596900644746,0.075,5.0,8.188,40.0,80.0,22.5,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/95856/INR21700-50XG%20specification.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
tenpower_50xg_120s3p,tenpower_50xg,Tenpower,INR21700-50XG,21700,120,3,360,504.0,432.0,6.48,6.351299999999999,9.214216640153339,80.01689535096712,0.075,5.0,8.188,40.0,120.0,33.75,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/95856/INR21700-50XG%20specification.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
tenpower_50xg_125s2p,tenpower_50xg,Tenpower,INR21700-50XG,21700,125,2,250,525.0,450.0,4.5,4.410625,6.398761555662041,55.567288438171616,0.075,5.0,8.188,40.0,80.0,23.4375,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/95856/INR21700-50XG%20specification.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.
