parameter,parameter_label,parameter_group,parameter_unit,metric,parameter_low,parameter_baseline,parameter_high,response_low,response_baseline,response_high,signed_response_span,slope_per_unit,signed_effect_pct_span,abs_effect_pct_span,low_delta_from_baseline_pct,high_delta_from_baseline_pct,direction,rank_within_metric
rear_spring_rate_n_per_m,rear spring rate,ride/roll,N/m,frequency.yaw_to_ay_lag,32836.2815625,43781.70875,54727.135937499996,-0.011553788319628763,-0.011747799345187736,-0.011855590138474132,-0.0003018018188453691,-1.3786662396787753e-08,-2.5690072666162496,2.5690072666162496,1.6514669672022058,-0.9175402994140437,decreases_with_parameter,9
rear_spring_rate_n_per_m,rear spring rate,ride/roll,N/m,frequency.ay_phase_45_freq,32836.2815625,43781.70875,54727.135937499996,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,2
rear_spring_rate_n_per_m,rear spring rate,ride/roll,N/m,frequency.yaw_phase_45_freq,32836.2815625,43781.70875,54727.135937499996,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,2
rear_spring_rate_n_per_m,rear spring rate,ride/roll,N/m,frequency.ay_gain_slope,32836.2815625,43781.70875,54727.135937499996,0.9440852295733637,0.9394549935194856,0.9308699398229024,-0.013215289750461268,-6.036899941901546e-07,-1.406697483287917,1.406697483287917,0.4928640632939588,-0.9138334199939582,decreases_with_parameter,7
rear_spring_rate_n_per_m,rear spring rate,ride/roll,N/m,frequency.yaw_gain_slope,32836.2815625,43781.70875,54727.135937499996,0.3095693787439456,0.3087343413586535,0.30843527825270944,-0.001134100491236134,-5.180704561861736e-08,-0.36733862719815197,0.36733862719815197,0.27047117000891213,-0.0968674571892398,decreases_with_parameter,16
rear_spring_rate_n_per_m,rear spring rate,ride/roll,N/m,frequency.ay_phase_slope,32836.2815625,43781.70875,54727.135937499996,10.6203070261104,10.523703908015865,10.442677634142603,-0.17762939196779648,-8.114319748554652e-06,-1.6878980397053633,1.6878980397053633,0.9179573935081242,-0.769940646197239,decreases_with_parameter,11
rear_spring_rate_n_per_m,rear spring rate,ride/roll,N/m,frequency.yaw_phase_slope,32836.2815625,43781.70875,54727.135937499996,16.489246815803014,16.516082673807134,16.516996045208383,0.02774922940536939,1.267617468464814e-06,0.16801338400525756,0.16801338400525756,-0.16248319007677575,0.005530193928481811,increases_with_parameter,15
rear_spring_rate_n_per_m,rear spring rate,ride/roll,N/m,frequency.gain_variation_pct,32836.2815625,43781.70875,54727.135937499996,3.3295079293607017,3.3134910486690607,3.2847094010286124,-0.044798528332089305,-2.046449515613724e-06,-1.3520039038609644,1.3520039038609644,0.4833838527517533,-0.868620051109211,decreases_with_parameter,8
rear_spring_rate_n_per_m,rear spring rate,ride/roll,N/m,quality.ay_fit_error,32836.2815625,43781.70875,54727.135937499996,0.00249017318267648,0.002621827985801399,0.0026990719010561866,0.00020889871837970675,9.54273939249604e-09,7.96767444359451,7.96767444359451,-5.021488970210873,2.946185473383636,increases_with_parameter,11
rear_spring_rate_n_per_m,rear spring rate,ride/roll,N/m,quality.yaw_fit_error,32836.2815625,43781.70875,54727.135937499996,0.0010236363963531767,0.0009100310761751586,0.0007979226216758908,-0.00022571377467728586,-1.0310870960571448e-08,-24.80286449402982,24.80286449402982,12.483674805425204,-12.319189688604613,decreases_with_parameter,7
