generated_tir,brand,model,size,rim_width_in,pressure_psi,use_mode,cornering_runs,drive_runs,longitudinal_combined_source,donor_tire_key,lateral_points,longitudinal_points,fx_combined_points,fy_combined_points,lateral_rmse_n,lateral_nrmse,longitudinal_rmse_n,longitudinal_nrmse,fx_combined_rmse_n,fx_combined_nrmse,fy_combined_rmse_n,fy_combined_nrmse,lateral_mu_nominal,donor_lateral_mu_nominal,donor_longitudinal_mu_nominal,longitudinal_mu_scale,longitudinal_stiffness_scale,fzmin_n,fzmax_n,fznom_n,sha256
Round_9_Hoosier_43100_18p0x6p0_10_r20_7in_8psi_MF52_UM4.tir,Hoosier,43100,18.0x6.0-10 R20,7.0,8.0,4,"31,32","72,73",direct_drive_brake,,5000,5000,4500,4500,68.22197248999619,0.014752549993847052,116.59216475934709,0.02318021397199719,197.45463123881987,0.04625253861541251,96.08232630223804,0.06153047346657869,2.7916472748751286,nan,nan,1.0,1.0,189.06,1354.7806,655.625,2be9e455ce6ce38f47ef94d9ee0d52a7b0c65ac556c9109579d828cc37e9d5ba
Round_9_Hoosier_43100_18p0x6p0_10_r20_7in_10psi_MF52_UM4.tir,Hoosier,43100,18.0x6.0-10 R20,7.0,10.0,4,"31,32","72,73",direct_drive_brake,,5000,5000,4500,4500,60.741855653790935,0.012464945853591007,95.08286280390897,0.01923412980298334,154.0151862194477,0.03724784575578408,78.91412850980852,0.054905512639615066,2.7174027582650844,nan,nan,1.0,1.0,188.6506,1238.55775,657.54,f9c5bddccb3188931da522fb294c843e5f5ce18e1c7624c71fbab62c0aec40a5
Round_9_Hoosier_43100_18p0x6p0_10_r20_7in_12psi_MF52_UM4.tir,Hoosier,43100,18.0x6.0-10 R20,7.0,12.0,4,"31,32","72,73",direct_drive_brake,,5000,5000,4500,4500,59.186071105928754,0.011901889086481689,146.86653526757894,0.03076707396434499,155.23655117135053,0.03922791540373015,82.93679663244906,0.05835332751872972,2.6000521127349496,nan,nan,1.0,1.0,184.0441,1197.99385,667.435,76db34cf47977115e311bcf2b738afb77dd8f1355477e260ca7c979bbdc8d8ee
Round_9_Hoosier_43100_18p0x6p0_10_r20_7in_14psi_MF52_UM4.tir,Hoosier,43100,18.0x6.0-10 R20,7.0,14.0,4,"31,32","72,73",direct_drive_brake,,5000,5000,4500,4500,47.15043737911668,0.009588555616790916,85.38833083590387,0.019773287231635624,116.138332610388,0.03165798111653311,69.38483626645238,0.05264912672997758,2.5935846481375235,nan,nan,1.0,1.0,185.9634,1182.18245,676.145,781ebec2a3cf6be31c4e0d9e5852241e566847d6dcb7dc638c913a1993257a31
Round_9_Goodyear_D0571_18p0x6p5_10_6in_8psi_MF52_UM4.tir,Goodyear,D0571,18.0x6.5-10,6.0,8.0,4,"34,35","75,76",direct_drive_brake,,5000,5000,4500,4500,57.7022698076602,0.01232236336785777,162.86794482096767,0.030411299922737046,325.27512312162764,0.07088413928820772,129.58488502548798,0.07891405313586765,2.7872686682327408,nan,nan,1.0,1.0,177.9918,1389.1148,642.52,cfe39ca5f94788e3ebfcee0f718efa187bd0c178e73d2329c472cbc91fa07b77
Round_9_Goodyear_D0571_18p0x6p5_10_6in_10psi_MF52_UM4.tir,Goodyear,D0571,18.0x6.5-10,6.0,10.0,4,"34,35","75,76",direct_drive_brake,,5000,5000,4500,4500,65.29596067580182,0.013111285896283478,130.6629814501711,0.024645171469247818,251.6047059838964,0.05505056056195515,100.71809918482674,0.06143956819760753,2.6528054640350227,nan,nan,1.0,1.0,174.44135,1282.33775,657.9100000000001,c40bb47631f932bd3f1a3e9f2d78fa51c31aa22c0b72d2c76886c21e2faff836
Round_9_Goodyear_D0571_18p0x6p5_10_6in_12psi_MF52_UM4.tir,Goodyear,D0571,18.0x6.5-10,6.0,12.0,4,"34,35","75,76",direct_drive_brake,,5000,5000,4500,4500,68.79226983291647,0.013674371622911175,172.03665759298124,0.03332421779457174,215.66206801225036,0.04930856817033958,103.30535068571875,0.06527027360647207,2.529586632663066,nan,nan,1.0,1.0,170.96,1247.8025,667.3299999999999,a8050ec2499fd91713f568fe6f339a3ae6c031d042064e7f2a4c23954be063da
Round_9_Goodyear_D0571_18p0x6p5_10_6in_14psi_MF52_UM4.tir,Goodyear,D0571,18.0x6.5-10,6.0,14.0,4,"34,35","75,76",direct_drive_brake,,5000,5000,4500,4500,60.03581071291071,0.011989344777308583,106.5068067328875,0.022032713019267774,151.56446182684618,0.03851045503602147,82.2049981919968,0.05787998111058508,2.4207934031974716,nan,nan,1.0,1.0,168.09830000000002,1245.4039,680.3599999999999,b33f4d5323a47962d9047ee2c4f4b8d045e2a8d6b42b933493791c9ae087cd01
Round_9_Goodyear_D0571_18p0x6p5_10_7in_8psi_MF52_UM4.tir,Goodyear,D0571,18.0x6.5-10,7.0,8.0,4,"37,38","78,79",direct_drive_brake,,5000,5000,4500,4500,67.0600878986052,0.013699034266049605,138.68458769189348,0.026092610782806704,240.32975744921546,0.05327814140817674,85.62393835678076,0.05294743119486798,2.7224283381892787,nan,nan,1.0,1.0,193.00575,1359.5827499999998,664.8499999999999,35fd3f27cb17d91255349abff6fb8a88d9e92f69c31d13893609952cd8d996fc
Round_9_Goodyear_D0571_18p0x6p5_10_7in_10psi_MF52_UM4.tir,Goodyear,D0571,18.0x6.5-10,7.0,10.0,4,"37,38","78,79",direct_drive_brake,,5000,5000,4500,4500,65.96456046704041,0.012541536064079931,118.43371774701511,0.022538411484279007,176.0102019453174,0.0403100999793577,88.8591504014112,0.057037775467880594,2.6605491602700164,nan,nan,1.0,1.0,198.5224,1244.8379999999997,670.425,4c27f2c145c61ddf476f8db25bf5c86f79405a4b21aae99812e1d99ed7510937
