distance_m,dx_m,curvature_1pm,bank_deg,inclination_deg,grip_factor,sector,x_m,y_m,z_m
49.5,0.25,-0.004829250985788042,0.0,-0.0,1.0,0,22.2264104679005,31.3058613773199,0.0
49.75,0.25,-0.003785402315261798,0.0,-0.0,1.0,0,22.3495984635168,31.5527681186019,0.0
50.0,0.25,-0.0031126081511197476,0.0,-0.0,1.0,0,22.4760010491312,31.8063875538918,0.0
50.25,0.25,-0.002642879055731297,0.0,-0.0,1.0,0,22.6055806673757,32.0667352998552,0.0
50.5,0.25,-0.002980683409941905,0.0,-0.0,1.0,0,22.7331716141536,32.3218608220675,0.0
50.75,0.25,-0.002980683409941905,0.0,-0.0,1.0,0,22.8609989102613,32.576885189456,0.0
51.0,0.25,-0.002980683409941905,0.0,-0.0,1.0,0,22.9890624670593,32.8318081951636,0.0
51.25,0.25,-0.002980683409941905,0.0,-0.0,1.0,0,23.1173621957268,33.0866296324109,0.0
51.5,0.25,-0.002980683409941905,0.0,-0.0,1.0,0,23.2458980072623,33.3413492944964,0.0
51.75,0.25,0.019620917037243266,0.0,-0.0,1.0,0,23.3553186041369,33.549509071049,0.0
52.0,0.25,0.02116357968476151,0.0,-0.0,1.0,0,23.4639072749414,33.7585564627766,0.0
52.25,0.25,0.022969520853838847,0.0,-0.0,1.0,0,23.5715785951996,33.9685222186674,0.0
52.5,0.25,0.0251124270409917,0.0,-0.0,1.0,0,23.6782333959643,34.1794414187298,0.0
52.75,0.25,0.02769631194700311,0.0,-0.0,1.0,0,23.7837551943977,34.3913544876593,0.0
53.0,0.25,0.03087290819381157,0.0,-0.0,1.0,0,23.8880052978196,34.6043085497494,0.0
53.25,0.25,0.03072461341485396,0.0,-0.0,1.0,0,23.9905119288708,34.8179376211054,0.0
53.5,0.25,0.03215014855892446,0.0,-0.0,1.0,0,24.0913988515759,35.0324018258002,0.0
53.75,0.25,0.03371440140791379,0.0,-0.0,1.0,0,24.1905806002703,35.2477192059061,0.0
54.0,0.25,0.03543865525859191,0.0,-0.0,1.0,0,24.287963534921,35.4639087246826,0.0
54.25,0.25,0.03734878204632112,0.0,-0.0,1.0,0,24.383444623625,35.6809903243787,0.0
54.5,0.25,0.04024279601694576,0.0,-0.0,1.0,0,24.4769529737021,35.8990364499497,0.0
54.75,0.25,0.041976979824542696,0.0,-0.0,1.0,0,24.5682373588673,36.1179883601935,0.0
55.0,0.25,0.04386735692532724,0.0,-0.0,1.0,0,24.657190649346,36.3378566243257,0.0
55.25,0.25,0.045936024294698334,0.0,-0.0,1.0,0,24.7436962547389,36.5586514916932,0.0
55.5,0.25,0.04820945333150744,0.0,-0.0,1.0,0,24.8276268329172,36.7803827315843,0.0
55.75,0.25,0.05071962869797833,0.0,-0.0,1.0,0,24.9088427545169,37.003059425203,0.0
56.0,0.25,0.05135526680771344,0.0,-0.0,1.0,0,24.9870989608078,37.2266094227795,0.0
56.25,0.25,0.052812280326497645,0.0,-0.0,1.0,0,25.0623806730984,37.4510362607713,0.0
56.5,0.25,0.054354382530917185,0.0,-0.0,1.0,0,25.1345913535613,37.6763240729404,0.0
56.75,0.25,0.05598925130241255,0.0,-0.0,1.0,0,25.2036291590886,37.9024547242591,0.0
57.0,0.25,0.05772551690818859,0.0,-0.0,1.0,0,25.2693865049945,38.1294075326211,0.0
57.25,0.25,0.05957291439786342,0.0,-0.0,1.0,0,25.3317495799412,38.3571589500424,0.0
57.5,0.25,0.05998182387107563,0.0,-0.0,1.0,0,25.3905399766685,38.5856373542272,0.0
57.75,0.25,0.06092319174445703,0.0,-0.0,1.0,0,25.4457416960642,38.8148100006878,0.0
58.0,0.25,0.06189457881257773,0.0,-0.0,1.0,0,25.4972877239828,39.0446330995551,0.0
58.25,0.25,0.06289744426041342,0.0,-0.0,1.0,0,25.5451096160176,39.2750604214116,0.0
58.5,0.25,0.06393334340202779,0.0,-0.0,1.0,0,25.5891374679423,39.5060431568921,0.0
58.75,0.25,0.06500100630786546,0.0,-0.0,1.0,0,25.629299786144,39.7375296874475,0.0
59.0,0.25,0.06533134261529183,0.0,-0.0,1.0,0,25.6654977111426,39.9694447404976,0.0
59.25,0.25,0.06566505362336698,0.0,-0.0,1.0,0,25.6977043931363,40.2017261833435,0.0
59.5,0.25,0.0660021913112813,0.0,-0.0,1.0,0,25.7258937267971,40.4343108120495,0.0
59.75,0.25,0.06634280873122086,0.0,-0.0,1.0,0,25.7500403804065,40.6671343473212,0.0
60.0,0.25,0.06668696003619823,0.0,-0.0,1.0,0,25.7701198256585,40.9001314307871,0.0
60.25,0.25,0.06552678733821636,0.0,-0.0,1.0,0,25.7860609374378,41.1331917742428,0.0
60.5,0.25,0.06452698098880225,0.0,-0.0,1.0,0,25.7979407018212,41.3662501768153,0.0
60.75,0.25,0.06355722616257367,0.0,-0.0,1.0,0,25.8058230951808,41.5992412238678,0.0
61.0,0.25,0.06261618801699462,0.0,-0.0,1.0,0,25.8097711792107,41.8321025136848,0.0
61.25,0.25,0.06170260961164103,0.0,-0.0,1.0,0,25.8098470952599,42.0647745079658,0.0
61.5,0.25,0.060815306306912474,0.0,-0.0,1.0,0,25.8061120612675,42.2972003910411,0.0
61.75,0.25,0.058487420697813035,0.0,-0.0,1.0,0,25.7985854225297,42.5292681891242,0.0
62.0,0.25,0.05599582594424417,0.0,-0.0,1.0,0,25.7874141891759,42.7609191637861,0.0
62.25,0.25,0.05370784367507012,0.0,-0.0,1.0,0,25.7727659545688,42.9921169670127,0.0
62.5,0.25,0.05159949492760716,0.0,-0.0,1.0,0,25.7547948861821,43.2228305238677,0.0
