distance_m,dx_m,curvature_1pm,bank_deg,inclination_deg,grip_factor,sector,x_m,y_m,z_m
13.8,0.1,-0.012199961621955451,0.0,-0.0,1.0,0,8.66763856922916,-10.7328296705324,0.0
13.9,0.1,-0.01259310390224742,0.0,-0.0,1.0,0,8.73203732641253,-10.8093332570606,0.0
14.0,0.1,-0.01301242780657894,0.0,-0.0,1.0,0,8.79634129618254,-10.885916532394,0.0
14.1,0.1,-0.012898028120028453,0.0,-0.0,1.0,0,8.8605451196506,-10.9625837852844,0.0
14.2,0.1,-0.012785622409294236,0.0,-0.0,1.0,0,8.92464957282244,-11.0393341450312,0.0
14.3,0.1,-0.012675158992563421,0.0,-0.0,1.0,0,8.98865541922896,-11.1161667571628,0.0
14.4,0.1,-0.012566587958777393,0.0,-0.0,1.0,0,9.05256341023047,-11.1930807829979,0.0
14.5,0.1,-0.012459861092437513,0.0,-0.0,1.0,0,9.11637428531108,-11.2700753992234,0.0
14.6,0.1,-0.012354931802210247,0.0,-0.0,1.0,0,9.18008877236353,-11.3471497974864,0.0
14.7,0.1,-0.012251755053109778,0.0,-0.0,1.0,0,9.24370758796487,-11.4243031840005,0.0
14.8,0.1,-0.012150287302050413,0.0,-0.0,1.0,0,9.30723143764342,-11.5015347791658,0.0
14.9,0.1,-0.012050486436575187,0.0,-0.0,1.0,0,9.37066101613728,-11.5788438172013,0.0
15.0,0.1,-0.011952311716579647,0.0,-0.0,1.0,0,9.43399700764472,-11.6562295457905,0.0
15.1,0.1,-0.011367293661067878,0.0,-0.0,1.0,0,9.49723819461624,-11.7336927705726,0.0
15.2,0.1,-0.010836871940102022,0.0,-0.0,1.0,0,9.56038922999928,-11.8112295086482,0.0
15.3,0.1,-0.010353744542968673,0.0,-0.0,1.0,0,9.62345432833949,-11.8888361609275,0.0
15.4,0.1,-0.009911856031970732,0.0,-0.0,1.0,0,9.68643732504938,-11.9665094594717,0.0
15.5,0.1,-0.009506142417836408,0.0,-0.0,1.0,0,9.74934172545002,-12.04424642402,0.0
15.6,0.1,-0.009132336228093658,0.0,-0.0,1.0,0,9.81217074570035,-12.1220443257873,0.0
15.7,0.1,-0.008786815826676248,0.0,-0.0,1.0,0,9.87492734722505,-12.1999006570755,0.0
15.8,0.1,-0.008466487692342572,0.0,-0.0,1.0,0,9.93761426588249,-12.2778131055795,0.0
15.9,0.1,-0.008168693541019375,0.0,-0.0,1.0,0,10.0002340368406,-12.355779532515,0.0
16.0,0.1,-0.007891136383016086,0.0,-0.0,1.0,0,10.0627890159224,-12.4337979538857,0.0
16.1,0.1,-0.008440404577928837,0.0,-0.0,1.0,0,10.1252845538834,-12.5118639973443,0.0
16.2,0.1,-0.00907185772691951,0.0,-0.0,1.0,0,10.1877166447904,-12.5899807902839,0.0
16.3,0.1,-0.009805432929811717,0.0,-0.0,1.0,0,10.250080710475,-12.6681519007408,0.0
16.4,0.1,-0.010668083293385379,0.0,-0.0,1.0,0,10.31237146987,-12.7463814370145,0.0
16.5,0.1,-0.01169716186747673,0.0,-0.0,1.0,0,10.3745827658689,-12.824674179398,0.0
16.6,0.1,-0.012945973234007575,0.0,-0.0,1.0,0,10.4367073313068,-12.9030357578182,0.0
16.7,0.1,-0.01449330632969277,0.0,-0.0,1.0,0,10.498736465531,-12.9814728967062,0.0
16.8,0.1,-0.016460731590750115,0.0,-0.0,1.0,0,10.560659576224,-13.0599937608388,0.0
16.9,0.1,-0.019046199149452873,0.0,-0.0,1.0,0,10.6224635129364,-13.1386084565634,0.0
17.0,0.1,-0.02259520044440244,0.0,-0.0,1.0,0,10.6841315728026,-13.2173297760252,0.0
17.1,0.1,-0.022875139025894303,0.0,-0.0,1.0,0,10.7456227064721,-13.2961893735353,0.0
17.2,0.1,-0.023162101106360914,0.0,-0.0,1.0,0,10.8069344201475,-13.3751885462872,0.0
17.3,0.1,-0.02345635436714945,0.0,-0.0,1.0,0,10.868064154859,-13.4543286179899,0.0
17.4,0.1,-0.023758180267223393,0.0,-0.0,1.0,0,10.929009283934,-13.5336109397159,0.0
17.5,0.1,-0.024067874941138698,0.0,-0.0,1.0,0,10.9897671103364,-13.6130368907878,0.0
17.6,0.1,-0.024385750168179274,0.0,-0.0,1.0,0,11.0503348638653,-13.6926078797028,0.0
17.7,0.1,-0.024712134419319482,0.0,-0.0,1.0,0,11.1107096982046,-13.7723253451004,0.0
17.8,0.1,-0.02504737398940358,0.0,-0.0,1.0,0,11.1708886878136,-13.8521907567726,0.0
17.9,0.1,-0.0253918342227465,0.0,-0.0,1.0,0,11.2308688246471,-13.9322056167209,0.0
18.0,0.1,-0.02574590084127354,0.0,-0.0,1.0,0,11.2906470146945,-14.0123714602635,0.0
18.1,0.1,-0.0262412961342508,0.0,-0.0,1.0,0,11.3502206015009,-14.0926894658204,0.0
18.2,0.1,-0.02675612996843545,0.0,-0.0,1.0,0,11.4095852894228,-14.1731619944385,0.0
18.3,0.1,-0.02729156934672715,0.0,-0.0,1.0,0,11.4687366096833,-14.2537914872096,0.0
18.4,0.1,-0.027848876595114785,0.0,-0.0,1.0,0,11.5276699098722,-14.3345804695392,0.0
18.5,0.1,-0.028429419298287965,0.0,-0.0,1.0,0,11.5863803425842,-14.4155315557302,0.0
18.6,0.1,-0.029034681504423305,0.0,-0.0,1.0,0,11.6448628531096,-14.4966474539102,0.0
18.7,0.1,-0.02966627639240504,0.0,-0.0,1.0,0,11.7031121660736,-14.5779309713362,0.0
18.8,0.1,-0.0303259606291193,0.0,-0.0,1.0,0,11.7611227709122,-14.6593850201147,0.0
18.9,0.1,-0.031015650685878426,0.0,-0.0,1.0,0,11.8188889060541,-14.741012623377,0.0
19.0,0.1,-0.03173744143312305,0.0,-0.0,1.0,0,11.8764045416639,-14.8228169219592,0.0
19.1,0.1,-0.03229618603490213,0.0,-0.0,1.0,0,11.9336625517265,-14.9048017473334,0.0
19.2,0.1,-0.03287495684442851,0.0,-0.0,1.0,0,11.99065786086,-14.9869694157342,0.0
19.3,0.1,-0.033474850160160365,0.0,-0.0,1.0,0,12.0473852058653,-15.0693223087654,0.0
19.4,0.1,-0.034097043787706616,0.0,-0.0,1.0,0,12.1038391253259,-15.1518628763013,0.0
19.5,0.1,-0.03474280475811142,0.0,-0.0,1.0,0,12.1600139484323,-15.2345936395645,0.0
19.6,0.1,-0.035413497940125306,0.0,-0.0,1.0,0,12.215903782958,-15.317517194395,0.0
19.7,0.1,-0.03611059566964693,0.0,-0.0,1.0,0,12.2715025023053,-15.4006362147242,0.0
19.8,0.1,-0.03683568853930729,0.0,-0.0,1.0,0,12.3268037315295,-15.4839534562716,0.0
