"Index","Length_m","TotalLength_m","Radius_m","Direction","Grade","X_m","Y_m","Z_m","CarAttitude","Sector"
"297","0.1","29.8000000000002","9.125","1","0","-0.983024912111343","18.184859387863","0","3.26053371236904","0"
"298","0.1","29.9000000000002","9.125","1","0","-1.08242772723777","18.1724268736623","0","3.27151173741063","0"
"299","0.1","30.0000000000002","9.125","1","0","-1.18168807323734","18.1589038836186","0","3.28248976219893","0"
"300","0.1","30.1000000000002","9.125","1","0","-1.28079398746715","18.1442920474678","0","3.29346778675555","0"
"301","0.1","30.2000000000002","9.125","1","0","-1.37973352589641","18.1285931261733","0","3.30444581110257","0"
"302","0.1","30.3000000000002","9.125","1","0","-1.47849476454589","18.111809011714","0","3.31542383526175","0"
"303","0.1","30.4000000000002","9.125","1","0","-1.57706580092502","18.0939417268559","0","3.32640185925505","0"
"304","0.1","30.5000000000002","9.125","1","0","-1.67543475546637","18.0749934249085","0","3.33737988310453","0"
"305","0.1","30.6000000000002","9.125","1","0","-1.77358977295738","18.0549663894653","0","3.34835790683201","0"
"306","0.1","30.7000000000002","9.125","1","0","-1.87151902396911","18.0338630341285","0","3.35933593045947","0"
"307","0.1","30.8000000000002","9.125","1","0","-1.969210706282","18.0116859022183","0","3.37031395400899","0"
"308","0.1","30.9000000000002","9.125","1","0","-2.06665304630817","17.9884376664659","0","3.38129197750249","0"
"309","0.1","31.0000000000002","9.125","1","0","-2.16383430051046","17.9641211286921","0","3.39227000096208","0"
"310","0.1","31.1000000000002","9.125","1","0","-2.2607427568177","17.9387392194689","0","3.40324802440963","0"
"311","0.1","31.2000000000002","9.125","1","0","-2.35736673603628","17.9122949977671","0","3.41422604786715","0"
"312","0.1","31.3000000000002","9.125","1","0","-2.45369459325769","17.8847916505867","0","3.42520407135681","0"
"313","0.1","31.4000000000002","9.125","1","0","-2.54971471926202","17.8562324925736","0","3.43618209490044","0"
"314","0.1","31.5000000000002","9.125","1","0","-2.64541554191703","17.8266209656196","0","3.44716011852008","0"
"315","0.1","31.6000000000002","9.125","1","0","-2.74078552757287","17.795960638448","0","3.4581381422378","0"
"316","0.1","31.7000000000002","9.125","1","0","-2.8358131824521","17.7642552061833","0","3.46911616607547","0"
"317","0.1","31.8000000000002","9.125","1","0","-2.93048705403491","17.7315084899055","0","3.48009419005521","0"
"318","0.1","31.9000000000002","9.125","1","0","-3.02479573243938","17.6977244361904","0","3.49107221419878","0"
"319","0.1","32.0000000000002","9.125","1","0","-3.11872785179661","17.6629071166332","0","3.5020502385282","0"
"320","0.1","32.1000000000002","9.125","1","0","-3.21227209162051","17.6270607273582","0","3.51302826306539","0"
"321","0.1","32.2000000000002","9.125","1","0","-3.30541717817215","17.5901895885129","0","3.52400628783218","0"
"322","0.1","32.3000000000002","9.125","1","0","-3.39815188581849","17.5522981437475","0","3.53498431285042","0"
"323","0.1","32.4000000000002","9.125","1","0","-3.49046503838525","17.5133909596793","0","3.54596233814198","0"
"324","0.1","32.5000000000002","9.125","1","0","-3.58234551050389","17.4734727253422","0","3.55694036372859","0"
"325","0.1","32.6000000000002","9.125","1","0","-3.67378222895245","17.4325482516216","0","3.56791838963211","0"
"326","0.1","32.7000000000002","9.125","1","0","-3.76476417399005","17.3906224706749","0","3.57889641587409","0"
"327","0.1","32.8000000000002","9.125","1","0","-3.85528038068501","17.3477004353366","0","3.5898744424763","0"
"328","0.1","32.9000000000002","9.125","1","0","-3.94531994023636","17.3037873185097","0","3.6008524694604","0"
"329","0.1","33.0000000000002","9.125","1","0","-4.03487200128852","17.2588884125423","0","3.6118304968479","0"
"330","0.1","33.1000000000002","9.125","1","0","-4.12392577123916","17.2130091285892","0","3.62280852466032","0"
"331","0.1","33.2000000000002","9.125","1","0","-4.21247051753987","17.1661549959605","0","3.63378655291928","0"
"332","0.1","33.3000000000002","9.125","1","0","-4.30049556898968","17.1183316614549","0","3.64476458164604","0"
"333","0.1","33.4000000000002","9.125","1","0","-4.38799031702114","17.0695448886787","0","3.65574261086217","0"
"334","0.1","33.5000000000002","9.125","1","0","-4.47494421697884","17.0198005573521","0","3.66672064058878","0"
"335","0.1","33.6000000000002","9.125","1","0","-4.56134678939031","16.9691046625997","0","3.67769867084718","0"
"336","0.1","33.7000000000002","9.125","1","0","-4.64718762122893","16.9174633142286","0","3.68867670165866","0"
"337","0.1","33.8000000000002","9.125","1","0","-4.73245636716896","16.8648827359914","0","3.69965473304427","0"
"338","0.1","33.9000000000002","9.125","1","0","-4.81714275083231","16.811369264837","0","3.71063276502499","0"
"339","0.1","34.0000000000002","9.125","1","0","-4.90123656602712","16.7569293501459","0","3.72161079762195","0"
"340","0.1","34.1000000000002","9.125","1","0","-4.98472767797771","16.7015695529536","0","3.73258883085595","0"
