candidate_id,label,source,compound,tire_size,rim,pressure_psi,is_candidate,path,max_lateral_g__05mps,max_accel_g__05mps,max_brake_g__05mps,ggv_area_g2__05mps,max_lateral_g__10mps,max_accel_g__10mps,max_brake_g__10mps,ggv_area_g2__10mps,max_lateral_g__15mps,max_accel_g__15mps,max_brake_g__15mps,ggv_area_g2__15mps,max_lateral_g__20mps,max_accel_g__20mps,max_brake_g__20mps,ggv_area_g2__20mps,max_lateral_g__25mps,max_accel_g__25mps,max_brake_g__25mps,ggv_area_g2__25mps,mean_max_lateral_g,mean_max_accel_g,mean_max_brake_g,mean_ggv_area_g2,fz_min_seen_n,fz_max_seen_n,fz_range_exceeded,fz_max_excess_pct,use_mode,fnomin_n,fzmin_n,fzmax_n,unloaded_radius_m,width_m,rim_width_m,vertical_stiffness_n_per_m,vertical_damping_n_s_per_m,pdy1,pdy2,pky1,pky2,pky3,mu_y_400n,mu_y_ref,mu_y_900n,mu_y_1090n,mu_y_900n_vs_400n_pct,cornering_stiffness_ref_n_per_rad,cornering_stiffness_900n_n_per_rad,score_part_mean_max_lateral_g,score_part_max_lateral_g__25mps,score_part_mean_ggv_area_g2,score_part_ggv_area_g2__25mps,envelope_lateral_score,rank
Round_8_Hoosier_LC0_16x7p5_10_on_7in_12psi_PAC02_UM2,LC0 16x7p5_10 on 7in 12 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,7in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_7in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.5057142857142858,1.4466666666666668,1.6811111111111112,6.472520634920636,1.602857142857143,1.4155555555555555,1.7566666666666668,6.939561904761905,1.7000000000000002,1.3844444444444444,1.8888888888888893,7.689612698412699,1.8457142857142856,1.3377777777777777,2.058888888888889,8.763796825396826,2.04,1.0733333333333333,2.285555555555556,9.613796825396824,1.738857142857143,1.3315555555555554,1.9342222222222225,7.895857777777778,189.30097306378394,1394.3501584067421,1,27.687743443840855,3.0,656.0,100.0,1092.0,0.2062,0.19,0.1778,93167.0,111.55,-2.29972,0.233708,-53.4328,2.64147,1.35744,2.3909231219512197,2.29972,2.212792024390244,2.1451022073170734,-7.450306366003267,23212.828058188043,28675.52145956528,0.1379310344827596,0.14285714285714268,0.15085262455939763,0.14125945689119368,0.14167994774741363,28
Round_8_Hoosier_LC0_16x7p5_10_on_7in_14psi_PAC02_UM2,LC0 16x7p5_10 on 7in 14 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,7in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_7in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.5057142857142858,1.4466666666666668,1.6811111111111112,6.4335015873015875,1.602857142857143,1.4155555555555555,1.7566666666666668,6.89676507936508,1.7000000000000002,1.3844444444444444,1.8888888888888893,7.642930158730159,1.8457142857142856,1.3377777777777777,2.058888888888889,8.679228571428572,2.04,1.0733333333333333,2.285555555555556,9.59447619047619,1.738857142857143,1.3315555555555554,1.9342222222222225,7.8493803174603185,189.30097306378394,1394.3501584067421,1,27.80478078888562,3.0,656.0,100.0,1091.0,0.2074,0.19,0.1778,97721.0,114.244,-2.31779,0.137898,-54.745,2.80363,1.50707,2.3716038536585367,2.31779,2.2664986707317074,2.226558701219512,-4.431818693694966,22727.336828992713,28357.189026646378,0.1379310344827596,0.14285714285714268,0.10983138039439913,0.1281751397975209,0.1342183294132966,29
Round_8_Hoosier_LC0_16x7p5_10_on_7in_8psi_PAC02_UM2,LC0 16x7p5_10 on 7in 8 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,7in,8.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_7in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.6514285714285715,1.4466666666666668,1.6811111111111112,7.042533333333333,1.7485714285714287,1.4155555555555555,1.7566666666666668,7.493168253968254,1.8457142857142856,1.3844444444444444,1.8888888888888893,8.344301587301587,1.9914285714285715,1.3377777777777777,2.058888888888889,9.501866666666666,2.185714285714286,1.0733333333333333,2.285555555555556,10.44852380952381,1.8845714285714288,1.3315555555555554,1.9342222222222225,8.566078730158731,181.84308597056935,1400.5385013825016,1,28.254441518544105,3.0,656.0,100.0,1092.0,0.2039,0.19,0.1778,77406.0,101.678,-2.60928,0.285186,-45.6002,1.61754,1.3621,2.7205720975609755,2.60928,2.5032047195121954,2.4206051158536583,-7.989767234753768,26759.307465537542,29512.678014749654,0.6551724137931042,0.571428571428572,0.7423930646851489,0.7065531230583675,0.6482704296440776,12
Round_8_Hoosier_LC0_16x7p5_10_on_8in_10psi_PAC02_UM2,LC0 16x7p5_10 on 8in 10 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,8in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_8in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.6514285714285715,1.4466666666666668,1.6811111111111112,7.0602888888888895,1.7485714285714287,1.4155555555555555,1.7566666666666668,7.55539365079365,1.8457142857142856,1.3844444444444444,1.8888888888888893,8.37727619047619,2.04,1.3377777777777777,2.058888888888889,9.536784126984129,2.2342857142857144,1.0733333333333333,2.285555555555556,10.50508253968254,1.904,1.3315555555555554,1.9342222222222225,8.606965079365079,181.84308597056935,1400.5385013825016,1,28.371998293538187,3.0,657.0,100.0,1091.0,0.2042,0.19,0.2032,87914.0,110.066,-2.66031,0.22176,-56.7924,2.28097,1.23063,2.747056301369863,2.66031,2.578289178082192,2.514157671232877,-6.143562591109351,27441.99571011765,32937.37533654139,0.7241379310344824,0.7142857142857146,0.7784795655901682,0.7448558166733673,0.7314052997570935,9
Round_8_Hoosier_LC0_16x7p5_10_on_8in_12psi_PAC02_UM2,LC0 16x7p5_10 on 8in 12 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,8in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_8in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.5542857142857143,1.4466666666666668,1.6811111111111112,6.563780952380953,1.602857142857143,1.4155555555555555,1.7566666666666668,6.985866666666667,1.7000000000000002,1.3844444444444444,1.8888888888888893,7.731869841269841,1.8457142857142856,1.3377777777777777,2.058888888888889,8.81031746031746,2.04,1.0733333333333333,2.285555555555556,9.648984126984127,1.7485714285714287,1.3315555555555554,1.9342222222222225,7.94816380952381,189.30097306378394,1395.6197025241975,1,27.804002062655446,3.0,657.0,100.0,1092.0,0.2047,0.19,0.2032,91766.0,112.452,-2.28868,0.31465,-60.9384,3.26168,1.13736,2.4117622678843227,2.28868,2.172302602739726,2.081307929984779,-9.928825420867819,22440.299383702368,28587.17463355294,0.1724137931034487,0.14285714285714268,0.1970181956749549,0.16508899528525933,0.1665049786334639,27
Round_8_Hoosier_LC0_16x7p5_10_on_8in_14psi_PAC02_UM2,LC0 16x7p5_10 on 8in 14 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,8in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_8in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.5542857142857143,1.4466666666666668,1.6811111111111112,6.575761904761905,1.602857142857143,1.4155555555555555,1.7566666666666668,7.002003174603176,1.7000000000000002,1.3844444444444444,1.8888888888888893,7.755831746031746,1.8457142857142856,1.3377777777777777,2.058888888888889,8.85484126984127,2.04,1.0733333333333333,2.285555555555556,9.752711111111111,1.7485714285714287,1.3315555555555554,1.9342222222222225,7.988229841269842,189.30097306378394,1395.6197025241975,1,27.921145969220664,3.0,657.0,100.0,1091.0,0.2057,0.19,0.2032,95969.0,114.998,-2.36017,0.193832,-58.8393,3.13478,1.23579,2.4359916499238965,2.36017,2.288478712328767,2.232423796042618,-6.055560067282574,22385.561098118444,28368.483635565462,0.1724137931034487,0.14285714285714268,0.2323806801943416,0.23533496582727187,0.17883394836557315,24
Round_8_Hoosier_LC0_16x7p5_10_on_8in_8psi_PAC02_UM2,LC0 16x7p5_10 on 8in 8 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,8in,8.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_8in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.6514285714285715,1.4466666666666668,1.6811111111111112,6.986352380952381,1.7000000000000002,1.4155555555555555,1.7566666666666668,7.424790476190476,1.7971428571428572,1.3844444444444444,1.8888888888888893,8.220498412698413,1.9914285714285715,1.3377777777777777,2.058888888888889,9.365003174603174,2.137142857142857,1.0733333333333333,2.285555555555556,10.298707936507936,1.8554285714285714,1.3315555555555554,1.9342222222222225,8.459070476190476,181.84308597056935,1400.5385013825016,1,28.254441518544105,3.0,657.0,100.0,1092.0,0.2027,0.19,0.2032,80383.0,105.246,-2.52838,0.354884,-52.0765,2.01893,1.43985,2.667200681887367,2.52838,2.3971215342465753,2.2944914581430744,-10.125940259196316,27216.363601112156,31792.78947159906,0.5517241379310345,0.428571428571428,0.647947032485472,0.6050948430247428,0.534548829815689,13
Round_8_Hoosier_R25B_16x6_10_on_6in_10psi_PAC02_UM2,R25B 16x6_10 on 6in 10 psi,round8_fabricated_longitudinal_um3,R25B,16x6_10,6in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x6_10_on_6in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.7000000000000002,1.4466666666666668,1.6811111111111112,7.08932380952381,1.7485714285714287,1.4155555555555555,1.7566666666666668,7.591390476190476,1.8457142857142856,1.3844444444444444,1.8888888888888893,8.408092063492063,2.04,1.3377777777777777,2.058888888888889,9.585301587301588,2.2342857142857144,1.0733333333333333,2.285555555555556,10.553168253968254,1.913714285714286,1.3315555555555554,1.9342222222222225,8.645455238095238,181.84308597056935,1401.8080454999567,1,28.370700137358675,3.0,656.0,100.0,1092.0,0.2018,0.15,0.1524,85812.0,101.926,-2.69196,0.208388,-41.2245,1.49706,0.986324,2.7732821463414634,2.69196,2.6144498292682927,2.5540935487804877,-5.727232524202544,24981.823171731667,26940.618144466465,0.758620689655173,0.7142857142857146,0.8124511765266266,0.7774204159204705,0.7552747427015833,5
Round_8_Hoosier_R25B_16x6_10_on_6in_12psi_PAC02_UM2,R25B 16x6_10 on 6in 12 psi,round8_fabricated_longitudinal_um3,R25B,16x6_10,6in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x6_10_on_6in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.602857142857143,1.4466666666666668,1.6811111111111112,6.768644444444444,1.6514285714285715,1.4155555555555555,1.7566666666666668,7.200714285714286,1.7485714285714287,1.3844444444444444,1.8888888888888893,7.9786126984126975,1.8942857142857144,1.3377777777777777,2.058888888888889,9.080104761904762,2.0885714285714285,1.0733333333333333,2.285555555555556,9.995568253968257,1.7971428571428572,1.3315555555555554,1.9342222222222225,8.20472888888889,185.43673411613923,1397.444329894622,1,28.20590182519467,3.0,654.0,100.0,1090.0,0.2024,0.15,0.1524,91241.0,105.101,-2.41931,0.305179,-41.9396,2.11977,0.586818,2.5378351773700305,2.41931,2.3045178990825685,2.215857333333333,-9.193555214616012,21167.890563816327,25053.862318587737,0.34482758620689663,0.28571428571428537,0.42346384681337684,0.3998026387924432,0.3443865404086399,20
Round_8_Hoosier_R25B_16x6_10_on_6in_14psi_PAC02_UM2,R25B 16x6_10 on 6in 14 psi,round8_fabricated_longitudinal_um3,R25B,16x6_10,6in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x6_10_on_6in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.7485714285714287,1.4466666666666668,1.6811111111111112,7.242485714285714,1.7971428571428572,1.4155555555555555,1.7566666666666668,7.750003174603175,1.942857142857143,1.3844444444444444,1.8888888888888893,8.599571428571428,2.0885714285714285,1.3377777777777777,2.058888888888889,9.815853968253968,2.3314285714285714,1.0733333333333333,2.285555555555556,10.88183492063492,1.9817142857142858,1.3315555555555554,1.9342222222222225,8.857949841269841,181.57249516849458,1403.6326728703814,1,28.537790555895732,3.0,656.0,100.0,1092.0,0.2035,0.15,0.1524,98071.0,108.964,-2.89895,0.0,-44.1751,1.93401,1.25809,2.89895,2.89895,2.89895,2.89895,0.0,23645.885898206987,27350.67889821639,1.0,1.0,1.0,1.0,1.0,1
