candidate_id,label,source,compound,tire_size,rim,pressure_psi,is_candidate,path,use_mode,fnomin_n,fzmin_n,fzmax_n,unloaded_radius_m,width_m,rim_width_m,vertical_stiffness_n_per_m,vertical_damping_n_s_per_m,pdy1,pdy2,pky1,pky2,pky3,mu_y_400n,mu_y_ref,mu_y_900n,mu_y_1090n,mu_y_900n_vs_400n_pct,cornering_stiffness_ref_n_per_rad,cornering_stiffness_900n_n_per_rad
Round_8_Hoosier_R25B_16x6_10_on_6in_8psi_PAC02_UM2,R25B 16x6_10 on 6in 8 psi,round8_fabricated_longitudinal_um3,R25B,16x6_10,6in,8.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x6_10_on_6in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,654.0,100.0,1090.0,0.2004,0.15,0.1524,75129.0,95.3709,-2.6826,0.320975,-35.0996,1.22753,0.506268,2.80726001529052,2.6826,2.5618662844036697,2.4686166666666667,-8.741396577098136,22481.079414311687,22806.044851951883
Round_8_Hoosier_R25B_16x6_10_on_7in_10psi_PAC02_UM2,R25B 16x6_10 on 7in 10 psi,round8_fabricated_longitudinal_um3,R25B,16x6_10,7in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x6_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,655.0,100.0,1091.0,0.2027,0.15,0.1778,87914.0,106.51,-2.66137,0.267287,-50.8657,1.87951,0.925071,2.7654282977099234,2.66137,2.561392419847328,2.4838587862595416,-7.378093224530871,27631.063890495636,31746.65986990825
Round_8_Hoosier_R25B_16x6_10_on_7in_12psi_PAC02_UM2,R25B 16x6_10 on 7in 12 psi,round8_fabricated_longitudinal_um3,R25B,16x6_10,7in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x6_10_on_7in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,654.0,100.0,1091.0,0.203,0.15,0.1778,93868.0,110.058,-2.45162,0.413366,-52.3523,2.51499,0.433101,2.612162758409786,2.45162,2.2961337064220184,2.1760426666666666,-12.098367568036139,23510.495709483206,28835.53065362212
Round_8_Hoosier_R25B_16x6_10_on_7in_14psi_PAC02_UM2,R25B 16x6_10 on 7in 14 psi,round8_fabricated_longitudinal_um3,R25B,16x6_10,7in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x6_10_on_7in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,655.0,100.0,1091.0,0.2041,0.15,0.1778,98947.0,112.996,-2.41458,0.229082,-54.7753,2.66171,0.901836,2.503764595419847,2.41458,2.3288928396946567,2.262441572519084,-6.984352923796609,23623.96991821531,29247.9049344529
Round_8_Hoosier_R25B_16x6_10_on_7in_8psi_PAC02_UM2,R25B 16x6_10 on 7in 8 psi,round8_fabricated_longitudinal_um3,R25B,16x6_10,7in,8.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x6_10_on_7in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,654.0,100.0,1091.0,0.201,0.15,0.1778,77406.0,99.9423,-2.58408,0.441859,-44.311,1.62244,0.585738,2.7556888470948016,2.58408,2.417876155963303,2.2895073333333333,-12.258738554160038,25888.37841002979,28591.001488300193
Round_8_Hoosier_R25B_16x7p5_10_on_7in_10psi_PAC02_UM2,R25B 16x7p5_10 on 7in 10 psi,round8_fabricated_longitudinal_um3,R25B,16x7p5_10,7in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x7p5_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,657.0,100.0,1092.0,0.204,0.19,0.1778,92992.0,112.304,-2.63243,0.240768,-54.4337,1.97263,1.17265,2.726611698630137,2.63243,2.543378821917808,2.473750328767123,-6.720167627989929,28846.11270470371,33510.14205183375
Round_8_Hoosier_R25B_16x7p5_10_on_7in_12psi_PAC02_UM2,R25B 16x7p5_10 on 7in 12 psi,round8_fabricated_longitudinal_um3,R25B,16x7p5_10,7in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x7p5_10_on_7in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,654.0,100.0,1091.0,0.2045,0.19,0.1778,98947.0,115.844,-2.40275,0.343535,-53.2421,2.38205,1.36502,2.5361718501529054,2.40275,2.273530412844037,2.173726666666667,-10.35582179863064,24855.187110796025,30164.820779232727
Round_8_Hoosier_R25B_16x7p5_10_on_7in_14psi_PAC02_UM2,R25B 16x7p5_10 on 7in 14 psi,round8_fabricated_longitudinal_um3,R25B,16x7p5_10,7in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x7p5_10_on_7in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,657.0,100.0,1092.0,0.2056,0.19,0.1778,102975.0,118.178,-2.40007,0.187328,-55.9764,2.54282,1.46608,2.4733474672754947,2.40007,2.330784301369863,2.276610298325723,-5.7639764647654514,25051.389983848527,30711.359887305105
Round_8_Hoosier_R25B_16x7p5_10_on_7in_8psi_PAC02_UM2,R25B 16x7p5_10 on 7in 8 psi,round8_fabricated_longitudinal_um3,R25B,16x7p5_10,7in,8.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x7p5_10_on_7in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,654.0,100.0,1091.0,0.2024,0.19,0.1778,83711.0,106.553,-2.63093,0.376239,-48.3173,1.72714,1.36584,2.7770534036697248,2.63093,2.489408908256881,2.380104,-10.35790291366876,27404.776592932052,30801.255693053674
Round_8_Hoosier_R25B_16x7p5_10_on_8in_10psi_PAC02_UM2,R25B 16x7p5_10 on 8in 10 psi,round8_fabricated_longitudinal_um3,R25B,16x7p5_10,8in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x7p5_10_on_8in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,656.0,100.0,1090.0,0.2029,0.19,0.2032,95619.0,115.082,-2.66736,0.257437,-62.307,2.28426,1.14173,2.767823219512195,2.66736,2.571605993902439,2.4970434481707318,-7.089225360438217,30031.457270362494,36082.015508097116
Round_8_Hoosier_R25B_16x7p5_10_on_8in_12psi_PAC02_UM2,R25B 16x7p5_10 on 8in 12 psi,round8_fabricated_longitudinal_um3,R25B,16x7p5_10,8in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x7p5_10_on_8in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,656.0,100.0,1093.0,0.2033,0.19,0.2032,98947.0,117.068,-2.47524,0.363312,-58.3579,2.60659,1.12666,2.617020292682927,2.47524,2.340105658536585,2.2348780975609754,-10.581294876489222,25605.2170089747,31557.110611796073
Round_8_Hoosier_R25B_16x7p5_10_on_8in_14psi_PAC02_UM2,R25B 16x7p5_10 on 8in 14 psi,round8_fabricated_longitudinal_um3,R25B,16x7p5_10,8in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x7p5_10_on_8in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,656.0,100.0,1090.0,0.2043,0.19,0.2032,105251.0,137.069,-2.38567,0.0999365,-59.0535,2.54398,1.51844,2.424669609756098,2.38567,2.3484984969512195,2.319553474085366,-3.141504825993201,26379.462464307588,32369.2757552396
Round_8_Hoosier_R25B_16x7p5_10_on_8in_8psi_PAC02_UM2,R25B 16x7p5_10 on 8in 8 psi,round8_fabricated_longitudinal_um3,R25B,16x7p5_10,8in,8.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_R25B_16x7p5_10_on_8in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,656.0,100.0,1093.0,0.2015,0.19,0.2032,85112.0,108.575,-2.6666,0.393318,-55.838,2.02301,1.07135,2.820089951219512,2.6666,2.5203048902439025,2.4063865670731706,-10.630336838935623,29102.12874733176,34031.06898554928
