candidate_id,raw_endurance_time_s,terminal_energy_kwh,cohort_efficiency_energy_eligible,cohort_efficiency_time_eligible,cohort_efficiency_eligible,cohort_efficiency_factor,cohort_efficiency_unclipped_points,cohort_efficiency_points
molicel_p30b_120s5p,1283.0356106615518,5.560212515816367,True,True,True,0.5062928749454743,39.477461026325486,39.477461026325486
reliance_rs50_115s3p,1285.661210147031,5.372237333444461,True,True,True,0.5229379805904111,42.59446656638885,42.59446656638885
ampace_jp50_115s3p,1287.9246230042222,5.374768785793477,True,True,True,0.5217730989079261,42.37632780925045,42.37632780925045
tenpower_30xg_115s5p,1289.069937934786,5.425756093613804,True,True,True,0.5164106256229928,41.37213719045054,41.37213719045054
tenpower_50xg_115s3p,1289.462223115405,5.3728133347237526,True,True,True,0.5213405927069895,42.29533557927074,42.29533557927074
ampace_jp30_115s5p,1290.710593395371,5.425040947741039,True,True,True,0.5158221911161953,41.2619454225653,41.2619454225653
molicel_p30b_115s5p,1293.8846752795284,5.321734659675196,True,True,True,0.5245454580620815,42.895486955901845,42.895486955901845
molicel_p50b_115s3p,1294.0514038600268,5.260544140981789,True,True,True,0.5305785880090493,44.02526647606615,44.02526647606615
tenpower_30xg_140s4p,1296.8719321633453,5.279392435501054,True,True,True,0.5275345157835015,43.45522563680768,43.45522563680768
tenpower_60xg_140s2p,1297.424973819163,5.123830085821663,True,True,True,0.5433190645062579,46.4110810615642,46.4110810615642
reliance_rs50_110s3p,1298.0479238074204,5.124887248475092,True,True,True,0.5429462964930385,46.34127555914513,46.34127555914513
ampace_jp30_140s4p,1298.5482516350037,5.277961373020842,True,True,True,0.5269963625818377,43.35444967618774,43.35444967618774
ampace_jp50_110s3p,1300.34095530427,5.1241130888271496,True,True,True,0.5420707453025971,46.17731757837707,46.17731757837707
tenpower_50xg_110s3p,1301.408564769025,5.129817081870463,True,True,True,0.5410238082133098,45.981265430855906,45.981265430855906
tenpower_30xg_110s5p,1301.6108176065254,5.170841063103558,True,True,True,0.5366480784466148,45.16185495575584,45.16185495575584
molicel_p30b_140s4p,1301.7923106310918,5.1743112453926186,True,True,True,0.5362134041354525,45.080456719846886,45.080456719846886
ampace_jp30_110s5p,1302.7911354522632,5.177201831563978,True,True,True,0.535503145264799,44.94745180645486,44.94745180645486
molicel_p30b_110s5p,1305.3705532990862,5.0828242691050205,True,True,True,0.5443685297928833,46.60760664585874,46.60760664585874
molicel_p50b_110s3p,1306.143079287472,5.0152913844335325,True,True,True,0.5513723622158095,47.91916242265113,47.91916242265113
tenpower_30xg_135s4p,1306.2206407909848,5.078090139009703,True,True,True,0.5445214210492981,46.63623745802887,46.63623745802887
tenpower_60xg_135s2p,1307.4540015485031,4.929447408106885,True,True,True,0.5604117866826241,49.611908431182236,49.611908431182236
ampace_jp30_135s4p,1307.9994524726662,5.074140527255285,True,True,True,0.5442041684658514,46.57682791859446,46.57682791859446
molicel_p30b_135s4p,1310.9336981011977,4.98779091754382,True,True,True,0.5523863644820498,48.10904711001381,48.10904711001381
tenpower_30xg_130s4p,1317.3060065302311,4.87101434869688,True,True,True,0.5628929845703724,50.07654396592018,50.07654396592018
tenpower_60xg_130s2p,1317.6256304209385,4.745005740714631,True,True,True,0.577701028406402,52.84953655959865,52.84953655959865
ampace_jp30_130s4p,1318.4354416943456,4.876289758190182,True,True,True,0.5618023398092465,49.87230700670902,49.87230700670902
