candidate_id,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points,inherited_competition_efficiency_factor,inherited_competition_efficiency_points,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency_rank
tenpower_60xg_110s3p,64.35778742318166,0.1482039729752195,0.8081800871005632,100.0,0.8081800871005632,100.0,649.773579534917,7
molicel_p50b_135s3p,64.36310977329204,0.1511839621658728,0.7921845249302423,99.05207183666184,0.7921845249302423,99.05207183666184,656.0723558983199,1
tenpower_50xg_135s3p,64.54069140501282,0.1557944383198904,0.7666259807421678,94.02086235082044,0.7666259807421678,94.02086235082044,644.0959415439993,26
reliance_rs50_130s3p,64.75754775469132,0.1497808934492102,0.7947349005010909,99.55411427186829,0.7947349005010909,99.55411427186829,649.012597089986,9
molicel_p50b_130s3p,64.80286045371648,0.1455801452098202,0.8170954121077058,100.0,0.8170954121077058,100.0,652.2496529928012,3
reliance_rs50_125s3p,64.84939313712783,0.1432844767481767,0.8295910122933609,100.0,0.8295910122933609,100.0,648.0939183528492,11
ampace_jp50_130s3p,64.89647449528331,0.149706710232925,0.7934265434010167,99.29656366161744,0.7934265434010167,99.29656366161744,645.746325821949,20
tenpower_50xg_130s3p,64.96825402485844,0.1497993992571645,0.7920595402832232,99.0274685596896,0.7920595402832232,99.0274685596896,643.8195906349342,27
tenpower_30xg_130s5p,64.96849616845938,0.1513434990222983,0.7839755381442159,97.436129555948,0.7839755381442159,97.436129555948,645.4773251097336,21
ampace_jp50_125s3p,64.98346535883952,0.1432435718374471,0.8281158322047111,100.0,0.8281158322047111,100.0,645.1905753389694,22
tenpower_30xg_125s5p,65.04212526065601,0.1448674861034489,0.8180944555910699,100.0,0.8180944555910699,100.0,647.9286901724014,12
ampace_jp30_130s5p,65.05921850995601,0.1513195200564497,0.7830063773157324,97.24534986530163,0.7830063773157324,97.24534986530163,643.3392315840063,30
tenpower_50xg_125s3p,65.0603797257878,0.143251499759976,0.8270910578729318,100.0,0.8270910578729318,100.0,643.4982501595413,28
ampace_jp30_125s5p,65.13273034940553,0.1448162942546027,0.8172452076946456,100.0,0.8172452076946456,100.0,646.0147841061862,19
molicel_p30b_130s5p,65.192,0.1483181818181818,0.7972240632635236,100.0,0.7972240632635236,100.0,644.4327882390851,23
molicel_p50b_125s3p,65.269292532424,0.1399559920703844,0.8438566831874318,100.0,0.8438566831874318,100.0,646.900091916629,15
molicel_p30b_125s5p,65.28633314803697,0.1418422415112433,0.83241756176014,100.0,0.83241756176014,100.0,643.4762265068339,29
reliance_rs50_120s3p,65.36751299220435,0.1371975111500109,0.8595297275343,100.0,0.8595297275343,100.0,641.4842555004728,32
ampace_jp50_120s3p,65.48429315224124,0.1372894136966879,0.8574225521987384,100.0,0.8574225521987384,100.0,638.854526408715,35
tenpower_30xg_120s5p,65.5397592125584,0.138629479330855,0.848415634530109,100.0,0.848415634530109,100.0,642.7421069652343,31
tenpower_50xg_120s3p,65.5622262667687,0.1372726383438969,0.856507999674463,100.0,0.856507999674463,100.0,637.1892692219199,37
