candidate_id,raw_endurance_time_s,terminal_energy_kwh,cohort_efficiency_energy_eligible,cohort_efficiency_time_eligible,cohort_efficiency_eligible,cohort_efficiency_factor,cohort_efficiency_unclipped_points,cohort_efficiency_points
molicel_p50b_135s2p,1327.8789394432097,3.960644519718616,True,True,True,0.6595400479945919,66.81267500688269,66.81267500688269
tenpower_30xg_110s4p,1325.8421858827396,4.0064056768810365,True,True,True,0.6530083932223049,65.63072214407646,65.63072214407646
ampace_jp30_110s4p,1326.8150111423977,4.010706089463678,True,True,True,0.6518299412918711,65.41747225849377,65.41747225849377
tenpower_60xg_110s2p,1331.3927847202908,3.878500455579412,True,True,True,0.6717311272516818,69.01874399414025,69.01874399414025
reliance_rs50_130s2p,1330.2851032968322,3.9011069709373047,True,True,True,0.6683945997102793,68.41497382916998,68.41497382916998
molicel_p30b_110s4p,1332.658927957726,3.9242483633771337,True,True,True,0.6632694898015633,67.4875460118724,67.4875460118724
ampace_jp50_130s2p,1332.3302985578146,3.90010008339761,True,True,True,0.6675408740831507,68.26048565056675,68.26048565056675
tenpower_50xg_130s2p,1333.777570072244,3.897281267771501,True,True,True,0.6672988241039013,68.21668485645102,68.21668485645102
molicel_p50b_130s2p,1342.4679754064734,3.80938182541654,True,True,True,0.6782769825617601,70.20326655281696,70.20326655281696
tenpower_30xg_140s3p,1343.3882463178984,3.81803165982482,True,True,True,0.6762767388955196,69.84130717038697,69.84130717038697
reliance_rs50_125s2p,1345.9564195907924,3.734729163320555,True,True,True,0.6900418139601444,72.33220273155565,72.33220273155565
ampace_jp30_140s3p,1345.5126883350845,3.810634276463363,True,True,True,0.6765197070491472,69.8852741151755,69.8852741151755
ampace_jp50_125s2p,1347.3610394399288,3.740104055078372,True,True,True,0.6883318243171853,72.02276703350869,72.02276703350869
tenpower_50xg_125s2p,1348.824227722993,3.735871932617358,True,True,True,0.6883640500025173,72.02859851762135,72.02859851762135
molicel_p30b_140s3p,1351.3097489854022,3.729983849429624,True,True,True,0.6881825528428247,71.99575521910532,71.99575521910532
molicel_p50b_125s2p,1354.660637809662,3.648548465627352,True,True,True,0.7018024628350433,74.46038205069603,74.46038205069603
tenpower_30xg_135s3p,1355.414138126208,3.664043065916356,True,True,True,0.698446167003113,73.85303466243447,73.85303466243447
reliance_rs50_120s2p,1358.2251930080029,3.5682475627630628,True,True,True,0.7157127595287213,76.97755657580034,76.97755657580034
ampace_jp30_135s3p,1357.0180994652028,3.657382989541945,True,True,True,0.6988909848696351,73.93352785582765,73.93352785582765
ampace_jp50_120s2p,1359.588047974335,3.573219677333841,True,True,True,0.714000415128379,76.66769476640373,76.66769476640373
molicel_p30b_135s3p,1361.8685351573713,3.5849609351414484,True,True,True,0.7104702640655294,76.02888694505701,76.02888694505701
tenpower_50xg_120s2p,1361.1466245464967,3.567835481430756,True,True,True,0.7142591105645771,76.71450768320189,76.71450768320189
molicel_p50b_120s2p,1367.7512832905772,3.48816634879628,True,True,True,0.7270448464289043,79.02818432943934,79.02818432943934
tenpower_30xg_130s3p,1367.657372163892,3.5102815858617613,True,True,True,0.7225139764938215,78.20828877808601,78.20828877808601
ampace_jp30_130s3p,1368.4660826913812,3.5135555970170063,True,True,True,0.7214141415611732,78.00926523924659,78.00926523924659
reliance_rs50_115s2p,1372.6376979650236,3.4053484922866684,True,True,True,0.742075399161281,81.74807774863368,81.74807774863368
molicel_p30b_130s3p,1373.9348814158604,3.439057365877176,True,True,True,0.7341079876555132,80.30631372914611,80.30631372914611
ampace_jp50_115s2p,1374.110724228134,3.4037241634392674,True,True,True,0.7416336597490969,81.66814162508645,81.66814162508645
tenpower_50xg_115s2p,1374.827135515798,3.4062680201808724,True,True,True,0.7406936249057393,81.49803513400883,81.49803513400883
molicel_p50b_115s2p,1383.897839983994,3.3320034816834405,True,True,True,0.7522393386603665,83.58732030004721,83.58732030004721
tenpower_30xg_125s3p,1381.9714991166722,3.3583532994290257,True,True,True,0.7473775542862694,82.70754325125216,82.70754325125216
ampace_jp30_125s3p,1382.869160322501,3.360577182354445,True,True,True,0.7463981487332756,82.53031232929331,82.53031232929331
molicel_p30b_125s3p,1390.6186079996046,3.2957129530280898,True,True,True,0.7568470177360785,84.42111505257105,84.42111505257105
ampace_jp50_110s2p,1393.4836219549816,3.2399885794466847,True,True,True,0.7682811384336591,86.49020660185471,86.49020660185471
tenpower_50xg_110s2p,1394.2592570625302,3.242061701972908,True,True,True,0.7673627380538177,86.32401503233675,86.32401503233675
molicel_p50b_110s2p,1400.9772249171165,3.1708720691680017,True,True,True,0.7808286205212049,88.76076940583341,88.76076940583341
tenpower_30xg_120s3p,1398.9062510286935,3.208899840820461,True,True,True,0.7727174978533748,87.29299975295912,87.29299975295912
reliance_rs50_110s2p,1402.5616261404352,3.2472312337900937,True,True,True,0.7616059901232389,85.28228748637537,85.28228748637537
ampace_jp30_120s3p,1399.8132370074936,3.211321026527313,True,True,True,0.7716346129164916,87.097043445429,87.097043445429
molicel_p30b_120s3p,1406.2707537079614,3.142580422173307,True,True,True,0.7848924903815867,89.49615772364989,89.49615772364989
tenpower_30xg_115s3p,1414.6549795438043,3.060772066660143,True,True,True,0.8010949563593975,92.42811780339072,92.42811780339072
ampace_jp30_115s3p,1416.1829537377291,3.0567498815211627,True,True,True,0.8012835974421342,92.46225384939387,92.46225384939387
molicel_p30b_115s3p,1422.7591190054484,2.996085297797284,True,True,True,0.8137293263177142,94.71440363180672,94.71440363180672
tenpower_30xg_110s3p,1434.137363952086,2.905794377912609,True,True,True,0.8323574851926293,98.08531138468327,98.08531138468327
ampace_jp30_110s3p,1435.6404540562785,2.901739659445133,True,True,True,0.8326478907896538,98.13786249749383,98.13786249749383
molicel_p30b_110s3p,1442.6038670487644,2.8524800376320125,True,True,True,0.842938351338158,100.0,100.0
