candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,pack_mass_kg,vehicle_mass_kg,simulation_mode,simulation_mode_short,event_slug,event_name,raw_simulated_time_s,cohort_tmin_s,tmax_s,points,maximum_points,point_loss_vs_event_max,is_cohort_fastest,time_rank
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,39.05,261.93515114,shared_chronological_endurance,shared_endurance,endurance,Endurance,1224.091904117029,1216.0261253241367,1763.2378817199983,269.69203832274087,275.0,5.307961677259129,False,7
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,35.175,258.06015114,pack_aware_full_soc_80kw_terminal,pack_aware,acceleration,Acceleration,4.299172048294293,4.250933535449968,6.376400303174952,96.78534988257046,100.0,3.2146501174295423,False,40
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,35.175,258.06015114,pack_aware_full_soc_80kw_terminal,pack_aware,skidpad,Skidpad,4.793967183287888,4.758553193051323,5.948191491314154,72.07647869258236,75.0,2.9235213074176443,False,106
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,35.175,258.06015114,pack_aware_full_soc_80kw_terminal,pack_aware,autocross,Autocross,52.19845977482135,51.88432241379922,75.23226750000886,122.70207557462301,125.0,2.2979244253769906,False,85
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,35.175,258.06015114,mass_isolated_common_80kw_curve,mass_isolated,acceleration,Acceleration,4.246400595496384,4.205352467457964,6.308028701186947,97.23052773318656,100.0,2.7694722668134375,False,106
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,35.175,258.06015114,mass_isolated_common_80kw_curve,mass_isolated,skidpad,Skidpad,4.793967183287888,4.758553193051323,5.948191491314154,72.07647869258236,75.0,2.9235213074176443,False,106
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,35.175,258.06015114,mass_isolated_common_80kw_curve,mass_isolated,autocross,Autocross,52.15840723381881,51.70409358243788,74.97093569453492,121.67412973122494,125.0,3.3258702687750628,False,106
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,35.175,258.06015114,shared_chronological_endurance,shared_endurance,endurance,Endurance,1222.1493185723816,1216.0261253241367,1763.2378817199983,270.96401825545695,275.0,4.035981744543051,False,6
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,37.275,260.16015114,pack_aware_full_soc_80kw_terminal,pack_aware,acceleration,Acceleration,4.263453524122029,4.250933535449968,6.376400303174952,99.15866873316415,100.0,0.8413312668358515,False,14
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,37.275,260.16015114,pack_aware_full_soc_80kw_terminal,pack_aware,skidpad,Skidpad,4.798307859449993,4.758553193051323,5.948191491314154,71.72259049746975,75.0,3.277409502530247,False,116
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,37.275,260.16015114,pack_aware_full_soc_80kw_terminal,pack_aware,autocross,Autocross,52.2216305153007,51.88432241379922,75.23226750000886,122.53367569174394,125.0,2.4663243082560626,False,94
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,37.275,260.16015114,mass_isolated_common_80kw_curve,mass_isolated,acceleration,Acceleration,4.2515414336223945,4.205352467457964,6.308028701186947,96.887449172797,100.0,3.1125508272029947,False,116
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,37.275,260.16015114,mass_isolated_common_80kw_curve,mass_isolated,skidpad,Skidpad,4.798307859449993,4.758553193051323,5.948191491314154,71.72259049746975,75.0,3.277409502530247,False,116
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,37.275,260.16015114,mass_isolated_common_80kw_curve,mass_isolated,autocross,Autocross,52.21416859008002,51.70409358243788,74.97093569453492,121.26990823224506,125.0,3.730091767754942,False,116
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,37.275,260.16015114,shared_chronological_endurance,shared_endurance,endurance,Endurance,1230.7658992083143,1216.0261253241367,1763.2378817199983,265.3525871592075,275.0,9.647412840792526,False,15
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,37.8,260.68515114,pack_aware_full_soc_80kw_terminal,pack_aware,acceleration,Acceleration,4.306060450129884,4.250933535449968,6.376400303174952,96.33217851009974,100.0,3.6678214899002626,False,45
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,37.8,260.68515114,pack_aware_full_soc_80kw_terminal,pack_aware,skidpad,Skidpad,4.799389892434655,4.758553193051323,5.948191491314154,71.63452360255769,75.0,3.3654763974423076,False,119
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,37.8,260.68515114,pack_aware_full_soc_80kw_terminal,pack_aware,autocross,Autocross,52.26855210252506,51.88432241379922,75.23226750000886,122.19311714386038,125.0,2.806882856139623,False,112
