candidate_id,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points,inherited_competition_efficiency_factor,inherited_competition_efficiency_points,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency_rank
tenpower_50xg_125s3p,65.33311291842367,0.1445794315686498,0.8160734188868498,100.0,0.8160734188868498,100.0,645.4077424092739,33
ampace_jp30_125s5p,65.12881346912044,0.1461349018745668,0.8099197290489999,100.0,0.8099197290489999,100.0,651.2645608296393,10
molicel_p30b_130s5p,65.192,0.1483181818181818,0.7972240632635236,100.0,0.7972240632635236,100.0,649.6303663148489,18
molicel_p50b_125s3p,65.36570702787726,0.1390878695125382,0.8478711903844081,100.0,0.8478711903844081,100.0,650.929731560995,12
molicel_p30b_125s5p,65.29306894682851,0.1418221804815898,0.8324494224242265,100.0,0.8324494224242265,100.0,648.5850598524282,23
reliance_rs50_120s3p,65.26664436675397,0.1380196272931205,0.8557304026008736,100.0,0.8557304026008736,100.0,647.8833488718808,27
ampace_jp50_120s3p,65.3958509922544,0.1379392685750917,0.8545372175649089,100.0,0.8545372175649089,100.0,645.0906338420059,34
tenpower_30xg_120s5p,65.39949676463311,0.1400084966767958,0.8418608193057754,100.0,0.8418608193057754,100.0,649.5944079286476,19
tenpower_50xg_120s3p,65.47017808874736,0.1379314082080819,0.8536157197406737,100.0,0.8536157197406737,100.0,643.4599488565693,38
ampace_jp30_120s5p,65.46234250791802,0.140210675962693,0.8398398377405358,100.0,0.8398398377405358,100.0,648.0477800008589,25
molicel_p50b_120s3p,65.79744497764727,0.1335534867274264,0.8772125498590243,100.0,0.8772125498590243,100.0,645.9658440997508,32
molicel_p30b_120s5p,65.71137564305145,0.1361400870158377,0.8616730573695738,100.0,0.8616730573695738,100.0,643.6515402192184,37
reliance_rs50_115s3p,65.74584361182991,0.1321241381927865,0.8873983701878043,100.0,0.8873983701878043,100.0,641.6380862743362,40
ampace_jp50_115s3p,65.85916180119933,0.1321929726352771,0.8854102164601881,100.0,0.8854102164601881,100.0,639.0985680569987,43
tenpower_30xg_115s5p,65.86708826086276,0.1339859048831915,0.8734569759100802,100.0,0.8734569759100802,100.0,644.7850874963285,35
tenpower_50xg_115s3p,65.93545324345175,0.132140195480723,0.8847389675540615,100.0,0.8847389675540615,100.0,637.4823023754033,47
ampace_jp30_115s5p,65.94783023400178,0.1340079846352271,0.8722438369946042,100.0,0.8722438369946042,100.0,642.9407336769787,39
molicel_p30b_115s5p,66.21560046420008,0.1303757466114924,0.8929187990009633,100.0,0.8929187990009633,100.0,637.6589856551507,46
molicel_p50b_115s3p,66.31589337838729,0.127926986243978,0.9086346689690578,100.0,0.9086346689690578,100.0,639.9554394381257,42
tenpower_30xg_140s4p,66.21837972061986,0.1303761971231609,0.8928782369123219,100.0,0.8928782369123219,100.0,641.1846348172609,41
tenpower_60xg_140s2p,66.40051947664419,0.1250265507718539,0.9285287804658758,100.0,0.9285287804658758,100.0,626.7985848500314,60
reliance_rs50_110s3p,66.30823841738481,0.1261699091251262,0.9213949254189994,100.0,0.9213949254189994,100.0,634.3476021870509,50
ampace_jp30_140s4p,66.30177066946129,0.1303457242914564,0.8919636993968886,100.0,0.8919636993968886,100.0,639.0563819042117,44
ampace_jp50_110s3p,66.43459915767615,0.1260752761248122,0.9203326928303182,100.0,0.9203326928303182,100.0,631.7216562750857,54
tenpower_50xg_110s3p,66.50668783649658,0.126057038994386,0.9194681189985328,100.0,0.9194681189985328,100.0,630.1952825770213,57
tenpower_30xg_110s5p,66.43682172425028,0.1278125778792238,0.9077926336496414,100.0,0.9077926336496414,100.0,638.8537647711507,45
molicel_p30b_140s4p,66.56755196461931,0.1268517335656943,0.9128724573009608,100.0,0.9128724573009608,100.0,633.4809710855562,53
ampace_jp30_110s5p,66.49660181593899,0.1279983975259486,0.9056598440762856,100.0,0.9056598440762856,100.0,636.8354162814338,48
molicel_p30b_110s5p,66.75478442170828,0.1243823801717733,0.9283844032314386,100.0,0.9283844032314386,100.0,631.2229500525274,56
molicel_p50b_110s3p,66.8392436465814,0.1223459444898238,0.9426446171825096,100.0,0.9426446171825096,100.0,633.8697842171423,52
