candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,prior_simulation_fidelity,regen_simulation_fidelity,prior_constraint_valid,regen_constraint_valid,prior_equal_reserve_eligible,regen_equal_reserve_eligible,prior_sustainable_power_kw,regen_sustainable_power_kw,delta_sustainable_power_kw,prior_endurance_time_s,regen_endurance_time_s,delta_endurance_time_s,prior_gross_discharge_kwh,regen_gross_discharge_kwh,delta_gross_discharge_kwh,prior_recovered_energy_kwh,regen_recovered_energy_kwh,delta_recovered_energy_kwh,prior_net_terminal_energy_kwh,regen_net_terminal_energy_kwh,delta_net_terminal_energy_kwh,prior_total_pack_heat_kwh,regen_total_pack_heat_kwh,delta_total_pack_heat_kwh,prior_regen_pack_heat_kwh,regen_regen_pack_heat_kwh,delta_regen_pack_heat_kwh,prior_final_reserve_kwh,regen_final_reserve_kwh,delta_final_reserve_kwh,prior_active_rms_kw,regen_active_rms_kw,delta_active_rms_kw,prior_overall_rank,regen_overall_rank,delta_overall_rank,prior_cell_rank,regen_cell_rank,delta_cell_rank,sustainable_power_gain_kw,endurance_time_reduction_s,gross_discharge_change_kwh,recovered_energy_gain_kwh,net_terminal_energy_reduction_kwh,total_pack_heat_change_kwh,regen_pack_heat_increase_kwh,final_reserve_change_kwh,active_rms_change_kw,overall_rank_improvement,cell_rank_improvement
ampace_jp30_125s4p,ampace_jp30,Ampace,JP30P1 (JP30),125,4,500,31.25,254.13515114,5.52,5.29275,screening_factor8,screening_factor8,True,True,True,True,17.53125,22.078125,4.546875,1330.3741161878686,1291.8590868569304,-38.515029330938205,4.668845220359144,5.179616066482559,0.5107708461234148,0.0,0.5729729105503288,0.5729729105503288,4.668845220359144,4.606643155932232,-0.062202064426912784,0.1223408321965619,0.1824341353413372,0.060093303144775304,0.0,0.0078817248193574,0.0078817248193574,0.5016234294231873,0.5037578609691357,0.00213443154594839,0.0,8.672934946781647,8.672934946781647,66.0,65.0,-1.0,9.0,9.0,0.0,4.546875,38.515029330938205,0.5107708461234148,0.5729729105503288,0.062202064426912784,0.060093303144775304,0.0078817248193574,0.00213443154594839,8.672934946781647,1.0,-0.0
ampace_jp30_125s5p,ampace_jp30,Ampace,JP30P1 (JP30),125,5,625,39.0625,261.94765114,6.9,6.6159375,screening_factor8,screening_factor8,True,True,True,True,27.1015625,35.734375,8.6328125,1270.2308514585948,1240.9945184343896,-29.236333024205123,5.926554061111449,6.527564252977978,0.6010101918665294,0.0,0.6990954870628635,0.6990954870628635,5.926554061111449,5.8284687659151135,-0.09808529519633513,0.1894085303911808,0.2834017867887571,0.0939932563975763,0.0,0.0078656392279073,0.0078656392279073,0.5000607131945729,0.5041883302897624,0.004127617095189495,0.0,8.834602689194856,8.834602689194856,27.0,22.0,-5.0,2.0,2.0,0.0,8.6328125,29.236333024205123,0.6010101918665294,0.6990954870628635,0.09808529519633513,0.0939932563975763,0.0078656392279073,0.004127617095189495,8.834602689194856,5.0,-0.0
ampace_jp30_130s3p,ampace_jp30,Ampace,JP30P1 (JP30),130,3,390,24.375,247.26015114,4.3056,4.128345,screening_factor8,screening_factor8,True,True,True,True,11.3125,14.109375,2.796875,1421.3837622130245,1368.4660826913812,-52.91767952164332,3.553123700987061,3.979757511835429,0.4266338108483678,0.0,0.4662019148184228,0.4662019148184228,3.553123700987061,3.5135555970170063,-0.039568103970054835,0.076341491071689,0.1183362493564596,0.0419947582847706,0.0,0.0079788594635316,0.0079788594635316,0.4989196744151807,0.4965124599938836,-0.002407214421297099,0.0,8.464913933919426,8.464913933919426,107.0,107.0,0.0,15.0,15.0,0.0,2.796875,52.91767952164332,0.4266338108483678,0.4662019148184228,0.039568103970054835,0.0419947582847706,0.0079788594635316,-0.002407214421297099,8.464913933919426,-0.0,-0.0
ampace_jp30_130s4p,ampace_jp30,Ampace,JP30P1 (JP30),130,4,520,32.5,255.38515114,5.7408,5.50446,screening_factor8,screening_factor8,True,True,True,True,18.84375,23.9765625,5.1328125,1318.4354416943456,1281.2522908097658,-37.183150884579845,4.876289758190182,5.402542939461118,0.5262531812709366,0.0,0.5993784784794547,0.5993784784794547,4.876289758190182,4.803164460981663,-0.07312529720851835,0.1322786616701385,0.1976283756741035,0.065349714003965,0.0,0.0080041630169857,0.0080041630169857,0.4959551921795938,0.5037581171443192,0.0078029249647253995,0.0,8.783354956200045,8.783354956200045,62.0,61.0,-1.0,8.0,8.0,0.0,5.1328125,37.183150884579845,0.5262531812709366,0.5993784784794547,0.07312529720851835,0.065349714003965,0.0080041630169857,0.0078029249647253995,8.783354956200045,1.0,-0.0
ampace_jp30_130s5p,ampace_jp30,Ampace,JP30P1 (JP30),130,5,650,40.625,263.51015114,7.176,6.880574999999999,native_0p25m,native_0p25m,True,True,True,True,27.015625,35.9140625,8.8984375,1268.7972096334274,1238.5458907732375,-30.25131886018994,6.192696206818482,6.865151804583999,0.6724555977655173,0.0,0.7726473409787997,0.7726473409787997,6.192696206818482,6.0925044636052,-0.10019174321328173,0.1904256439074542,0.2881479006150681,0.09772225670761392,0.0,0.0081688753081427,0.0081688753081427,0.4974640679078063,0.4999382585271363,0.002474190619330019,0.0,8.736468428684747,8.736468428684747,25.0,21.0,-4.0,1.0,1.0,0.0,8.8984375,30.25131886018994,0.6724555977655173,0.7726473409787997,0.10019174321328173,0.09772225670761392,0.0081688753081427,0.002474190619330019,8.736468428684747,4.0,-0.0
ampace_jp30_135s3p,ampace_jp30,Ampace,JP30P1 (JP30),135,3,405,25.3125,248.19765114,4.4712,4.2871275,screening_factor8,screening_factor8,True,True,True,True,12.0,14.90625,2.90625,1407.688814851239,1357.0180994652028,-50.670715386036136,3.702415066477058,4.136291244740952,0.433876178263894,0.0,0.4789082551990071,0.4789082551990071,3.702415066477058,3.657382989541945,-0.04503207693511291,0.0814704629964124,0.124825941651018,0.043355478654605595,0.0,0.0079375787164583,0.0079375787164583,0.5032840804988311,0.5049805528517662,0.00169647235293513,0.0,8.485720881757063,8.485720881757063,101.0,100.0,-1.0,14.0,14.0,0.0,2.90625,50.670715386036136,0.433876178263894,0.4789082551990071,0.04503207693511291,0.043355478654605595,0.0079375787164583,0.00169647235293513,8.485720881757063,1.0,-0.0
ampace_jp30_135s4p,ampace_jp30,Ampace,JP30P1 (JP30),135,4,540,33.75,256.63515114,5.961600000000001,5.71617,screening_factor8,screening_factor8,True,True,True,True,20.1796875,25.875,5.6953125,1307.9994524726662,1271.9402429540887,-36.05920951857752,5.074140527255285,5.623191715844523,0.549051188589238,0.0,0.6233549259921225,0.6233549259921225,5.074140527255285,4.9998367898524005,-0.0743037374028841,0.1415685061310589,0.212655776360264,0.07108727022920511,0.0,0.0080245926443628,0.0080245926443628,0.5005283432303237,0.5037740246390197,0.0032456814086959662,0.0,8.793906457721205,8.793906457721205,58.0,55.0,-3.0,7.0,7.0,0.0,5.6953125,36.05920951857752,0.549051188589238,0.6233549259921225,0.0743037374028841,0.07108727022920511,0.0080245926443628,0.0032456814086959662,8.793906457721205,3.0,-0.0
ampace_jp30_140s3p,ampace_jp30,Ampace,JP30P1 (JP30),140,3,420,26.25,249.13515114,4.6368,4.44591,screening_factor8,screening_factor8,True,True,True,True,12.84375,15.84375,3.0,1391.4782415946795,1345.5126883350845,-45.965553259595026,3.859976836658462,4.293052240047922,0.43307540338946016,0.0,0.4824179635845583,0.4824179635845583,3.859976836658462,3.810634276463363,-0.04934256019509897,0.0879791557638387,0.1317061929367792,0.043727037172940506,0.0,0.007728253838478,0.007728253838478,0.4979990576083886,0.5036343371981683,0.005635279589779718,0.0,8.517144702089759,8.517144702089759,94.0,93.0,-1.0,13.0,13.0,0.0,3.0,45.965553259595026,0.43307540338946016,0.4824179635845583,0.04934256019509897,0.043727037172940506,0.007728253838478,0.005635279589779718,8.517144702089759,1.0,-0.0
ampace_jp30_140s4p,ampace_jp30,Ampace,JP30P1 (JP30),140,4,560,35.0,257.88515114,6.1824,5.92788,screening_factor8,screening_factor8,True,True,True,True,21.5859375,27.9140625,6.328125,1298.5482516350037,1263.344587143553,-35.20366449145058,5.277961373020842,5.833401584692497,0.5554402116716552,0.0,0.6346710072741737,0.6346710072741737,5.277961373020842,5.198730577418324,-0.079230795602518,0.1517776879601662,0.2275383071201732,0.07576061916000701,0.0,0.0079269111988954,0.0079269111988954,0.4982123840444413,0.5017132170446668,0.0035008330002254673,0.0,8.839720332020693,8.839720332020693,48.0,45.0,-3.0,5.0,5.0,0.0,6.328125,35.20366449145058,0.5554402116716552,0.6346710072741737,0.079230795602518,0.07576061916000701,0.0079269111988954,0.0035008330002254673,8.839720332020693,3.0,-0.0
ampace_jp50_110s2p,ampace_jp50,Ampace,JP50P1 (JP50),110,2,220,19.8,242.68515114,3.938,3.88135,screening_factor8,screening_factor8,True,True,True,True,10.0625,12.375,2.3125,1445.739557825234,1393.4836219549816,-52.255935870252415,3.291049604729826,3.666153017771654,0.37510341304182804,0.0,0.4261644383249686,0.4261644383249686,3.291049604729826,3.2399885794466847,-0.05106102528314116,0.0903067788925052,0.1381753703637357,0.0478685914712305,0.0,0.0101839450676793,0.0101839450676793,0.5000295653541347,0.5032387838265446,0.003209218472409958,0.0,8.44719362239228,8.44719362239228,116.0,116.0,0.0,15.0,15.0,0.0,2.3125,52.255935870252415,0.37510341304182804,0.4261644383249686,0.05106102528314116,0.0478685914712305,0.0101839450676793,0.003209218472409958,8.44719362239228,-0.0,-0.0
