candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,pack_aware_curve_points,pack_aware_full_soc,pack_aware_terminal_power_limit_kw,pack_aware_maximum_achievable_terminal_power_kw,pack_aware_maximum_achievable_wheel_power_kw,pack_aware_maximum_tractive_force_n,pack_aware_active_limiter_at_peak_terminal_power,pack_aware_reaches_79p9kw_terminal,raw_endurance_time_s,projected_endurance_time_s,endurance_points,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points,pack_aware_acceleration_raw_time_s,pack_aware_acceleration_projected_time_s,pack_aware_acceleration_points,pack_aware_acceleration_converged,pack_aware_skidpad_raw_time_s,pack_aware_skidpad_projected_time_s,pack_aware_skidpad_points,pack_aware_skidpad_converged,pack_aware_autocross_raw_time_s,pack_aware_autocross_projected_time_s,pack_aware_autocross_points,pack_aware_autocross_converged,pack_aware_nonenergy_points,pack_aware_performance_points_excluding_efficiency,pack_aware_full_dynamic_points,mass_isolated_acceleration_raw_time_s,mass_isolated_acceleration_projected_time_s,mass_isolated_acceleration_points,mass_isolated_acceleration_converged,mass_isolated_skidpad_raw_time_s,mass_isolated_skidpad_projected_time_s,mass_isolated_skidpad_points,mass_isolated_skidpad_converged,mass_isolated_autocross_raw_time_s,mass_isolated_autocross_projected_time_s,mass_isolated_autocross_points,mass_isolated_autocross_converged,mass_isolated_sprint_nonenergy_points,mass_isolated_sprint_hybrid_performance_points_excluding_efficiency,mass_isolated_sprint_hybrid_full_dynamic_points,pack_aware_minus_mass_isolated_nonenergy_points,pack_aware_minus_mass_isolated_full_dynamic_points,mass_isolated_acceleration_raw_time_s_delta_vs_lightest_s,mass_isolated_skidpad_raw_time_s_delta_vs_lightest_s,mass_isolated_autocross_raw_time_s_delta_vs_lightest_s,pack_aware_nonenergy_points_rank,pack_aware_performance_points_excluding_efficiency_rank,pack_aware_full_dynamic_points_rank,mass_isolated_sprint_nonenergy_points_rank,mass_isolated_sprint_hybrid_performance_points_excluding_efficiency_rank,mass_isolated_sprint_hybrid_full_dynamic_points_rank
ampace_jp30_130s4p,ampace_jp30,Ampace,JP30P1 (JP30),130,4,520,32.5,255.38515114,5.7408,5.50446,18.84375,121,1.0,80.0,71.38154921987862,63.62047628499047,3471.8573629535495,bus_current+motor_voltage,False,1318.4354416943456,1360.843027712256,246.2535462092089,67.60448308145692,0.11915291840944461,0.9569492716993209,100.0,4.269829812877932,3.6845968762416947,100.0,True,4.7884081536125365,4.770265043038198,75.0,True,52.10794604065179,43.809511022066694,125.0,True,300.0,546.2535462092089,646.2535462092089,4.239851483779085,3.6848987539161713,100.0,True,4.7884081536125365,4.770265043038198,75.0,True,52.08702052192766,43.80974071662294,125.0,True,300.0,546.2535462092089,646.2535462092089,0.0,0.0,0.034499016321120735,0.029854960561213062,0.38292693948978496,1.0,60.0,60.0,1.0,62.0,62.0
molicel_p30b_130s4p,molicel_p30b,Molicel,INR-18650-P30B,130,4,520,30.55,253.43515114,5.616,5.50446,18.3515625,121,1.0,80.0,57.16619937383081,50.770172165169065,3471.8573629535495,bus_current+motor_voltage,False,1321.4091707482885,1363.9124070094044,244.50539745527138,67.75696488614639,0.11703548778747543,0.9720700963127529,100.0,4.324901702313785,3.7321204827264465,97.30394065580211,True,4.784334003190475,4.766206329429213,75.0,True,52.11286175719434,43.81364388767387,125.0,True,297.3039406558021,541.8093381110734,641.8093381110734,4.235076713153367,3.680748951406282,100.0,True,4.784334003190475,4.766206329429213,75.0,True,52.03471859808917,43.76575022341782,125.0,True,300.0,544.5053974552713,644.5053974552713,-2.69605934419792,-2.69605934419792,0.02972424569540255,0.025780810139151455,0.3306250156512931,62.0,61.0,61.0,1.0,63.0,63.0
tenpower_30xg_125s4p,tenpower_30xg,Tenpower,INR18650-30XG,125,4,500,30.0,252.88515114,5.4,5.29275,17.578125,121,1.0,80.0,75.4025996104116,67.256069872271,3471.8573629535495,bus_current+motor_voltage,False,1328.796418619292,1371.537266324714,240.19656030399702,68.13575557844756,0.11414141480827991,0.9911759801117193,100.0,4.253906410565274,3.670855972975854,100.0,True,4.783181478816006,4.765058171929183,75.0,True,52.03330162745829,43.74675408207936,125.0,True,300.0,540.196560303997,640.196560303997,4.233729833448731,3.6795783643316455,100.0,True,4.783181478816006,4.765058171929183,75.0,True,52.019925457236255,43.75330789788918,125.0,True,300.0,540.196560303997,640.196560303997,0.0,0.0,0.028377365990766457,0.0246282857646829,0.31583187479837704,1.0,63.0,63.0,1.0,64.0,64.0
tenpower_60xg_125s2p,tenpower_60xg,Tenpower,INR21700-60XG,125,2,250,23.75,246.63515114,5.4,5.29275,16.96875,121,1.0,80.0,37.7012988069242,33.22170644091007,3471.8573629535495,bus_current+motor_voltage,False,1329.8736466213377,1372.6491434553502,239.57223350125963,68.19099183798376,0.11112080504029558,1.017294532251898,100.0,4.514273619692571,3.895536638826466,85.39848234082636,True,4.769974697141824,4.751901430287629,75.0,True,52.27504717480609,43.950000516179955,124.88705277884537,True,285.28553511967175,524.8577686209314,624.8577686209314,4.218416302784107,3.666269216527762,100.0,True,4.769974697141824,4.751901430287629,75.0,True,51.850491711649866,43.610799296160636,125.0,True,300.0,539.5722335012597,639.5722335012597,-14.71446488032825,-14.71446488032825,0.013063835326142303,0.011421504090500356,0.14639812921198825,116.0,70.0,70.0,1.0,65.0,65.0
ampace_jp30_125s4p,ampace_jp30,Ampace,JP30P1 (JP30),125,4,500,31.25,254.13515114,5.52,5.29275,17.53125,121,1.0,80.0,68.6361046826523,61.1555150480711,3471.8573629535495,bus_current+motor_voltage,False,1330.3741161878686,1373.1657106672574,239.28252136985776,68.21665406252154,0.11408397802312918,0.9904989656136413,100.0,4.274844626818109,3.6889243479650835,100.0,True,4.785798672232065,4.767665448891169,75.0,True,52.080935346541125,43.786801907790114,125.0,True,300.0,539.2825213698577,639.2825213698577,4.236790846488367,3.6822387224075426,100.0,True,4.785798672232065,4.767665448891169,75.0,True,52.05351957969854,43.78156349361971,125.0,True,300.0,539.2825213698577,639.2825213698577,0.0,0.0,0.03143837903040225,0.02724547918074194,0.3494259972606599,1.0,64.0,64.0,1.0,66.0,66.0
molicel_p30b_125s4p,molicel_p30b,Molicel,INR-18650-P30B,125,4,500,29.375,252.26015114,5.4,5.29275,17.109375,121,1.0,80.0,54.967499899749214,48.80001998990288,3471.8573629535495,bus_current+motor_voltage,False,1333.3739751349626,1376.262060327751,237.55051993144323,68.37047571128953,0.1122202179340232,1.0046837714644787,100.0,4.335763041344239,3.7414931410330405,96.59299524936546,True,4.781869945263322,4.7637516077311375,75.0,True,52.09751872277353,43.80074430350976,125.0,True,296.59299524936546,534.1435151808087,634.1435151808087,4.23219908051515,3.6782479711329485,100.0,True,4.781869945263322,4.7637516077311375,75.0,True,52.00309254455314,43.73914994581661,125.0,True,300.0,537.5505199314432,637.5505199314432,-3.407004750634542,-3.407004750634542,0.026846613057185387,0.023316752211998804,0.2989989621152631,69.0,65.0,65.0,1.0,67.0,67.0
tenpower_30xg_120s4p,tenpower_30xg,Tenpower,INR18650-30XG,120,4,480,28.8,251.68515114,5.184,5.08104,16.3125,121,1.0,80.0,72.38649572239264,64.53253967495849,3471.8573629535495,bus_current+motor_voltage,False,1341.7801200324711,1384.9385895774597,232.73839693841194,68.8015116668867,0.1092626308260473,1.0254145204340372,100.0,4.258063676895663,3.674443434585789,100.0,True,4.780661584185713,4.762547825091277,75.0,True,52.00637505345303,43.724115691386515,125.0,True,300.0,532.7383969384119,632.7383969384119,4.230790796921887,3.677024017303946,100.0,True,4.780661584185713,4.762547825091277,75.0,True,51.98758499562149,43.72610674059891,125.0,True,300.0,532.7383969384119,632.7383969384119,0.0,0.0,0.025438329463923104,0.022108391134390004,0.2834914131836115,1.0,67.0,67.0,1.0,68.0,68.0
ampace_jp30_120s4p,ampace_jp30,Ampace,JP30P1 (JP30),120,4,480,30.0,252.88515114,5.2992,5.08104,16.265625,121,1.0,80.0,65.89066171377698,58.690261693641105,3471.8573629535495,bus_current+motor_voltage,False,1343.39735997748,1386.6078481802735,231.81951060847484,68.8844377374727,0.1092057465553772,1.0247135680088182,100.0,4.28119725870837,3.694406273157552,100.0,True,4.783181478816006,4.765058171929183,75.0,True,52.05520595570255,43.76517004322469,125.0,True,300.0,531.8195106084748,631.8195106084748,4.233729833448731,3.6795783643316455,100.0,True,4.783181478816006,4.765058171929183,75.0,True,52.019925457236255,43.75330789788918,125.0,True,300.0,531.8195106084748,631.8195106084748,0.0,0.0,0.028377365990766457,0.0246282857646829,0.31583187479837704,1.0,68.0,68.0,1.0,69.0,69.0
tenpower_60xg_120s2p,tenpower_60xg,Tenpower,INR21700-60XG,120,2,240,22.8,245.68515114,5.184,5.08104,15.609375,121,1.0,80.0,36.1932463928674,31.876173735047566,3471.8573629535495,bus_current+motor_voltage,False,1345.104024555239,1388.3694077666134,230.8522110564428,68.97194917180167,0.10639528965803623,1.0504471229242898,100.0,4.538728515467559,3.916639688954968,83.93347974717877,True,4.767948885394424,4.7498832942699,75.0,True,52.31009193549089,43.97946423421422,124.63132201858772,True,283.5648017657665,514.4170128222092,614.4170128222092,4.21608698386188,3.664244781373176,100.0,True,4.767948885394424,4.7498832942699,75.0,True,51.82451688873989,43.58895219787313,125.0,True,300.0,530.8522110564428,630.8522110564428,-16.435198234233496,-16.435198234233553,0.010734516403915428,0.00939569234310067,0.12042330630201548,121.0,80.0,80.0,1.0,70.0,70.0
molicel_p30b_120s4p,molicel_p30b,Molicel,INR-18650-P30B,120,4,480,28.2,251.08515114,5.184,5.08104,15.75,121,1.0,80.0,52.76879985252664,46.830379818019324,3471.8573629535495,bus_current+motor_voltage,False,1348.1129969192689,1391.4751639778594,229.15275787059795,69.12623812281409,0.10733897936619012,1.0388879576180439,100.0,4.348298318809328,3.752310303827536,95.77689456268446,True,4.779398881463689,4.761289906705586,75.0,True,52.08542662555422,43.79057792953686,125.0,True,295.77689456268445,524.9296524332824,624.9296524332824,4.2293211242187505,3.6757467095649434,100.0,True,4.779398881463689,4.761289906705586,75.0,True,51.971381365605225,43.71247807029741,125.0,True,300.0,529.152757870598,629.152757870598,-4.223105437315553,-4.223105437315553,0.02396865676078619,0.02084568841236578,0.26728778316734747,76.0,69.0,69.0,1.0,71.0,71.0
reliance_rs50_140s2p,reliance_rs50,Reliance,INR21700-RS50,140,2,280,23.450000000000003,246.33515114,5.04,4.9399,15.234375,121,1.0,80.0,43.18836112660906,38.12504041954178,3471.8573629535495,bus_current+motor_voltage,False,1350.871298938492,1394.3221870117368,227.60153313394804,69.26767362757607,0.10501209200003679,1.059739651435862,100.0,4.4308724985628185,3.82356667190579,90.5163543328682,True,4.769335508264447,4.751264663274494,75.0,True,52.09859561749669,43.801649697692966,125.0,True,290.5163543328682,518.1178874668162,618.1178874668162,4.217680811146199,3.6656299931421295,100.0,True,4.769335508264447,4.751264663274494,75.0,True,51.842295419469735,43.60390549744358,125.0,True,300.0,527.601533133948,627.601533133948,-9.483645667131782,-9.483645667131782,0.012328343688234433,0.010782315213123894,0.13820183703185762,96.0,74.0,74.0,1.0,72.0,72.0
ampace_jp50_140s2p,ampace_jp50,Ampace,JP50P1 (JP50),140,2,280,25.2,248.08515114,5.012,4.9399,15.1875,121,1.0,80.0,43.18836112660906,38.12504041954178,3471.8573629535495,bus_current+motor_voltage,False,1353.0494325012146,1396.57038042229,226.3810548860557,69.37936024410163,0.10496744606284239,1.0584837015973554,100.0,4.436313024369413,3.8282615064239316,90.17663199670352,True,4.773057151426101,4.754972205260718,75.0,True,52.1483920696635,43.8435158310915,125.0,True,290.1766319967035,516.5576868827592,616.5576868827592,4.2219705882698175,3.669358282785735,100.0,True,4.773057151426101,4.754972205260718,75.0,True,51.89002377416945,43.644049218917246,125.0,True,300.0,526.3810548860557,626.3810548860557,-9.82336800329648,-9.823368003296537,0.01661812081185321,0.014503958374777248,0.18593019173157188,98.0,75.0,75.0,1.0,73.0,73.0
tenpower_50xg_140s2p,tenpower_50xg,Tenpower,INR21700-50XG,140,2,280,26.25,249.13515114,5.04,4.9399,15.1875,121,1.0,80.0,43.18836112660906,38.12504041954178,3471.8573629535495,bus_current+motor_voltage,False,1353.9819397974193,1397.5328818935038,225.85974149829602,69.42717576220434,0.1050629184175119,1.0567935096638856,100.0,4.439576375431791,3.8310775748991324,89.97325831763852,True,4.775282174005206,4.757188797307299,75.0,True,52.178196703937374,43.86857393744464,125.0,True,289.9732583176385,515.8329998159345,615.8329998159345,4.224543682909956,3.6715945859367842,100.0,True,4.775282174005206,4.757188797307299,75.0,True,51.91856408229543,43.668054114694414,125.0,True,300.0,525.859741498296,625.859741498296,-10.02674168236149,-10.02674168236149,0.01919121545199154,0.0167289809538822,0.21447049985755484,99.0,78.0,78.0,1.0,74.0,74.0
tenpower_30xg_115s4p,tenpower_30xg,Tenpower,INR18650-30XG,115,4,460,27.6,250.48515114,4.968,4.86933,15.0,121,1.0,80.0,69.37039194544059,61.80802260200422,3471.8573629535495,bus_current+motor_voltage,False,1357.447172695057,1401.1095742965,223.928796983952,69.60486006239321,0.10429075958766562,1.0619001970274908,100.0,4.263585319395072,3.6792082677516653,100.0,True,4.778134319933969,4.760030136555156,75.0,True,51.98069282775252,43.702523480689514,125.0,True,300.0,523.928796983952,623.928796983952,4.227851221668548,3.6744692020634795,100.0,True,4.778134319933969,4.760030136555156,75.0,True,51.95515538820591,43.698830603891864,125.0,True,300.0,523.928796983952,623.928796983952,0.0,0.0,0.02249875421058345,0.01958112688264535,0.25106180576803183,1.0,71.0,71.0,1.0,75.0,75.0
molicel_p50b_140s2p,molicel_p50b,Molicel,INR-21700-P50B,140,2,280,24.85,247.73515114,5.04,4.9399,14.765625,121,1.0,80.0,57.01247847701365,50.598527745059535,3471.8573629535495,bus_current+motor_voltage,False,1358.6581766606464,1402.3595303057125,223.25630734778292,69.66695585754118,0.1030115117350162,1.0741291477129198,100.0,4.310379474798774,3.7195887059384125,98.26011294178221,True,4.772314159220919,4.754232028226946,75.0,True,51.957944698813826,43.68339809807141,125.0,True,298.2601129417822,521.5164202895651,621.5164202895651,4.221112751188299,3.6686127277103173,100.0,True,4.772314159220919,4.754232028226946,75.0,True,51.8804942383736,43.63603404569017,125.0,True,300.0,523.2563073477829,623.2563073477829,-1.7398870582177892,-1.739887058217846,0.015760283730334557,0.013760966169595434,0.17640065593572274,47.0,73.0,73.0,1.0,76.0,76.0
tenpower_60xg_115s2p,tenpower_60xg,Tenpower,INR21700-60XG,115,2,230,21.85,244.73515114,4.968,4.86933,14.53125,121,1.0,80.0,34.68519480041022,30.530464366261548,3471.8573629535495,bus_current+motor_voltage,False,1359.0521013744742,1402.7661256408373,223.03781305895183,69.68715485690751,0.1015998408187473,1.0887378848717006,100.0,4.5656911485349045,3.939906759992685,82.33643815011666,True,4.7659180245494515,4.74786012828545,75.0,True,52.35463818270997,44.01691628244913,124.30675060653148,True,281.64318875664816,504.6810018156,604.6810018156,4.213757209193512,3.6622199501249075,100.0,True,4.7659180245494515,4.74786012828545,75.0,True,51.79848167943384,43.567054309344044,125.0,True,300.0,523.0378130589518,623.0378130589518,-18.356811243351842,-18.356811243351785,0.008404741735547283,0.007364831498128055,0.09438809699596362,125.0,88.0,88.0,1.0,77.0,77.0
ampace_jp30_115s4p,ampace_jp30,Ampace,JP30P1 (JP30),115,4,460,28.75,251.63515114,5.0784,4.86933,14.953125,121,1.0,80.0,63.145217396867935,56.22507970058907,3471.8573629535495,bus_current+motor_voltage,False,1359.1667441171992,1402.88445587695,222.97424910622038,69.69303331186698,0.10416338093261324,1.0618536439810953,100.0,4.28907789753013,3.7012067730505147,99.67436553727605,True,4.780556429552792,4.762443068885572,75.0,True,52.03148209961229,43.74522432258429,125.0,True,299.67436553727606,522.6486146434964,622.6486146434964,4.23066833356112,3.6769175831311407,100.0,True,4.780556429552792,4.762443068885572,75.0,True,51.98623553654855,43.72497172747086,125.0,True,300.0,522.9742491062204,622.9742491062204,-0.32563446272394003,-0.3256344627239969,0.025315866103155393,0.022003236501468848,0.28214195411067067,34.0,72.0,72.0,1.0,78.0,78.0
