candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,raw_endurance_time_s,projected_endurance_time_s,endurance_points,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points
tenpower_50xg_120s3p,tenpower_50xg,Tenpower,INR21700-50XG,120,3,360,33.75,256.63515114,6.48,6.351299999999999,24.609375,1278.6069622385903,1319.7334618907457,270.4510723172423,65.5622262667687,0.13727263834389694,0.856507999674463,100.0
ampace_jp30_120s5p,ampace_jp30,Ampace,JP30P1 (JP30),120,5,600,37.5,260.38515114,6.624,6.3513,24.9609375,1279.8028388480736,1320.9678039711803,269.70259367566,65.62354638716036,0.13861946929391475,0.8473935778400526,100.0
molicel_p50b_120s3p,molicel_p50b,Molicel,INR-21700-P50B,120,3,360,31.95,254.83515114,6.48,6.351299999999999,23.625,1282.7234736297323,1323.9823812143454,267.88048483225,65.77330571434442,0.13419551948688765,0.8733360973005322,100.0
molicel_p30b_120s5p,molicel_p30b,Molicel,INR-18650-P30B,120,5,600,35.25,258.13515114,6.48,6.3513,24.046875,1283.0356106615518,1324.3045581598442,267.68624123240477,65.78931094449783,0.13586468013380132,0.8623969029928426,100.0
reliance_rs50_115s3p,reliance_rs50,Reliance,INR21700-RS50,115,3,345,28.893750000000004,251.77890114,6.21,6.086662499999999,22.7109375,1285.661210147031,1327.0146102719045,266.05605807498137,65.92394195514984,0.13127147655508842,0.8907494401675522,100.0
ampace_jp50_115s3p,ampace_jp50,Ampace,JP50P1 (JP50),115,3,345,31.05,253.93515114,6.1755,6.086662499999999,22.640625,1287.9246230042222,1329.3508259925504,264.6560840887139,66.04000137783474,0.13133333299721087,0.8887652322020809,100.0
tenpower_30xg_115s5p,tenpower_30xg,Tenpower,INR18650-30XG,115,5,575,34.5,257.38515114,6.21,6.086662499999999,22.921875,1289.069937934786,1330.532980073443,263.94955317286474,66.09872888272245,0.13257921600045705,0.8796310322514961,100.0
tenpower_50xg_115s3p,tenpower_50xg,Tenpower,INR21700-50XG,115,3,345,32.34375,255.22890114,6.21,6.086662499999999,22.5703125,1289.462223115405,1330.9378831396366,263.70784575833704,66.11884381290226,0.13128555123826735,0.888028520257926,100.0
ampace_jp30_115s5p,ampace_jp30,Ampace,JP30P1 (JP30),115,5,575,35.9375,258.82265114,6.348,6.086662499999999,22.8515625,1290.710593395371,1332.226407353846,262.939637277103,66.1828556141649,0.13256174129693163,0.8786287189237986,100.0
molicel_p30b_115s5p,molicel_p30b,Molicel,INR-18650-P30B,115,5,575,33.78125,256.66640114,6.21,6.086662499999999,22.078125,1293.8846752795284,1335.5025838467143,260.99308147900445,66.34561076944267,0.1300374356622188,0.893487546235801,100.0
molicel_p50b_115s3p,molicel_p50b,Molicel,INR-21700-P50B,115,3,345,30.61875,253.50390114,6.21,6.086662499999999,21.65625,1294.0514038600268,1335.6746752659194,260.89109651901407,66.35415999312328,0.12854223557304012,0.9037641130987629,100.0
tenpower_30xg_140s4p,tenpower_30xg,Tenpower,INR18650-30XG,140,4,560,33.6,256.48515114,6.048,5.92788,21.65625,1296.8719321633453,1338.5859260975135,259.1698026677245,66.49878623111141,0.12900279665746686,0.8985789750300479,100.0
tenpower_60xg_140s2p,tenpower_60xg,Tenpower,INR21700-60XG,140,2,280,26.6,249.48515114,6.048,5.92788,20.7421875,1297.424973819163,1339.1567563843473,258.8331735534663,66.5271441575458,0.12520160581810022,0.925465677583606,100.0
reliance_rs50_110s3p,reliance_rs50,Reliance,INR21700-RS50,110,3,330,27.637500000000003,250.52265114,5.94,5.822025,20.7421875,1298.0479238074204,1339.7997436109679,258.45433569200543,66.55908672417434,0.12522743775624087,0.9248307210277393,100.0
ampace_jp30_140s4p,ampace_jp30,Ampace,JP30P1 (JP30),140,4,560,35.0,257.88515114,6.1824,5.92788,21.5859375,1298.5482516350037,1340.3161645248827,258.15033189058136,66.58474168086417,0.12896782841739107,0.8976623086548784,100.0
ampace_jp50_110s3p,ampace_jp50,Ampace,JP50P1 (JP50),110,3,330,29.7,252.58515114,5.907,5.822025,20.671875,1300.34095530427,1342.1665306572888,257.062989426569,66.67666488092867,0.12520852104170144,0.9233393458328394,100.0
tenpower_50xg_110s3p,tenpower_50xg,Tenpower,INR21700-50XG,110,3,330,30.9375,253.82265114,5.94,5.822025,20.671875,1301.408564769025,1343.2684798695796,256.4168671894769,66.7314079375207,0.12534789902196944,0.9215560394737939,100.0
tenpower_30xg_110s5p,tenpower_30xg,Tenpower,INR18650-30XG,110,5,550,33.0,255.88515114,5.94,5.822025,20.8828125,1301.6108176065254,1343.4772381864782,256.2945822457888,66.74177871344085,0.12635032655008904,0.9141026148141284,100.0
molicel_p30b_140s4p,molicel_p30b,Molicel,INR-18650-P30B,140,4,560,32.9,255.78515114,6.048,5.92788,20.8828125,1301.7923106310918,1343.664568949327,256.1848813278898,66.7510850030935,0.12643512100810086,0.913362209806854,100.0
ampace_jp30_110s5p,ampace_jp30,Ampace,JP30P1 (JP30),110,5,550,34.375,257.26015114,6.072,5.822025,20.8828125,1302.7911354522632,1344.6955210542326,255.58170261812256,66.80230103809133,0.12650575294248353,0.9121523862428931,100.0
molicel_p30b_110s5p,molicel_p30b,Molicel,INR-18650-P30B,110,5,550,32.3125,255.19765114,5.94,5.822025,20.3203125,1305.3705532990862,1347.3579060913755,254.02829200328912,66.93456402547086,0.12419962214283883,0.9272532903622409,100.0
molicel_p50b_110s3p,molicel_p50b,Molicel,INR-21700-P50B,110,3,330,29.287499999999994,252.17265114,5.94,5.822025,19.8984375,1306.143079287472,1348.1552804426522,253.56424528289648,66.97417629502932,0.1225494453288583,0.9391833089137814,100.0
tenpower_30xg_135s4p,tenpower_30xg,Tenpower,INR18650-30XG,135,4,540,32.400000000000006,255.28515114,5.832,5.71617,20.25,1306.2206407909848,1348.2353367183987,253.51768537656227,66.978153361472,0.12408394291847781,0.927513718570007,100.0
