candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,simulation_mode,event_slug,event_name,raw_simulated_time_s,projected_competition_time_s,event_winner_tmin_s,tmax_s,points,maximum_points,solver_converged,solver_iterations,maximum_speed_mps,maximum_achievable_terminal_power_kw,maximum_achievable_wheel_power_kw,active_limiter_at_peak_terminal_power
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,360,34.2,257.08515114,7.776,7.62156,32.015625,mass_isolated_common_80kw_curve,acceleration,Acceleration,4.244013571977018,3.688516067794482,3.697,5.5455000000000005,100.0,100.0,True,2,34.16771314301711,,80.0,common_vehicle_curve
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,360,34.2,257.08515114,7.776,7.62156,32.015625,mass_isolated_common_80kw_curve,skidpad,Skidpad,4.791944925095995,4.773788413818533,4.782,5.9775,75.0,75.0,True,1,11.964675476078144,,80.0,common_vehicle_curve
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,360,34.2,257.08515114,7.776,7.62156,32.015625,mass_isolated_common_80kw_curve,autocross,Autocross,52.132434958521685,43.84793823055327,43.937,63.70864999999999,125.0,125.0,True,2,32.8913892631731,,80.0,common_vehicle_curve
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,440,39.05,261.93515114,7.92,7.762699999999999,32.9609375,pack_aware_full_soc_80kw_terminal,acceleration,Acceleration,4.272030518165478,3.686495947676243,3.697,5.5455000000000005,100.0,100.0,True,2,33.08954855915252,79.99999934839148,69.07638665083184,terminal_power_limit+motor_voltage
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,440,39.05,261.93515114,7.92,7.762699999999999,32.9609375,pack_aware_full_soc_80kw_terminal,skidpad,Skidpad,4.801961207674562,4.7837667450536605,4.782,5.9775,74.85332462037177,75.0,True,1,11.93971867918905,79.99999934839148,69.07638665083184,terminal_power_limit+motor_voltage
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,440,39.05,261.93515114,7.92,7.762699999999999,32.9609375,pack_aware_full_soc_80kw_terminal,autocross,Autocross,52.271647145917555,43.947141957852764,43.937,63.70864999999999,124.91188192449097,125.0,True,2,32.10776279807501,79.99999934839148,69.07638665083184,terminal_power_limit+motor_voltage
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,440,39.05,261.93515114,7.92,7.762699999999999,32.9609375,mass_isolated_common_80kw_curve,acceleration,Acceleration,4.2558864450073015,3.698834904480644,3.697,5.5455000000000005,99.85787412867016,100.0,True,2,34.03883866636464,,80.0,common_vehicle_curve
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,440,39.05,261.93515114,7.92,7.762699999999999,32.9609375,mass_isolated_common_80kw_curve,skidpad,Skidpad,4.801961207674562,4.7837667450536605,4.782,5.9775,74.85332462037177,75.0,True,1,11.93971867918905,,80.0,common_vehicle_curve
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,440,39.05,261.93515114,7.92,7.762699999999999,32.9609375,mass_isolated_common_80kw_curve,autocross,Autocross,52.26111418781777,43.95616871896647,43.937,63.70864999999999,124.83348740183672,125.0,True,2,32.75555509799912,,80.0,common_vehicle_curve
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,420,35.175,258.06015114,7.56,7.40985,31.5078125,pack_aware_full_soc_80kw_terminal,acceleration,Acceleration,4.299172048294293,3.709917395722587,3.697,5.5455000000000005,99.00244844297931,100.0,True,2,31.782230145121098,64.78254141018913,57.61822378955744,bus_current+motor_voltage
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,420,35.175,258.06015114,7.56,7.40985,31.5078125,pack_aware_full_soc_80kw_terminal,skidpad,Skidpad,4.793967183287888,4.7758030097450535,4.782,5.9775,75.0,75.0,True,1,11.959628369564943,64.78254141018913,57.61822378955744,bus_current+motor_voltage
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,420,35.175,258.06015114,7.56,7.40985,31.5078125,pack_aware_full_soc_80kw_terminal,autocross,Autocross,52.198459774821345,43.8856100191689,43.937,63.70864999999999,125.0,125.0,True,2,31.146093258819967,64.78254141018913,57.61822378955744,bus_current+motor_voltage
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,420,35.175,258.06015114,7.56,7.40985,31.5078125,mass_isolated_common_80kw_curve,acceleration,Acceleration,4.246400595496384,3.690590654610962,3.697,5.5455000000000005,100.0,100.0,True,2,34.14165632306153,,80.0,common_vehicle_curve
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,420,35.175,258.06015114,7.56,7.40985,31.5078125,mass_isolated_common_80kw_curve,skidpad,Skidpad,4.793967183287888,4.7758030097450535,4.782,5.9775,75.0,75.0,True,1,11.959628369564943,,80.0,common_vehicle_curve
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,420,35.175,258.06015114,7.56,7.40985,31.5078125,mass_isolated_common_80kw_curve,autocross,Autocross,52.15840723381881,43.86978318607551,43.937,63.70864999999999,125.0,125.0,True,2,32.85540913326141,,80.0,common_vehicle_curve
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,420,37.275,260.16015114,7.56,7.40985,32.5859375,pack_aware_full_soc_80kw_terminal,acceleration,Acceleration,4.263453524122029,3.6790945366493397,3.697,5.5455000000000005,100.0,100.0,True,2,33.32028706189883,79.99999983734592,71.3673349080841,terminal_power_limit+motor_voltage
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,420,37.275,260.16015114,7.56,7.40985,32.5859375,pack_aware_full_soc_80kw_terminal,skidpad,Skidpad,4.798307859449993,4.780127239237399,4.782,5.9775,75.0,75.0,True,1,11.948809373516335,79.99999983734592,71.3673349080841,terminal_power_limit+motor_voltage
