candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,pack_aware_curve_points,pack_aware_full_soc,pack_aware_terminal_power_limit_kw,pack_aware_maximum_achievable_terminal_power_kw,pack_aware_maximum_achievable_wheel_power_kw,pack_aware_maximum_tractive_force_n,pack_aware_active_limiter_at_peak_terminal_power,pack_aware_reaches_79p9kw_terminal,raw_endurance_time_s,projected_endurance_time_s,endurance_points,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points,pack_aware_acceleration_raw_time_s,pack_aware_acceleration_projected_time_s,pack_aware_acceleration_points,pack_aware_acceleration_converged,pack_aware_skidpad_raw_time_s,pack_aware_skidpad_projected_time_s,pack_aware_skidpad_points,pack_aware_skidpad_converged,pack_aware_autocross_raw_time_s,pack_aware_autocross_projected_time_s,pack_aware_autocross_points,pack_aware_autocross_converged,pack_aware_nonenergy_points,pack_aware_performance_points_excluding_efficiency,pack_aware_full_dynamic_points,mass_isolated_acceleration_raw_time_s,mass_isolated_acceleration_projected_time_s,mass_isolated_acceleration_points,mass_isolated_acceleration_converged,mass_isolated_skidpad_raw_time_s,mass_isolated_skidpad_projected_time_s,mass_isolated_skidpad_points,mass_isolated_skidpad_converged,mass_isolated_autocross_raw_time_s,mass_isolated_autocross_projected_time_s,mass_isolated_autocross_points,mass_isolated_autocross_converged,mass_isolated_sprint_nonenergy_points,mass_isolated_sprint_hybrid_performance_points_excluding_efficiency,mass_isolated_sprint_hybrid_full_dynamic_points,pack_aware_minus_mass_isolated_nonenergy_points,pack_aware_minus_mass_isolated_full_dynamic_points,mass_isolated_acceleration_raw_time_s_delta_vs_lightest_s,mass_isolated_skidpad_raw_time_s_delta_vs_lightest_s,mass_isolated_autocross_raw_time_s_delta_vs_lightest_s,pack_aware_nonenergy_points_rank,pack_aware_performance_points_excluding_efficiency_rank,pack_aware_full_dynamic_points_rank,mass_isolated_sprint_nonenergy_points_rank,mass_isolated_sprint_hybrid_performance_points_excluding_efficiency_rank,mass_isolated_sprint_hybrid_full_dynamic_points_rank,terminal_energy_kwh,terminal_discharge_energy_kwh,terminal_regenerated_energy_kwh,pack_resistive_heat_kwh,regen_pack_resistive_heat_kwh,regen_active_rms_terminal_power_kw,regen_whole_event_rms_terminal_power_kw,regen_active_rms_error_kw,peak_pack_charge_current_a,maximum_terminal_voltage_v,adiabatic_cell_temperature_rise_c
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,140,3,420,39.375,262.26015114,7.56,7.40985,42.0,121,1.0,80.0,64.78254141018913,57.61822378955744,3471.857362953549,bus_current+motor_voltage,False,1226.1911480502984,1295.3705394338533,275.0,64.3519156390832,0.16209013920222765,0.7390112025371145,88.58488238919577,4.310193430836436,3.719428161599992,98.27240424623938,True,4.802628618497106,4.784431627080003,74.7981681137307,True,52.31043054751619,43.97974892068495,124.62885274968318,True,297.69942510965325,572.6994251096532,661.284307498849,4.256681932917804,3.699526271246999,99.80435962358465,True,4.802628618497106,4.784431627080003,74.7981681137307,True,52.26969162165052,43.9633830911548,124.7708560413017,True,299.37338377861704,574.373383778617,662.9582661678128,-1.6739586689637918,-1.6739586689637918,0.0513294654598395,0.0440754254457829,0.5655980392126452,54.0,19.0,40.0,125.0,22.0,37.0,6.464830108921695,7.268200778406623,0.8033706694849275,0.4407091992478936,0.0105067881690095,8.765284502024087,4.667850517985652,0.1910173596141255,21.020177018047704,587.9999874240285,50.366765628330704
tenpower_60xg_115s3p,tenpower_60xg,Tenpower,INR21700-60XG,115,3,345,32.775,255.66015114,7.452,7.303995,37.9375,121,1.0,80.0,52.027793772880834,46.176710175955456,3471.857362953549,bus_current+motor_voltage,False,1228.2307628017934,1297.525225401928,275.0,64.45895695693413,0.15482422557313238,0.7724082550185581,95.15910531861381,4.3670172354945365,3.768463561677984,94.56693421983736,True,4.788981218621004,4.7708359367234445,75.0,True,52.218588265018994,43.902532952812905,125.0,True,294.5669342198373,569.5669342198373,664.7260395384511,4.240524824427334,3.685483961234208,100.0,True,4.788981218621004,4.7708359367234445,75.0,True,52.09437832249883,43.81592927054746,125.0,True,300.0,575.0,670.1591053186138,-5.433065780162679,-5.4330657801626785,0.0351723569693698,0.0304280255696802,0.3902847400609488,85.0,32.0,30.0,1.0,1.0,21.0,6.175035199562063,6.943713002154989,0.768677802592926,0.6268968091866424,0.0150025431715925,8.70138247089328,4.547266841533872,0.1271153284833186,25.330064230947148,482.9999880518197,86.07278844667857
reliance_rs50_135s3p,reliance_rs50,Reliance,INR21700-RS50,135,3,405,33.91875,256.80390114,7.29,7.1452125,38.71875,121,1.0,80.0,62.468883451751154,55.54452190354812,3471.857362953549,bus_current+motor_voltage,False,1227.6506667068245,1296.9124013796227,275.0,64.42851284956528,0.15628862842104382,0.7655324590891427,93.8056021829021,4.305836003141828,3.715667973214127,98.56058873817486,True,4.791360749452055,4.773206451595622,75.0,True,52.174170338048405,43.86518878922456,125.0,True,298.56058873817483,573.5605887381748,667.366190921077,4.243325070291728,3.687917683862427,100.0,True,4.791360749452055,4.773206451595622,75.0,True,52.12493283892111,43.84162829170031,125.0,True,300.0,575.0,668.8056021829021,-1.439411261825171,-1.439411261825171,0.0379726028337632,0.0328075564007317,0.4208392564832337,42.0,12.0,26.0,1.0,1.0,25.0,6.233441686652294,7.0132357396429175,0.7797940529906238,0.4127741309362234,0.0105320447341343,8.739025886477284,4.589878619171409,0.1647587440673223,21.76859859745869,566.9999876544205,54.76273710596663
tenpower_60xg_110s3p,tenpower_60xg,Tenpower,INR21700-60XG,110,3,330,31.35,254.23515114,7.128,6.98643,36.953125,121,1.0,80.0,49.76571414574354,44.14924234043971,3471.857362953549,bus_current+motor_voltage,False,1232.1464611352658,1301.6618400484745,275.0,64.66445728958976,0.14733574919835776,0.8090871874466345,100.0,4.382249579980233,3.7816081251312057,93.58996832881792,True,4.78600771265941,4.767873697271665,75.0,True,52.20609071311092,43.89202569471376,125.0,True,293.5899683288179,568.5899683288179,668.5899683288179,4.237035725468326,3.682451549260456,100.0,True,4.78600771265941,4.767873697271665,75.0,True,52.05620304043549,43.78382051884271,125.0,True,300.0,575.0,675.0,-6.410031671182082,-6.410031671182082,0.0316832580103616,0.0274545196080868,0.3521094579976136,91.0,34.0,20.0,1.0,1.0,1.0,5.87636356058474,6.573639477562813,0.6972759169780723,0.6093614113587211,0.0145574988234949,8.816004603026194,4.381922213701489,0.2417374606162319,26.388006806408864,461.99998840332256,87.46814517110829
molicel_p50b_135s3p,molicel_p50b,Molicel,INR-21700-P50B,135,3,405,35.94375,258.82890114,7.29,7.1452125,35.359375,121,1.0,80.0,79.99999953257931,71.26939489785825,3471.857362953549,terminal_power_limit+motor_voltage,True,1236.297401843082,1306.0469690003442,275.0,64.88230341144194,0.15111614363047154,0.786198072852037,97.87363638819627,4.2603683751382775,3.6764322454559095,100.0,True,4.795558530937689,4.777388327834415,75.0,True,52.18642878367922,43.875495019843534,125.0,True,300.0,575.0,672.8736363881962,4.248282467357593,3.6922262088993447,100.0,True,4.795558530937689,4.777388327834415,75.0,True,52.17884778342848,43.88697547639145,125.0,True,300.0,575.0,672.8736363881962,0.0,0.0,0.0429299998996288,0.0370053378863657,0.4747542009906027,1.0,1.0,7.0,1.0,1.0,14.0,6.027141441760088,6.783196707199768,0.7560552654396792,0.6203168803299213,0.0156449541797689,8.663902295223156,4.489932960122575,0.0896351528131944,21.530086762760146,566.9999817001391,77.66095528387122
tenpower_50xg_135s3p,tenpower_50xg,Tenpower,INR21700-50XG,135,3,405,37.96875,260.85390114,7.29,7.1452125,42.1875,121,1.0,80.0,62.468883451751154,55.54452190354812,3471.857362953549,bus_current+motor_voltage,False,1228.058243919801,1297.3429733300677,275.0,64.44990296844485,0.15559931491898998,0.768668613662545,94.42295544538288,4.316590087045306,3.7249480770342114,97.85040652790067,True,4.79973742598298,4.781551389192924,75.0,True,52.28260524467553,43.95635492794266,124.83187057559958,True,297.68227710350027,572.6822771035003,667.1052325488831,4.253239696155548,3.696534587692882,100.0,True,4.79973742598298,4.781551389192924,75.0,True,52.23253726733429,43.93213302899388,125.0,True,300.0,575.0,669.4229554453829,-2.317722896499731,-2.317722896499731,0.0478872286975837,0.0411842329316565,0.5284436848964162,55.0,20.0,27.0,1.0,1.0,24.0,6.205948992127526,6.936257434300219,0.730308442172694,0.4379133955945743,0.0101325311275804,8.885569891916807,4.503312466234888,0.3113027495068454,21.76566105192883,566.9999875971137,51.90084688528288
reliance_rs50_130s3p,reliance_rs50,Reliance,INR21700-RS50,130,3,390,32.6625,255.54765114,7.02,6.880574999999999,38.375,121,1.0,80.0,60.155222324125376,53.47054037376493,3471.857362953549,bus_current+motor_voltage,False,1230.2861056754437,1299.696526843139,275.0,64.56682370464704,0.1497306046797939,0.7973501787126814,100.0,4.313762558848687,3.722508096515708,98.03678878265148,True,4.788746827129469,4.770602433333052,75.0,True,52.15169254323767,43.846290688755495,125.0,True,298.03678878265146,573.0367887826515,673.0367887826515,4.240249357993906,3.685244550509288,100.0,True,4.788746827129469,4.770602433333052,75.0,True,52.09136885234048,43.81339804288248,125.0,True,300.0,575.0,675.0,-1.963211217348544,-1.9632112173485439,0.0348968905359416,0.0301936340781452,0.3872752699026023,51.0,17.0,6.0,1.0,1.0,1.0,5.971880375482335,6.677182229206427,0.7053018537240934,0.4046671645431899,0.0101471390438954,8.879634172018182,4.423412137303858,0.3053670296082202,22.559594793573783,545.9999877904188,55.75207777862548
molicel_p50b_130s3p,molicel_p50b,Molicel,INR-21700-P50B,130,3,390,34.6125,257.49765114,7.02,6.880574999999999,32.515625,121,1.0,80.0,79.41023989251752,70.60505643970043,3471.857362953549,bus_current+motor_voltage,False,1242.9112111431236,1313.0339169442518,274.5380801520149,65.22940369740142,0.1455965576856349,0.8116608174705061,100.0,4.258324838173799,3.6746688004836794,100.0,True,4.792801040353334,4.774641285285184,75.0,True,52.15186559730024,43.846436183146224,125.0,True,300.0,574.5380801520149,674.5380801520149,4.24502350469012,3.6893938107555946,100.0,True,4.792801040353334,4.774641285285184,75.0,True,52.14342983274221,43.85718588158009,125.0,True,300.0,574.5380801520149,674.5380801520149,0.0,0.0,0.0396710372321553,0.0342478473020104,0.4393362503043363,1.0,7.0,3.0,1.0,21.0,7.0,5.806997356619648,6.539963860579109,0.7329665039594605,0.576192163024856,0.015676075850628,8.631536303080573,4.403771195226439,0.0572691606706108,22.290713297700744,545.999981867048,74.91122379521423
reliance_rs50_125s3p,reliance_rs50,Reliance,INR21700-RS50,125,3,375,31.40625,254.29140114,6.75,6.615937499999999,32.2265625,121,1.0,80.0,57.8415596557264,51.39692203278347,3471.857362953549,bus_current+motor_voltage,False,1241.2928863916009,1311.324289363191,275.0,65.14447216119498,0.14440822199641964,0.8194068803488813,100.0,4.323103303278687,3.730568576501292,97.42200231133673,True,4.786125276237689,4.767990815405668,75.0,True,52.13145178019198,43.82927336224154,125.0,True,297.4220023113367,572.4220023113367,672.4220023113367,4.237173467828641,3.682571262569714,100.0,True,4.786125276237689,4.767990815405668,75.0,True,52.05771224112092,43.7850898886407,125.0,True,300.0,575.0,675.0,-2.577997688663288,-2.577997688663345,0.0318210003706767,0.0275720831863655,0.3536186586830396,60.0,24.0,10.0,1.0,1.0,1.0,5.759601578067319,6.4936960031540405,0.7340944250867213,0.3539762601785976,0.0106072791668306,8.678972711161192,4.417460311331964,0.1047055687512301,23.397174914759024,524.9999877816178,50.71898653305279
ampace_jp50_130s3p,ampace_jp50,Ampace,JP50P1 (JP50),130,3,390,35.099999999999994,257.98515114,6.981,6.880574999999999,38.171875,121,1.0,80.0,60.155222324125376,53.47054037376493,3471.857362953549,bus_current+motor_voltage,False,1232.563235307409,1302.1021278331723,275.0,64.68633007541843,0.1498458080278703,0.7952652139230861,99.65850667777285,4.320319232891999,3.7281660973628745,97.6049653740536,True,4.793811782981949,4.775648198245424,75.0,True,52.21736732171328,43.901506450460126,125.0,True,297.6049653740536,572.6049653740536,672.2634720518264,4.246216989414666,3.690431080667318,100.0,True,4.793811782981949,4.775648198245424,75.0,True,52.15641125783007,43.86810439566541,125.0,True,300.0,575.0,674.6585066777728,-2.39503462594638,-2.395034625946437,0.0408645219567018,0.0352585899306259,0.4523176753921945,56.0,21.0,11.0,1.0,1.0,5.0,5.976475165004747,6.6828495540349175,0.7063743890301701,0.403730271870733,0.0101617783265995,8.87780087611176,4.422018353303503,0.3035337337017978,22.563974520315497,545.9999878298843,51.7602912654786
