candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,terminal_energy_kwh,terminal_discharge_energy_kwh,terminal_regenerated_energy_kwh,pack_resistive_heat_kwh,regen_pack_resistive_heat_kwh,regen_active_rms_terminal_power_kw,regen_whole_event_rms_terminal_power_kw,regen_active_rms_error_kw,peak_pack_charge_current_a,maximum_terminal_voltage_v,adiabatic_cell_temperature_rise_c,raw_endurance_time_s,projected_endurance_time_s,endurance_points,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points
tenpower_50xg_130s3p,tenpower_50xg,Tenpower,INR21700-50XG,130,3,390,36.5625,259.44765114,7.02,6.880574999999999,37.96875,5.975705955040552,6.682506484974023,0.7068005299334692,0.4021260676502987,0.0101642837584791,8.87504877197294,4.420100616498986,0.3007816295629784,22.561079090033704,545.9999877126762,49.49243909542138,1234.093369499976,1303.718589310311,275.0,64.76663327009823,0.14982652192938486,0.7943814181849921,99.48453113877797
tenpower_30xg_130s5p,tenpower_30xg,Tenpower,INR18650-30XG,130,5,650,39.0,261.88515114,7.02,6.880574999999999,36.1171875,6.095576650418699,6.867414035148405,0.7718373847297051,0.2894904456888557,0.0081595290228018,8.728507449092278,4.549295313369657,0.1542403066823165,22.687682473656352,545.999989956384,33.4027437333295,1236.8535662241095,1306.6345111265543,275.0,64.91149155505744,0.15283199266453967,0.7770218518798975,96.06729367714517
ampace_jp50_125s3p,ampace_jp50,Ampace,JP50P1 (JP50),125,3,375,33.74999999999999,256.63515114,6.7125,6.615937499999999,32.046875,5.759637157658068,6.494580327831731,0.7349431701736631,0.3524810471720299,0.0106190182418772,8.674592803078768,4.4157825787592735,0.1003256606688065,23.395171680249227,524.9999876816809,46.997472956270656,1243.709381502296,1313.8771185693533,274.0213984529481,65.27129259188641,0.14440911406948576,0.8178097420363502,100.0
tenpower_30xg_125s5p,tenpower_30xg,Tenpower,INR18650-30XG,125,5,625,37.5,260.38515114,6.75,6.6159375,32.984375,5.849353368919166,6.597898291180161,0.748544922260994,0.2682843720517116,0.0081889718493333,8.688153929015067,4.461181681343735,0.1138867866051054,23.52799646527481,524.9999899868895,32.194124646205395,1243.7632105071189,1313.9339845050808,273.9865770525627,65.2741175997025,0.1466585333004628,0.8052314886560716,100.0
ampace_jp30_130s5p,ampace_jp30,Ampace,JP30P1 (JP30),130,5,650,40.625,263.51015114,7.176,6.880574999999999,35.9140625,6.0925044636052,6.865151804583999,0.7726473409787997,0.2881479006150681,0.0081688753081427,8.736468428684747,4.549394829465597,0.1622012862747848,22.68219162960405,545.9999898975681,31.91792129889985,1238.5458907732375,1308.4223134342017,275.0,65.00030668538405,0.15275496493451965,0.7763514278076739,95.93532043458147
tenpower_50xg_125s3p,tenpower_50xg,Tenpower,INR21700-50XG,125,3,375,35.15625,258.04140114,6.75,6.615937499999999,32.0234375,5.76643012916202,6.502535405155824,0.7361052759938044,0.3530188570571098,0.010641588527468,8.674148661428646,4.417408834819647,0.0998815190186839,23.404749779263188,524.9999875928886,45.18641370331006,1244.8873345813422,1315.1215295389302,273.26008144539526,65.33311291842367,0.14457943156864989,0.8160734188868498,100.0
ampace_jp30_125s5p,ampace_jp30,Ampace,JP30P1 (JP30),125,5,625,39.0625,261.94765114,6.9,6.6159375,35.734375,5.8284687659151135,6.527564252977978,0.6990954870628635,0.2834017867887571,0.0078656392279073,8.834602689194856,4.379586394201646,0.2603355467848942,23.513790475093707,524.9999901959749,32.647885838064816,1240.9945184343896,1311.0090880487003,275.0,65.12881346912044,0.1461349018745668,0.8099197290489999,100.0
molicel_p30b_130s5p,molicel_p30b,Molicel,INR-18650-P30B,130,5,650,38.1875,261.07265114,7.02,6.880574999999999,33.7265625,5.915547066823213,6.666156039440971,0.7506089726177569,0.4666038234334075,0.0129399189056593,8.671462992580288,4.465560970562117,0.0971958501703262,22.432139433128672,545.9999849647146,54.98441127202184,1242.1985038025182,1312.281,275.0,65.192,0.14831818181818182,0.7972240632635236,100.0
molicel_p50b_125s3p,molicel_p50b,Molicel,INR-21700-P50B,125,3,375,33.28124999999999,256.16640114,6.75,6.615937499999999,32.3828125,5.547403753467017,6.213308034260971,0.6659042807939537,0.5671172597782929,0.015216238104293,8.795323444568128,4.259153516049699,0.2210563021581659,23.118662288370864,524.9999823617519,76.68064357565652,1245.5083978098985,1315.7776319832158,272.85926493098435,65.36570702787726,0.13908786951253824,0.8478711903844081,100.0
molicel_p30b_125s5p,molicel_p30b,Molicel,INR-18650-P30B,125,5,625,36.71875,259.60390114,6.75,6.6159375,33.8046875,5.656459467570796,6.339005040583003,0.682545573012208,0.4617550058934541,0.0125418893213316,8.821196787100602,4.315289160736367,0.2469296446906401,23.27588294882444,524.9999853649692,56.58954965843183,1244.124318235751,1314.3154652505384,273.753058281298,65.29306894682851,0.14182218048158987,0.8324494224242265,100.0
