sample_id,max_lateral_g__05mps,max_accel_g__05mps,max_brake_g__05mps,ggv_area_g2__05mps,max_lateral_g__10mps,max_accel_g__10mps,max_brake_g__10mps,ggv_area_g2__10mps,max_lateral_g__15mps,max_accel_g__15mps,max_brake_g__15mps,ggv_area_g2__15mps,max_lateral_g__20mps,max_accel_g__20mps,max_brake_g__20mps,ggv_area_g2__20mps,max_lateral_g__25mps,max_accel_g__25mps,max_brake_g__25mps,ggv_area_g2__25mps,mean_max_lateral_g,mean_max_accel_g,mean_max_brake_g,mean_ggv_area_g2
11,1.6533333333333335,1.645,2.02,8.387733333333333,1.7066666666666668,1.6275,2.06,8.613733333333336,1.76,1.6099999999999999,2.12,9.217866666666666,1.866666666666667,1.26,2.22,9.271600000000001,1.9733333333333334,0.945,2.3600000000000003,9.407733333333335,1.7920000000000003,1.4175,2.156,8.979733333333334
12,1.4933333333333334,1.2425,1.8800000000000001,6.226933333333333,1.6,1.2075,1.98,6.7752,1.76,1.1724999999999999,2.16,7.912266666666669,1.9733333333333334,1.1025,2.4,9.3836,2.2399999999999998,0.9099999999999999,2.68,11.085333333333331,1.8133333333333332,1.127,2.2199999999999998,8.276666666666667
13,1.6,1.4875,1.58,6.705200000000001,1.6533333333333335,1.47,1.6400000000000001,7.0724,1.76,1.4525000000000001,1.74,7.665466666666667,1.866666666666667,1.4,1.8800000000000001,8.495066666666668,1.9733333333333334,1.3475,2.06,9.583733333333333,1.7706666666666666,1.4315000000000002,1.78,7.904373333333334
14,1.4400000000000002,1.8375,1.6,6.532533333333333,1.4933333333333334,1.8199999999999998,1.6800000000000002,7.0414666666666665,1.6,1.575,1.8200000000000003,7.637066666666667,1.7066666666666668,1.1199999999999999,2.02,7.944800000000001,1.9200000000000002,0.8225,2.2600000000000002,8.718399999999999,1.6320000000000001,1.435,1.8760000000000001,7.574853333333334
15,1.4933333333333334,1.5574999999999999,1.4200000000000002,5.906266666666665,1.5466666666666666,1.54,1.4600000000000002,6.153066666666668,1.6,1.5225,1.54,6.546933333333333,1.6533333333333335,1.47,1.6400000000000001,7.056933333333334,1.76,1.2775,1.76,7.463866666666668,1.610666666666667,1.4735,1.564,6.6254133333333325
16,1.6,1.2249999999999999,1.54,6.5012,1.7066666666666668,1.2075,1.62,6.974000000000001,1.8133333333333332,1.1724999999999999,1.76,7.819866666666667,2.026666666666667,1.1375,1.9200000000000002,9.017600000000002,2.2399999999999998,1.085,2.16,10.604,1.8773333333333333,1.1655,1.8,8.183333333333334
17,1.6,1.085,1.62,5.586666666666667,1.6533333333333335,1.0675000000000001,1.7000000000000002,6.044933333333334,1.8133333333333332,1.0325,1.8200000000000003,6.8041333333333345,1.9733333333333334,0.98,2.0000000000000004,7.800266666666667,2.1333333333333333,0.9275000000000001,2.22,9.12026666666667,1.8346666666666667,1.0185,1.8720000000000003,7.071253333333334
18,1.5466666666666666,1.4175,1.9000000000000001,6.563600000000001,1.6533333333333335,1.4875,2.02,7.342533333333333,1.8133333333333332,1.6275,2.2,8.713199999999999,1.9733333333333334,1.3475,2.4400000000000004,10.341733333333332,2.2399999999999998,0.98,2.7600000000000002,11.726799999999999,1.8453333333333333,1.3720000000000003,2.2640000000000002,8.937573333333331
19,1.2266666666666668,1.47,1.8399999999999999,5.420400000000001,1.28,1.505,1.9200000000000002,5.716800000000001,1.3866666666666667,1.47,2.06,6.5336,1.4933333333333334,1.4175,2.2399999999999998,7.389600000000002,1.6533333333333335,1.0675000000000001,2.46,8.2348,1.408,1.3859999999999997,2.104,6.65904
20,1.4933333333333334,1.47,1.8,6.5856,1.4933333333333334,1.4525000000000001,1.8399999999999999,6.773466666666668,1.5466666666666666,1.4349999999999998,1.9000000000000001,7.221466666666666,1.6533333333333335,1.4,2.0000000000000004,7.774133333333335,1.76,1.3125,2.12,8.543733333333334,1.5893333333333333,1.4140000000000001,1.932,7.3796800000000005
