parameter,parameter_label,parameter_group,metric,metric_display_name,pearson_r,abs_pearson_r,rank_within_metric
track_front_m,front track,chassis,mean_max_lateral_g,mean lat,0.27177382552017465,0.27177382552017465,5
track_front_m,front track,chassis,mean_max_accel_g,mean accel,-0.08796965253375691,0.08796965253375691,13
track_front_m,front track,chassis,mean_max_brake_g,mean brake,0.15986328985164458,0.15986328985164458,11
track_front_m,front track,chassis,mean_ggv_area_g2,mean area,0.16189170101979528,0.16189170101979528,11
track_rear_m,rear track,chassis,max_lateral_g__05mps,lat 5,0.08663465832843464,0.08663465832843464,13
track_rear_m,rear track,chassis,max_accel_g__05mps,accel 5,0.1520318366290046,0.1520318366290046,6
track_rear_m,rear track,chassis,max_brake_g__05mps,brake 5,0.034519078559608354,0.034519078559608354,20
track_rear_m,rear track,chassis,ggv_area_g2__05mps,area 5,0.1018329269736341,0.1018329269736341,13
track_rear_m,rear track,chassis,max_lateral_g__10mps,lat 10,0.1557207948553568,0.1557207948553568,7
track_rear_m,rear track,chassis,max_accel_g__10mps,accel 10,0.14505199795569382,0.14505199795569382,6
track_rear_m,rear track,chassis,max_brake_g__10mps,brake 10,0.050032716466250286,0.050032716466250286,17
track_rear_m,rear track,chassis,ggv_area_g2__10mps,area 10,0.1548354241266422,0.1548354241266422,8
track_rear_m,rear track,chassis,max_lateral_g__15mps,lat 15,0.2252674553254481,0.2252674553254481,6
track_rear_m,rear track,chassis,max_accel_g__15mps,accel 15,0.12436383262325103,0.12436383262325103,10
track_rear_m,rear track,chassis,max_brake_g__15mps,brake 15,0.08053589664953059,0.08053589664953059,14
track_rear_m,rear track,chassis,ggv_area_g2__15mps,area 15,0.20069091500885658,0.20069091500885658,8
track_rear_m,rear track,chassis,max_lateral_g__20mps,lat 20,0.2312608543438939,0.2312608543438939,7
track_rear_m,rear track,chassis,max_accel_g__20mps,accel 20,0.10233740069525214,0.10233740069525214,10
track_rear_m,rear track,chassis,max_brake_g__20mps,brake 20,0.11024309170372944,0.11024309170372944,14
track_rear_m,rear track,chassis,ggv_area_g2__20mps,area 20,0.2438531196298229,0.2438531196298229,4
track_rear_m,rear track,chassis,max_lateral_g__25mps,lat 25,0.23485016990018606,0.23485016990018606,7
track_rear_m,rear track,chassis,max_accel_g__25mps,accel 25,0.10587552182160787,0.10587552182160787,9
track_rear_m,rear track,chassis,max_brake_g__25mps,brake 25,0.12614803811997768,0.12614803811997768,14
track_rear_m,rear track,chassis,ggv_area_g2__25mps,area 25,0.26259959920479287,0.26259959920479287,4
track_rear_m,rear track,chassis,mean_max_lateral_g,mean lat,0.20732306508653522,0.20732306508653522,8
track_rear_m,rear track,chassis,mean_max_accel_g,mean accel,0.15369686389085233,0.15369686389085233,7
track_rear_m,rear track,chassis,mean_max_brake_g,mean brake,0.08662768909056932,0.08662768909056932,15
