case_id,parameter,level,value,max_lateral_g__05mps,max_accel_g__05mps,max_brake_g__05mps,ggv_area_g2__05mps,max_lateral_g__10mps,max_accel_g__10mps,max_brake_g__10mps,ggv_area_g2__10mps,max_lateral_g__15mps,max_accel_g__15mps,max_brake_g__15mps,ggv_area_g2__15mps,max_lateral_g__20mps,max_accel_g__20mps,max_brake_g__20mps,ggv_area_g2__20mps,max_lateral_g__25mps,max_accel_g__25mps,max_brake_g__25mps,ggv_area_g2__25mps,mean_max_lateral_g,mean_max_accel_g,mean_max_brake_g,mean_ggv_area_g2
track_front_m_high,track_front_m,high,1.2849548270067201,1.6,1.4349999999999998,1.6800000000000002,6.812800000000001,1.6533333333333335,1.4175,1.76,7.3129333333333335,1.76,1.3825,1.8800000000000001,8.033866666666666,1.9200000000000002,1.33,2.06,9.148666666666667,2.1333333333333333,1.0675000000000001,2.28,10.07346666666667,1.8133333333333332,1.3265,1.932,8.276346666666667
track_rear_m_low,track_rear_m,low,1.1394882476,1.5466666666666666,1.4349999999999998,1.6800000000000002,6.683066666666667,1.6533333333333335,1.4175,1.76,7.131866666666666,1.76,1.3825,1.8800000000000001,7.897733333333336,1.866666666666667,1.33,2.06,8.941200000000002,2.08,1.0675000000000001,2.28,9.838933333333333,1.7813333333333332,1.3265,1.932,8.09856
track_rear_m_high,track_rear_m,high,1.2849548324000002,1.6,1.4349999999999998,1.6800000000000002,6.8057333333333325,1.6533333333333335,1.4175,1.76,7.2588,1.76,1.3825,1.8800000000000001,8.035333333333334,1.9200000000000002,1.33,2.06,9.099066666666666,2.08,1.0675000000000001,2.28,10.044800000000002,1.8026666666666666,1.3265,1.932,8.248746666666667
lltd_low,lltd,low,0.4,1.4400000000000002,1.4349999999999998,1.6800000000000002,6.515866666666666,1.4933333333333334,1.4175,1.76,6.913866666666667,1.6,1.3825,1.8800000000000001,7.567200000000001,1.7066666666666668,1.33,2.06,8.237866666666665,1.8133333333333332,1.0675000000000001,2.28,8.749733333333335,1.6106666666666665,1.3265,1.932,7.5969066666666665
lltd_high,lltd,high,0.65,1.4400000000000002,1.4349999999999998,1.6800000000000002,6.009066666666667,1.4933333333333334,1.4175,1.76,6.433200000000001,1.6,1.3825,1.8800000000000001,7.228933333333333,1.7066666666666668,1.33,2.06,8.2324,1.9200000000000002,1.0675000000000001,2.28,9.055066666666667,1.6320000000000001,1.3265,1.932,7.391733333333335
air_density_kg_m3_low,air_density_kg_m3,low,1.0,1.6,1.4525000000000001,1.6800000000000002,6.750400000000001,1.6533333333333335,1.4349999999999998,1.74,7.1244,1.7066666666666668,1.4,1.8399999999999999,7.705333333333335,1.8133333333333332,1.365,1.98,8.591066666666666,1.9733333333333334,1.1025,2.16,9.241333333333335,1.7493333333333336,1.351,1.8800000000000001,7.882506666666667
air_density_kg_m3_high,air_density_kg_m3,high,1.225,1.6,1.4349999999999998,1.6800000000000002,6.750266666666667,1.6533333333333335,1.4175,1.76,7.203333333333334,1.76,1.3825,1.8800000000000001,7.963866666666668,1.9200000000000002,1.33,2.06,9.0212,2.08,1.0675000000000001,2.28,9.950933333333335,1.8026666666666666,1.3265,1.932,8.17792
cl_a_m2_low,cl_a_m2,low,1.290969179138322,1.5466666666666666,1.4349999999999998,1.6800000000000002,6.690133333333334,1.6,1.4175,1.7200000000000002,6.902266666666668,1.6533333333333335,1.3825,1.8,7.312666666666668,1.76,1.33,1.9000000000000001,7.895066666666668,1.866666666666667,1.0675000000000001,2.0400000000000005,8.173733333333333,1.6853333333333331,1.3265,1.828,7.394773333333335
cl_a_m2_high,cl_a_m2,high,3.403464199546485,1.6,1.4349999999999998,1.7000000000000002,6.814666666666667,1.7066666666666668,1.4175,1.8,7.4964,1.8133333333333332,1.3825,1.98,8.595466666666667,2.026666666666667,1.33,2.22,10.245466666666669,2.2933333333333334,1.0675000000000001,2.52,11.830800000000002,1.888,1.3265,2.044,8.99656
cd_a_m2_low,cd_a_m2,low,0.8208111746031745,1.6,1.4525000000000001,1.6800000000000002,6.773333333333333,1.6533333333333335,1.4349999999999998,1.76,7.221866666666668,1.76,1.4,1.8800000000000001,7.983733333333335,1.9200000000000002,1.365,2.0400000000000005,9.054,2.08,1.1199999999999999,2.2600000000000002,10.019333333333336,1.8026666666666666,1.3545,1.9240000000000002,8.210453333333335
