speed_mps,ay_mps2,ax_accel_mps2,ax_brake_mps2,accel_feasible,brake_feasible
5.000000000000000000e+00,-2.196689599999999842e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.144387466666666597e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.092085333333333352e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-2.039783200000000107e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-1.987481066666666862e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-1.935178933333333262e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-1.882876800000000017e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-1.830574666666666772e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-1.778272533333333172e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-1.725970399999999927e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-1.673668266666666682e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-1.621366133333333437e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-1.569064000000000014e+01,nan,-2.157462999999999909e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-1.516761866666666592e+01,nan,-3.138127999999998252e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-1.464459733333333347e+01,1.716163749999999877e-01,-3.922660000000000480e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-1.412157600000000102e+01,1.201314624999999969e+00,-4.707191999999999155e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-1.359855466666666679e+01,2.231012874999999784e+00,-5.295591000000001713e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-1.307553333333333256e+01,3.260711124999999821e+00,-6.080123000000000388e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-1.255251200000000011e+01,4.118793000000000148e+00,-6.864654999999999063e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-1.202949066666666766e+01,5.148491249999999297e+00,-7.453054000000001622e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-1.150646933333333344e+01,6.178189499999999335e+00,-8.041453000000000628e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-1.098344799999999921e+01,7.036271374999999217e+00,-8.629851999999999634e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-1.046042666666666676e+01,8.065969624999999255e+00,-9.218250999999998641e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-9.937405333333334312e+00,8.924051499999999137e+00,-9.806650000000001199e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-9.414384000000000086e+00,9.953749750000000063e+00,-1.039504900000000021e+01,1.000000000000000000e+00,1.000000000000000000e+00
