parameter,parameter_label,parameter_group,parameter_unit,metric,metric_display_name,parameter_low,parameter_baseline,parameter_high,response_low,response_baseline,response_high,signed_response_span,slope_per_unit,signed_effect_pct_span,abs_effect_pct_span,low_delta_from_baseline_pct,high_delta_from_baseline_pct,direction,rank_within_metric
cd_a_m2,drag area,aero,m^2,max_accel_g__10mps,accel 10,0.8208111746031745,1.1725873922902494,1.582992979591837,1.4349999999999998,1.4175,1.4175,-0.01749999999999985,-0.022960401160796753,-1.2345679012345572,1.2345679012345572,1.2345679012345572,0.0,decreases_with_parameter,4
cd_a_m2,drag area,aero,m^2,max_brake_g__10mps,brake 10,0.8208111746031745,1.1725873922902494,1.582992979591837,1.76,1.76,1.76,0.0,0.0,0.0,0.0,0.0,0.0,flat,14
cd_a_m2,drag area,aero,m^2,ggv_area_g2__10mps,area 10,0.8208111746031745,1.1725873922902494,1.582992979591837,7.221866666666668,7.203333333333334,7.207600000000001,-0.014266666666666872,-0.018718193708230926,-0.19805645534475064,0.19805645534475064,0.25728829245720436,0.05923183711245374,decreases_with_parameter,18
cd_a_m2,drag area,aero,m^2,max_lateral_g__15mps,lat 15,0.8208111746031745,1.1725873922902494,1.582992979591837,1.76,1.76,1.76,0.0,0.0,0.0,0.0,0.0,0.0,flat,12
cd_a_m2,drag area,aero,m^2,max_accel_g__15mps,accel 15,0.8208111746031745,1.1725873922902494,1.582992979591837,1.4,1.3825,1.365,-0.03499999999999992,-0.0459208023215938,-2.531645569620247,2.531645569620247,1.2658227848101156,-1.2658227848101318,decreases_with_parameter,3
cd_a_m2,drag area,aero,m^2,max_brake_g__15mps,brake 15,0.8208111746031745,1.1725873922902494,1.582992979591837,1.8800000000000001,1.8800000000000001,1.9000000000000001,0.020000000000000018,0.026240458469482253,1.0638297872340434,1.0638297872340434,0.0,1.0638297872340434,increases_with_parameter,11
cd_a_m2,drag area,aero,m^2,ggv_area_g2__15mps,area 15,0.8208111746031745,1.1725873922902494,1.582992979591837,7.983733333333335,7.963866666666668,7.967466666666667,-0.016266666666668428,-0.02134223955518119,-0.20425588909911968,0.20425588909911968,0.24946006127677267,0.045204172177653,decreases_with_parameter,18
cd_a_m2,drag area,aero,m^2,max_lateral_g__20mps,lat 20,0.8208111746031745,1.1725873922902494,1.582992979591837,1.9200000000000002,1.9200000000000002,1.9200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,flat,12
cd_a_m2,drag area,aero,m^2,max_accel_g__20mps,accel 20,0.8208111746031745,1.1725873922902494,1.582992979591837,1.365,1.33,1.295,-0.07000000000000006,-0.09184160464318789,-5.263157894736847,5.263157894736847,2.631578947368415,-2.6315789473684315,decreases_with_parameter,4
cd_a_m2,drag area,aero,m^2,max_brake_g__20mps,brake 20,0.8208111746031745,1.1725873922902494,1.582992979591837,2.0400000000000005,2.06,2.08,0.03999999999999959,0.05248091693896392,1.941747572815514,1.941747572815514,-0.9708737864077462,0.9708737864077678,increases_with_parameter,11
cd_a_m2,drag area,aero,m^2,ggv_area_g2__20mps,area 20,0.8208111746031745,1.1725873922902494,1.582992979591837,9.054,9.0212,8.991866666666667,-0.062133333333333596,-0.0815203576451918,-0.6887479862250432,0.6887479862250432,0.3635879927282395,-0.3251599934968037,decreases_with_parameter,18
cd_a_m2,drag area,aero,m^2,max_lateral_g__25mps,lat 25,0.8208111746031745,1.1725873922902494,1.582992979591837,2.08,2.08,2.08,0.0,0.0,0.0,0.0,0.0,0.0,flat,12
cd_a_m2,drag area,aero,m^2,max_accel_g__25mps,accel 25,0.8208111746031745,1.1725873922902494,1.582992979591837,1.1199999999999999,1.0675000000000001,0.9974999999999999,-0.12249999999999994,-0.1607228081255786,-11.475409836065568,11.475409836065568,4.918032786885224,-6.557377049180344,decreases_with_parameter,4
