stage,variant_id,c_rig_front,c_ic_front,d_front_m,inv_d_front_per_m,mr_front,k_w_front_n_per_m,k_s_front_n_per_m,ride_frequency_front_hz,toe_gain_front_deg_per_m,caster_range_front_deg,anti_pct_front_min,anti_pct_front_max,c_rig_rear,c_ic_rear,d_rear_m,inv_d_rear_per_m,mr_rear,k_w_rear_n_per_m,k_s_rear_n_per_m,ride_frequency_rear_hz,toe_gain_rear_deg_per_m,caster_range_rear_deg,anti_pct_rear_min,anti_pct_rear_max,avg_anti_dive_pct,avg_anti_roll_front_pct,avg_anti_roll_rear_pct,avg_anti_squat_pct,avg_lateral_jacking_coeff_front,avg_lateral_jacking_coeff_rear,avg_lltd_front_frac,avg_lltd_front_pct,avg_longitudinal_jacking_coeff_front,avg_longitudinal_jacking_coeff_rear,avg_motion_ratio_front,avg_motion_ratio_rear,avg_stabar_motion_ratio_front,avg_stabar_motion_ratio_rear
anti-dive,front02_ad+17,0.03447178047953617,0.0358069577940225,1157792.243085966,8.637128171930153e-07,1.1037466027905887,23808.9072670104,29005.35753998336,3.0000000000000004,0.12428459937269244,0.026844508952223956,15.828155059185056,16.198522581105394,0.128844461673235,0.12857377543742846,-268.7408591396473,-0.0037210567950159176,1.8271963558127964,26708.402889682886,89169.9164343919,3.0,-0.03392018542117565,0.049888050100688246,71.61567058312855,72.06047828240445,-19.08626810020673,0.5351544498072378,0.8101555296909375,71.40354182589964,0.0011157657260119041,0.0016891268924209954,0.28483223934022905,28.483223934022906,-0.0344444282939988,0.1288598778685868,1.1037466027905887,1.8271963558127964,0.07182272025013216,0.05816618585816712
anti-dive,front03_ad+35,0.07272077260413136,0.07519461136744704,1157792.2444629916,8.637128161657544e-07,1.1142290851088612,23808.9072670104,29558.912037122034,3.0000000000000004,0.118776629933692,0.005293565759716631,33.595009613169346,34.036139783977546,0.128844461673235,0.12857377543742846,-268.7408591396473,-0.0037210567950159176,1.8271963558127964,26708.402889682886,89169.9164343919,3.0,-0.03392018542117565,0.049888050100688246,71.61567058312855,72.06047828240445,-40.280188254029966,0.5482231007899887,0.8101555296909375,71.40354182589964,0.0011430130989096112,0.0016891268924209954,0.28094765154345946,28.094765154345946,-0.07269247443766548,0.1288598778685868,1.1142290851088612,1.8271963558127964,0.07252228801748282,0.05816618585816712
anti-dive,front04_ad+53,0.11094080951036456,0.11458226494087177,1157792.2445065829,8.637128161332353e-07,1.1248961974038707,23808.9072670104,30127.587806983545,3.0000000000000004,0.11327858056228607,0.016417056316536928,51.34679698626379,51.86146742615809,0.128844461673235,0.12857377543742846,-268.7408591396473,-0.0037210567950159176,1.8271963558127964,26708.402889682886,89169.9164343919,3.0,-0.03392018542117565,0.049888050100688246,71.61567058312855,72.06047828240445,-61.45796814602141,0.5705350611811818,0.8101555296909375,71.40354182589964,0.0011895322312714847,0.0016891268924209954,0.2770815164473597,27.708151644735967,-0.1109113927241527,0.1288598778685868,1.1248961974038707,1.8271963558127964,0.07323419857016478,0.05816618585816712
anti-dive,front05_ad+72,0.14913185633638507,0.1539699185142965,1157792.2441055996,8.637128164323687e-07,1.1357531074415972,23808.9072670104,30711.945677854612,3.0000000000000004,0.1077793958284852,0.038287869836594456,69.0831932234448,69.6747618742902,0.128844461673235,0.12857377543742846,-268.7408591396473,-0.0037210567950159176,1.8271963558127964,26708.402889682886,89169.9164343919,3.0,-0.03392018542117565,0.049888050100688246,71.61567058312855,72.06047828240445,-82.61958006002304,0.6020743630823943,0.8101555296909375,71.40354182589964,0.0012552898309632942,0.0016891268924209954,0.27323371428015464,27.323371428015463,-0.1491011331349229,0.1288598778685868,1.1357531074415972,1.8271963558127964,0.0739587967268547,0.05816618585816712
anti-dive,front06_ad+90,0.1872938792716781,0.19335757208772142,1157792.2436446326,8.6371281677625e-07,1.146805190168502,23808.9072670104,31312.573532278784,3.0000000000000004,0.10226854325908774,0.06031941769183287,86.8038721222921,87.47627880568756,0.128844461673235,0.12857377543742846,-268.7408591396473,-0.0037210567950159176,1.8271963558127964,26708.402889682886,89169.9164343919,3.0,-0.03392018542117565,0.049888050100688246,71.61567058312855,72.06047828240445,-103.76499593010112,0.6428247755009849,0.8101555296909375,71.40354182589964,0.001340252057314754,0.0016891268924209954,0.2694040873989608,26.940408739896082,-0.1872616450202087,0.1288598778685868,1.146805190168502,1.8271963558127964,0.07469643998439729,0.05816618585816712
validation,chosen,0.14913185633638507,0.1539699185142965,1157792.2441055996,8.637128164323687e-07,1.1357531074415972,23808.9072670104,30711.945677854612,3.0000000000000004,0.1077793958284852,0.038287869836594456,69.0831932234448,69.6747618742902,0.128844461673235,0.12857377543742846,-268.7408591396473,-0.0037210567950159176,1.8271963558127964,26708.402889682886,89169.9164343919,3.0,-0.03392018542117565,0.049888050100688246,71.61567058312855,72.06047828240445,-82.61958006002304,0.6020743630823943,0.8101555296909375,71.40354182589964,0.0012552898309632942,0.0016891268924209954,0.27323371428015464,27.323371428015463,-0.1491011331349229,0.1288598778685868,1.1357531074415972,1.8271963558127964,0.0739587967268547,0.05816618585816712
validation,front_min_rear_min,-0.0421129246063717,-0.042968349352827034,1157792.244124794,8.637128164180497e-07,1.0833158297080319,23808.9072670104,27941.495177856767,3.0000000000000004,0.13537708976939217,0.0694692413473656,-19.74947222941351,-19.51461018860173,-0.036483794039402516,-0.0368543695709553,-268.7408591397127,-0.0037210567950150112,1.6947758729383753,26708.402889682886,76713.61775660617,3.0,-0.1015043481603307,0.25330120895664393,-19.984905888415458,-19.561880011898733,23.349884309656087,0.5368096198160858,0.7610467308042941,-20.207833312892124,0.0011192166586674404,0.001586737919175861,0.26047411925740266,26.047411925740267,0.04213885142734662,-0.03646848414098583,1.0833158297080319,1.6947758729383753,0.07045929383911886,0.05363858044557119
validation,front_min_rear_max,-0.0421129246063717,-0.042968349352827034,1157792.244124794,8.637128164180497e-07,1.0833158297080319,23808.9072670104,27941.495177856767,3.0000000000000004,0.13537708976939217,0.0694692413473656,-19.74947222941351,-19.51461018860173,0.16190742943732744,0.16165940443910526,-268.74085913968986,-0.0037210567950153274,1.855884110654515,26708.402889682886,91991.90784114526,3.0,-0.02009904902336629,0.0067228617864133955,89.92902500378518,90.388780017146,23.349884309656087,0.5368096198160858,0.8408817493968568,89.72433753748777,0.0011192166586674404,0.0017531892632937885,0.2995344510161398,29.95344510161398,0.04213885142734662,0.1619228805919931,1.0833158297080319,1.855884110654515,0.07045929383911886,0.05914515942092591
validation,front_max_rear_min,0.1872938792716781,0.19335757208772142,1157792.2436446326,8.6371281677625e-07,1.146805190168502,23808.9072670104,31312.573532278784,3.0000000000000004,0.10226854325908774,0.06031941769183287,86.8038721222921,87.47627880568756,-0.036483794039402516,-0.0368543695709553,-268.7408591397127,-0.0037210567950150112,1.6947758729383753,26708.402889682886,76713.61775660617,3.0,-0.1015043481603307,0.25330120895664393,-19.984905888415458,-19.561880011898733,-103.76499593010112,0.6428247755009849,0.7610467308042941,-20.207833312892124,0.001340252057314754,0.001586737919175861,0.23891443253670186,23.891443253670186,-0.1872616450202087,-0.03646848414098583,1.146805190168502,1.6947758729383753,0.07469643998439729,0.05363858044557119
validation,front_max_rear_max,0.1872938792716781,0.19335757208772142,1157792.2436446326,8.6371281677625e-07,1.146805190168502,23808.9072670104,31312.573532278784,3.0000000000000004,0.10226854325908774,0.06031941769183287,86.8038721222921,87.47627880568756,0.16190742943732744,0.16165940443910526,-268.74085913968986,-0.0037210567950153274,1.855884110654515,26708.402889682886,91991.90784114526,3.0,-0.02009904902336629,0.0067228617864133955,89.92902500378518,90.388780017146,-103.76499593010112,0.6428247755009849,0.8408817493968568,89.72433753748777,0.001340252057314754,0.0017531892632937885,0.2759481108278815,27.59481108278815,-0.1872616450202087,0.1619228805919931,1.146805190168502,1.855884110654515,0.07469643998439729,0.05914515942092591
