stage,variant_id,maneuver,speed_m_per_s,ax_g,dz_front_mm,dz_rear_mm,rh_front_m,rh_rear_m,downforce_n,aero_front_fraction,fz_front_n,fz_rear_n,sigma_fz_front_n,sigma_fz_rear_n,grip_n,rh_clamped,weight
anti-dive,front02_ad+17,braking,10.0,1.4,-14.673409967150935,13.995007276867977,0.05451081614626924,0.09603782904227114,149.0525298377996,0.49847681728920556,979.5131846922843,375.13713737765636,5.189471084998826,3.6945864484163855,6620.427885222316,False,0.08333333333333333
anti-dive,front02_ad+17,braking,15.0,0.5,-5.240503559696762,4.998216884595706,0.0615218951702864,0.08490801604584272,331.7287066032282,0.5041898788916508,818.0724866387225,627.9159238139325,1.853382530356724,1.319495160148709,7277.9212782421,False,0.08333333333333333
anti-dive,front02_ad+17,braking,15.0,1.0,-10.481007119393524,9.996433769191412,0.05622879265109119,0.08984053362561904,336.511073925215,0.5030239195498807,934.5920352995511,513.7875588140973,3.706765060713448,2.638990320297418,7152.528160627714,False,0.08333333333333333
anti-dive,front02_ad+17,braking,15.0,1.4,-14.673409967150935,13.995007276867977,0.052206727941872845,0.09382426031464018,330.5976241999399,0.49224542851779174,1023.7311539466907,421.6917153043202,5.189471084998826,3.6945864484163855,6965.1291630552305,False,0.08333333333333333
anti-dive,front02_ad+17,braking,20.0,0.5,-5.240503559696762,4.998216884595706,0.058116338934252804,0.08186042090494854,590.6321337656221,0.5044882042853461,883.4288307134602,692.0112933203917,1.853382530356724,1.319495160148709,7737.937595508856,False,0.08333333333333333
anti-dive,front02_ad+17,braking,20.0,1.0,-10.481007119393524,9.996433769191412,0.05278045003075815,0.08672100077131079,600.0826464192677,0.5026441684584761,1000.7694970185377,579.395883342137,3.706765060713448,2.638990320297418,7619.955924070273,False,0.08333333333333333
anti-dive,front02_ad+17,braking,20.0,1.4,-14.673409967150935,13.995007276867977,0.04941999141493745,0.09077011812948646,566.0247868686204,0.4764741956971942,1077.2116718850098,485.9247787003412,5.189471084998826,3.6945864484163855,7397.507828779006,False,0.08333333333333333
anti-dive,front02_ad+17,braking,25.0,0.5,-5.240503559696762,4.998216884595706,0.053910194641918,0.07798650100584835,915.0215084985824,0.5020733905927941,964.1493340537479,773.4854773465842,1.853382530356724,1.319495160148709,8270.121790682831,False,0.08333333333333333
anti-dive,front02_ad+17,braking,25.0,1.0,-10.481007119393524,9.996433769191412,0.04928344849059377,0.08284152243697149,897.487376155349,0.4856342408212304,1067.880775893571,660.9869693351445,3.706765060713448,2.638990320297418,8119.608672273338,False,0.08333333333333333
anti-dive,front02_ad+17,braking,25.0,1.4,-14.673409967150935,13.995007276867977,0.04620601258673555,0.08687954539167399,853.0331504263982,0.46077427754566375,1138.8914361561715,567.7491962080684,5.189471084998826,3.6945864484163855,7896.332304074991,False,0.08333333333333333
anti-dive,front03_ad+35,braking,10.0,0.5,-4.376765847538344,4.998216884595706,0.06482865730033975,0.0870891713782236,146.21433842400913,0.5025884805868007,771.1881795294032,582.0430468336423,3.9098476395366744,1.319495160148709,6928.693201905379,False,0.08333333333333333
anti-dive,front03_ad+35,braking,10.0,1.0,-8.753531695076688,9.996433769191412,0.06042786898677505,0.0920598061932342,148.29655544520028,0.5017491923475297,887.1593140719253,467.1130208017157,7.819695279073349,2.638990320297418,6798.6936205797065,False,0.08333333333333333
